Day,Proportion
1,0.002704282
2,0.002702553
3,0.002700844
4,0.002699154
5,0.002697483
6,0.002695831
7,0.002694198
8,0.002692584
9,0.00269099
10,0.002689414
11,0.002687857
12,0.002686319
13,0.0026848
14,0.0026833
15,0.002681818
16,0.002680355
17,0.00267891
18,0.002677484
19,0.002676077
20,0.002674687
21,0.002673316
22,0.002671964
23,0.002670629
24,0.002669313
25,0.002668015
26,0.002666735
27,0.002665474
28,0.002664232
29,0.002663008
30,0.002661803
31,0.002660617
32,0.002659451
33,0.002658303
34,0.002657175
35,0.002656066
36,0.002654976
37,0.002653907
38,0.002652857
39,0.002651827
40,0.002650817
41,0.002649827
42,0.002648858
43,0.002647909
44,0.00264698
45,0.002646072
46,0.002645184
47,0.002644318
48,0.002643472
49,0.002642648
50,0.002641845
51,0.002641063
52,0.002640302
53,0.002639563
54,0.002638845
55,0.00263815
56,0.002637476
57,0.002636824
58,0.002636195
59,0.002635587
60,0.000675915
61,0.00263444
62,0.0026339
63,0.002633382
64,0.002632888
65,0.002632416
66,0.002631968
67,0.002631542
68,0.00263114
69,0.002630762
70,0.002630406
71,0.002630075
72,0.002629767
73,0.002629483
74,0.002629223
75,0.002628988
76,0.002628776
77,0.002628579
78,0.002628386
79,0.002628199
80,0.002628018
81,0.002627843
82,0.002627676
83,0.002627518
84,0.002627368
85,0.002627227
86,0.002627096
87,0.002626977
88,0.002626869
89,0.002626773
90,0.002626689
91,0.00262662
92,0.002626564
93,0.002626523
94,0.002626498
95,0.002626489
96,0.002626497
97,0.002626523
98,0.002626566
99,0.002626629
100,0.002626711
101,0.002626814
102,0.002626937
103,0.002627082
104,0.002627249
105,0.002627439
106,0.002627653
107,0.002627891
108,0.002628154
109,0.002628443
110,0.002628758
111,0.0026291
112,0.00262947
113,0.002629868
114,0.002630295
115,0.002630752
116,0.002631239
117,0.002631758
118,0.002632308
119,0.00263289
120,0.002633506
121,0.002634155
122,0.002634838
123,0.002635557
124,0.002636312
125,0.002637103
126,0.002637931
127,0.002638797
128,0.002639701
129,0.002640645
130,0.002641628
131,0.002642691
132,0.002643869
133,0.002645158
134,0.002646554
135,0.002648054
136,0.002649652
137,0.002651346
138,0.002653131
139,0.002655002
140,0.002656957
141,0.00265899
142,0.002661098
143,0.002663277
144,0.002665523
145,0.002667831
146,0.002670198
147,0.002672619
148,0.002675091
149,0.002677609
150,0.002680169
151,0.002682768
152,0.002685401
153,0.002688064
154,0.002690753
155,0.002693464
156,0.002696193
157,0.002698936
158,0.002701689
159,0.002704448
160,0.002707209
161,0.002709967
162,0.00271272
163,0.002715461
164,0.002718188
165,0.002720897
166,0.002723583
167,0.002726243
168,0.002728872
169,0.002731466
170,0.002734022
171,0.002736534
172,0.002739
173,0.002741415
174,0.002743774
175,0.002746075
176,0.002748313
177,0.002750483
178,0.002752582
179,0.002754606
180,0.002756551
181,0.002758412
182,0.002760186
183,0.002761868
184,0.00276355
185,0.002765323
186,0.002767181
187,0.002769122
188,0.00277114
189,0.002773231
190,0.00277539
191,0.002777615
192,0.002779899
193,0.002782239
194,0.00278463
195,0.002787068
196,0.002789549
197,0.002792068
198,0.002794621
199,0.002797203
200,0.002799811
201,0.00280244
202,0.002805085
203,0.002807742
204,0.002810407
205,0.002813076
206,0.002815743
207,0.002818405
208,0.002821058
209,0.002823697
210,0.002826317
211,0.002828915
212,0.002831485
213,0.002834024
214,0.002836528
215,0.002838991
216,0.00284141
217,0.00284378
218,0.002846097
219,0.002848356
220,0.002850553
221,0.002852684
222,0.002854745
223,0.002856731
224,0.002858637
225,0.00286046
226,0.002862194
227,0.002863837
228,0.002865382
229,0.002866827
230,0.002868166
231,0.002869395
232,0.00287051
233,0.002871507
234,0.00287238
235,0.002873127
236,0.002873742
237,0.002874221
238,0.002874593
239,0.002874889
240,0.002875113
241,0.002875266
242,0.00287535
243,0.002875367
244,0.002875318
245,0.002875206
246,0.002875033
247,0.0028748
248,0.002874509
249,0.002874163
250,0.002873763
251,0.002873311
252,0.002872809
253,0.002872258
254,0.002871662
255,0.002871022
256,0.002870339
257,0.002869615
258,0.002868854
259,0.002868055
260,0.002867222
261,0.002866356
262,0.002865459
263,0.002864533
264,0.00286358
265,0.002862602
266,0.002861601
267,0.002860578
268,0.002859536
269,0.002858476
270,0.002857401
271,0.002856312
272,0.002855211
273,0.002854101
274,0.002852982
275,0.002851858
276,0.002850729
277,0.002849598
278,0.002848466
279,0.002847336
280,0.00284621
281,0.002845089
282,0.002843976
283,0.002842871
284,0.002841778
285,0.002840698
286,0.002839632
287,0.002838584
288,0.002837554
289,0.002836545
290,0.002835559
291,0.002834569
292,0.002833549
293,0.002832499
294,0.00283142
295,0.002830311
296,0.002829172
297,0.002828005
298,0.00282681
299,0.002825586
300,0.002824334
301,0.002823054
302,0.002821746
303,0.002820412
304,0.00281905
305,0.002817661
306,0.002816246
307,0.002814805
308,0.002813338
309,0.002811845
310,0.002810327
311,0.002808783
312,0.002807215
313,0.002805622
314,0.002804005
315,0.002802363
316,0.002800698
317,0.002799009
318,0.002797297
319,0.002795562
320,0.002793804
321,0.002792024
322,0.002790221
323,0.002788396
324,0.00278655
325,0.002784683
326,0.002782794
327,0.002780884
328,0.002778954
329,0.002777003
330,0.002775032
331,0.002773042
332,0.002771031
333,0.002769002
334,0.002766953
335,0.002764886
336,0.0027628
337,0.002760696
338,0.002758574
339,0.002756435
340,0.002754278
341,0.002752104
342,0.002749912
343,0.002747705
344,0.002745481
345,0.00274324
346,0.002740984
347,0.002738711
348,0.002736421
349,0.002734115
350,0.002731792
351,0.002729452
352,0.002727095
353,0.002724721
354,0.002722329
355,0.00271992
356,0.002717493
357,0.002715049
358,0.002712586
359,0.002710106
360,0.002707607
361,0.00270509
362,0.002702555
363,0.002700001
364,0.002697428
365,0.002694836
366,0.002692226
