wage,age,education,marital,industry,health,hours,education_level
75000,33,16,single,management,fair,40,bachelors
33000,19,16,single,management,very_good,40,bachelors
80000,48,12,married,construction,good,40,HS
43000,33,16,married,management,good,40,bachelors
44000,45,16,married,management,excellent,40,bachelors
35000,49,13,married,service,very_good,40,some_college
25000,51,13,single,service,very_good,40,some_college
50000,32,12,single,management,excellent,40,HS
14400,28,12,single,service,excellent,40,HS
90000,58,12,married,installation_production,fair,40,HS
33000,31,16,married,management,very_good,45,bachelors
15000,35,16,single,service,excellent,36,bachelors
4000,20,12,single,installation_production,very_good,54,HS
56000,28,18,married,management,very_good,50,masters
60000,56,12,married,transportation,fair,40,HS
8400,19,12,single,service,excellent,20,HS
66735,56,12,married,management,very_good,42,HS
13000,32,14,married,management,very_good,40,associate
52000,60,16,married,management,very_good,1,bachelors
42000,64,12,married,service,good,40,HS
54000,33,12,married,construction,excellent,50,HS
22000,56,20,single,management,fair,43,professional_phd
60000,31,13,single,service,very_good,45,some_college
100300,39,16,married,management,very_good,40,bachelors
30000,56,16,married,management,excellent,40,bachelors
30000,44,12,single,construction,very_good,40,HS
3.00E+05,62,20,married,management,very_good,50,professional_phd
1.00E+05,61,16,married,management,excellent,45,bachelors
85000,45,16,married,service,very_good,40,bachelors
24000,30,14,married,service,good,27,associate
14000,30,5.5,married,service,very_good,30,less_than_HS
0,34,12,single,service,excellent,40,HS
65000,32,12,married,construction,excellent,40,HS
20000,35,16,married,management,excellent,20,bachelors
60000,28,16,married,management,very_good,40,bachelors
25000,23,14,single,service,very_good,40,associate
6000,34,12,married,installation_production,excellent,40,HS
24000,48,13,single,service,excellent,40,some_college
62000,38,20,married,management,excellent,40,professional_phd
37125,30,13,single,construction,very_good,40,some_college
0,64,10,married,service,good,23,some_HS
75000,34,14,married,installation_production,very_good,60,associate
80000,47,12,married,service,very_good,40,HS
39000,48,12,single,construction,good,40,HS
19250,22,13,single,service,excellent,40,some_college
36000,41,13,single,management,excellent,40,some_college
24000,43,12,married,service,excellent,40,HS
49000,25,16,single,management,excellent,40,bachelors
18200,21,16,single,service,excellent,25,bachelors
38000,27,12,single,service,very_good,40,HS
85000,27,16,single,management,excellent,40,bachelors
11000,48,12,married,management,good,40,HS
132000,38,16,married,management,excellent,40,bachelors
42000,32,16,married,management,very_good,40,bachelors
115000,60,12,married,service,good,50,HS
33000,54,20,married,management,excellent,40,professional_phd
115000,53,13,married,management,excellent,45,some_college
28000,57,18,married,construction,good,20,masters
28000,25,16,single,service,fair,40,bachelors
42000,30,16,single,management,excellent,40,bachelors
80000,67,18,married,management,good,40,masters
26000,39,11,married,installation_production,good,40,some_HS
60000,46,12,married,installation_production,good,40,HS
22000,60,12,single,transportation,good,35,HS
15000,33,16,married,service,good,40,bachelors
14000,42,13,single,service,fair,20,some_college
30000,27,14,married,service,excellent,40,associate
62000,48,12,married,management,very_good,40,HS
65000,61,14,married,construction,fair,60,associate
0,68,20,married,management,good,50,professional_phd
125000,28,14,single,transportation,excellent,40,associate
14000,19,11,single,service,excellent,40,some_HS
9.00E+05,38,12,single,installation_production,very_good,40,HS
22000,66,12,single,service,fair,40,HS
20002,53,16,married,service,fair,40,bachelors
80000,34,18,married,management,very_good,50,masters
40000,69,13,single,management,excellent,40,some_college
80000,60,13,single,service,very_good,40,some_college
82000,42,16,married,management,good,40,bachelors
50000,37,16,married,management,excellent,40,bachelors
45000,31,18,married,management,very_good,25,masters
85000,54,13,single,service,very_good,40,some_college
1099999,23,13,married,management,excellent,40,some_college
62000,40,16,married,service,excellent,40,bachelors
26000,52,12,married,service,very_good,40,HS
115000,39,13,married,service,excellent,40,some_college
29000,36,16,married,management,very_good,40,bachelors
20000,52,12,married,management,very_good,40,HS
19000,54,18,single,installation_production,excellent,40,masters
135000,46,16,single,management,very_good,15,bachelors
30000,43,13,single,service,good,40,some_college
80000,60,12,married,installation_production,excellent,40,HS
70000,62,16,married,management,very_good,15,bachelors
1.00E+05,44,16,married,management,very_good,40,bachelors
1200,27,14,single,management,very_good,36,associate
30000,55,12,single,service,very_good,40,HS
88000,51,18,married,management,good,40,masters
12000,21,13,single,service,excellent,20,some_college
800,18,12,single,service,excellent,8,HS
0,18,12,married,management,excellent,15,HS
27700,32,13,single,management,good,40,some_college
50000,25,16,married,installation_production,excellent,40,bachelors
2500,23,12,single,service,very_good,30,HS
27500,46,12,single,service,very_good,40,HS
0,62,13,married,management,good,15,some_college
24000,79,16,single,service,excellent,40,bachelors
30000,31,14,single,service,good,40,associate
54000,34,12,married,construction,very_good,50,HS
65000,39,14,married,management,excellent,50,associate
120000,42,13,married,management,very_good,40,some_college
1.00E+05,36,20,married,management,very_good,40,professional_phd
30000,62,12,married,service,very_good,25,HS
70000,32,13,married,installation_production,excellent,40,some_college
16000,56,0,married,construction,excellent,40,less_than_HS
65000,39,16,married,management,very_good,40,bachelors
157000,45,16,married,management,very_good,40,bachelors
50000,28,14,married,installation_production,very_good,40,associate
41472,44,11,married,installation_production,good,48,some_HS
40000,33,16,married,management,good,40,bachelors
66000,35,20,married,management,very_good,40,professional_phd
60000,55,16,married,service,excellent,45,bachelors
134000,39,14,married,installation_production,very_good,40,associate
30285,44,13,single,service,fair,40,some_college
40000,46,16,single,service,good,40,bachelors
124000,32,16,married,management,very_good,50,bachelors
37000,28,18,single,management,very_good,40,masters
47000,40,12,married,service,excellent,40,HS
1000,37,14,married,management,very_good,5,associate
9000,40,16,married,service,excellent,40,bachelors
58000,42,14,married,installation_production,excellent,40,associate
130000,40,14,single,management,good,36,associate
7000,40,13,single,service,excellent,40,some_college
70000,38,18,married,management,very_good,40,masters
0,58,14,married,service,very_good,40,associate
60000,27,16,single,management,good,40,bachelors
48000,33,14,single,construction,excellent,40,associate
70000,59,13,single,management,very_good,40,some_college
65000,55,16,single,management,good,40,bachelors
30000,29,16,married,management,excellent,40,bachelors
11440,48,16,married,service,good,30,bachelors
58000,35,14,married,management,excellent,40,associate
3000,71,16,married,service,very_good,15,bachelors
40000,56,12,single,installation_production,good,70,HS
16000,65,14,married,management,very_good,12,associate
25000,47,16,married,installation_production,excellent,40,bachelors
35000,36,16,married,management,excellent,40,bachelors
15000,49,12,married,service,very_good,40,HS
35000,28,12,married,service,excellent,40,HS
40000,41,12,single,management,excellent,40,HS
