district,wholename,namefirst,namelast,party,votes1st,incumb,incumby,wonseat,m,electorate,senator,councillor,incministerstate,incminister,votes1997,valid1997,ptyvote1997,candptytotvote1997,voteshare1997,redistricted,gender,bday,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,count12,count13,count14,count15,count16,constituency,spend_party,spend_total,spend_public,spend_minor,assigned,spendlimit,assignedpct,minister,cexplimit,advert,publicity,election,otherexp,officestat,transport,market,campaign,totalexp,spend_cand,cexpincurred,marginalcand,ffbounce_ff,ffbounce_pd,ffbounce_lb,ffbounce_green,ffbounce_sf,ffbounce_oth,fgb_ff,fgb_pd,fgb_lb,fgb_green,fgb_sf,fgb_oth,labb_pd,labb_green,labb_lab,labb_sf,labb_oth,othrb_ff,othb_pd,othb_lab,othb_sf,othb_oth,ffbounce_fg,fgb_fg,labb_ff,labb_fg,othb_fg,othb_green,_merge,ffm,fgm,labm,othm,greenm,sfm,marginal
Dublin South Central,Aengus O Snodaigh,Aengus,O Snodaigh,sf,5591,No,0,1,5,85326,0,0,0,0,NA,NA,NA,NA,NA,major,m,8/1/64,5619,5759,5879,6099,6376,6431,6522,6892,7282,7523,0,0,0,0,0,DublinSC,0,28913.58984,NA,NA,NA,38092.14063,NA,0,38092.14063,276.25,199.7700043,11673.42969,11180.24023,4691.779785,502.1199951,0,390,28913.58984,28913.58984,28913.58984,2,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,1,1,0,3,0,1,1,0,0,1,1
Louth,Aidan McMahon,Aidan,McMahon,ind,294,No,0,0,4,80924,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louth,0,556.5100098,NA,NA,NA,31743.44922,NA,0,31743.44922,440,0,0,13,0,103.5100021,0,0,556.5100098,556.5100098,556.5100098,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,2,1,2,0,3,0,1,1,0,0,0,0
Limerick East,Aidan Ryan,Aidan,Ryan,ind,19,No,0,0,5,79329,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,LimerickE,0,10890.19043,NA,NA,NA,38092.14063,NA,0,38092.14063,0,0,0,1876,212,150,0,0,2238,2238,2238,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Dublin South Central,Aine Ni Chonaill,Aine,Ni Chonaill,ind,926,No,0,0,5,85326,0,0,0,0,293,34995,0.014059152,492,0.008372624,major,f,NA,930,949,966,0,0,0,0,0,0,0,0,0,0,0,0,DublinSC,0,4083.830078,NA,37,NA,38092.14063,NA,0,38092.14063,0,51,0,3650.290039,0,382.5400085,0,0,4083.830078,4083.830078,4083.830078,3,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,1,1,0,3,0,1,1,0,0,1,0
Kildare South,Alan Dukes,Alan,Dukes,fg,4967,Yes,0,0,3,56386,0,0,0,0,6260,28808,0.264891684,7631,0.217300743,minor,m,NA,5040,5546,7170,7650,7790,0,0,0,0,0,0,0,0,0,0,KildareS,26.62000084,12143.62012,2080,NA,NA,25394.75977,NA,0,13594.75977,2393,300,3347,3577,1070,30,0,1400,12117,12117,12117,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Dublin South,Alan Shatter,Alan,Shatter,fg,5363,Yes,0,0,5,91666,0,0,0,0,8094,57986,0.290915042,16869,0.13958542,minor,m,NA,5410,5413,5568,5653,5693,5833,0,0,0,0,0,0,0,0,0,DublinS,1868.540039,13757.54004,2190,NA,NA,38092.14063,NA,0,14000.13965,0,0,2894,6805,60,0,0,2130,11889,11889,11889,2,2,1,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,2,2,1,1,1,3,0,1,1,0,1,0,1
Cavan Monaghan,Andrew Boyland,Andrew,Boyland,fg,4819,Yes,0,0,5,87087,0,0,0,0,4894,59544,0.346684813,20643,0.082191318,no,m,NA,4855,4889,5061,5084,5211,5374,5516,5633,5844,5905,9044,0,0,0,0,CavanM,0,11217.00977,2316.810059,NA,NA,38092.14063,NA,0,15872.13965,3854.530029,0,2583.149902,2347.129883,2432.199951,0,0,0,11217.00977,11217.00977,11217.00977,1,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Dublin Mid West,Andrew McGuinness,Andrew,McGuinness,wp,393,No,0,0,3,54793,0,0,0,0,NA,NA,NA,NA,NA,new constituency,m,NA,393,407,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinMidW,0,1957,NA,NA,NA,25394.75977,NA,0,25394.75977,0,0,1083,874,0,0,0,0,1957,1957,1957,3,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,0
Sligo Leitrim,Andy McSharry,Andy,McSharry,ind,303,No,0,0,4,68396,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SligoL,0,0,NA,NA,NA,31743.44922,NA,0,31743.44922,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,2,2,1,1,0,3,1,1,0,0,0,0,0
Mayo,Ann Crowley,Ann,Crowley,gp,669,No,0,0,5,92656,0,0,0,0,938,61858,0.015163762,938,0.015163762,no,f,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mayo,0,3926.409912,NA,NA,NA,38092.14063,NA,0,38092.14063,3440.209961,0,0,473.5,0,12.69999981,0,0,3926.409912,3926.409912,3926.409912,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,3,3,0,3,0,0,0,0,0,0,0
Kildare North,Anne Kelly McCormack,Anne,Kelly-McCormack,gp,1974,No,0,0,3,58205,0,0,0,0,NA,NA,NA,NA,NA,minor,f,NA,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIldareN,0,778.4199829,NA,NA,NA,25394.75977,NA,0,25394.75977,615.289978,163.1300049,0,0,0,0,0,0,778.4199829,778.4199829,778.4199829,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Cork South West,Anne O'Leary,Anne,O'Leary,sf,899,No,0,0,3,53672,0,1,0,0,NA,NA,NA,NA,NA,no,f,NA,908,945,0,0,0,0,0,0,0,0,0,0,0,0,0,CorkSW,0,4181.990234,NA,NA,NA,25394.75977,NA,0,19394.75977,531.0599976,0,1678.75,1684.180054,288,0,0,0,4181.990234,4181.990234,4181.990234,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,1,2,0,3,0,1,1,0,0,0,0
Kerry North,Anthony O'Connor,Anthony,O'Connor,ind,208,No,0,0,3,54670,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KerryN,0,4596,NA,NA,NA,25394.75977,NA,0,25394.75977,953,0,1143,2500,0,0,0,0,4596,4596,4596,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,3,1,0,0,0,0,1,0
Louth,Arthur Morgan,Arthur,Morgan,sf,7121,No,0,1,4,80924,0,1,0,0,NA,NA,NA,NA,NA,no,m,7/1/54,7275,7488,7495,7805,8474,8992,9477,0,0,0,0,0,0,0,0,Louth,0,22466.98047,NA,NA,NA,31743.44922,NA,0,31743.44922,7052,0,3724.48999,5687.790039,5852.700195,150,0,0,22466.98047,22466.98047,22466.98047,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,2,1,2,0,3,0,1,1,0,0,0,0
Dublin Mid West,Austin Currie,Austin,Currie,fg,2008,Yes,0,0,3,54793,0,0,0,0,5256,40074,0.16938664,6788,0.131157354,new constituency,m,NA,2017,2023,2051,2100,2573,2687,0,0,0,0,0,0,0,0,0,DublinMidW,0,19899.00977,4194.410156,NA,NA,25394.75977,NA,0,15744.75977,0,300,7392.700195,8011.899902,4194.410156,0,0,0,19899.00977,19899.00977,19899.00977,2,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,1
Wexford,Avril Doyle,Avril,Doyle,fg,3940,No,0,0,5,94969,0,0,0,0,4896,55686,0.385752261,21481,0.08792156,no,f,NA,3969,4011,0,0,0,0,0,0,0,0,0,0,0,0,0,Wexford,521.2399902,18579.34961,NA,NA,NA,38092.14063,NA,0,20092.14063,5387.410156,1183.329956,5863.52002,5423.850098,200,0,0,0,18058.10938,18058.10938,18058.10938,2,3,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,2,2,2,0,3,1,1,0,0,0,0,1
Dun Laoghaire,Barbara Hyland,Barbara,Hyland,ind,86,No,0,0,5,90219,0,0,0,0,52,41158,0.027673842,1139,0.001263424,minor,f,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DunL,0,0,NA,NA,NA,38092.14063,NA,0,38092.14063,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,2,1,1,1,3,0,0,1,0,1,0,0
Wicklow,Barbara Hyland,Barbara,Hyland,ind,171,No,0,0,5,87909,0,0,0,0,52,41158,0.027673842,1139,0.001263424,no,f,NA,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wicklow,0,0,NA,NA,NA,38092.14063,NA,0,38092.14063,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Dun Laoghaire,Barry Andrews,Barry,Andrews,ff,7425,No,0,1,5,90219,0,1,0,0,NA,NA,NA,NA,NA,minor,m,5/1/67,7431,7449,7459,7483,7519,7676,7742,8289,8367,8918,0,0,0,0,0,DunL,4742.080078,26088.40039,NA,NA,16648.07031,38092.14063,43.70473862,0,21446.07031,6528.180176,800.460022,7060.350098,4385.330078,1212,1360,0,0,21346.32031,21346.32031,21346.32031,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,2,1,1,1,3,0,0,1,0,1,0,0
Cork South Central,Batt O'Keeffe,Batt,O'Keeffe,ff,6556,Yes,0,1,5,88737,0,0,0,0,7279,55039,0.426152378,23455,0.13225168,minor,m,4/1/45,8245,8301,8412,8715,8917,9130,9348,9224,9224,0,0,0,0,0,0,CorkSC,5863.540039,24677.53906,3692,NA,18796,38092.14063,49.34351349,0,19296.14063,2050,0,9764,3308,3692,0,0,0,18814,18814,18814,1,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,3,1,1,1,3,0,1,1,0,1,0,0
Louth,Bernadette Martin,Bernadette,Martin,gp,1979,No,0,0,4,80924,0,0,0,0,NA,NA,NA,NA,NA,no,f,NA,2109,2306,2309,0,0,0,0,0,0,0,0,0,0,0,0,Louth,0,9550.650391,NA,NA,NA,31743.44922,NA,0,31743.44922,1695.040039,93,4249.609863,3000,208,305,0,0,9550.650391,9550.650391,9550.650391,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,2,1,2,0,3,0,1,1,0,0,0,0
Cork North Central,Bernard Allen,Bernard,Allen,fg,5458,Yes,0,1,5,77126,0,0,0,0,7746,44008,0.301604241,13273,0.176013455,minor,m,9/1/44,5503,5597,5672,6184,6601,7650,0,0,0,0,0,0,0,0,0,CorkNC,0,22785.93945,2941.350098,NA,NA,38092.14063,NA,0,20951.14063,3959.040039,0,5160.040039,5645.259766,3747.300049,4250.200195,24.10000038,0,22785.93945,22785.93945,22785.93945,1,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,2,3,1,1,0,3,0,1,1,0,0,0,1
Kildare North,Bernard Durkan,Bernard,Durkan,fg,5786,Yes,0,1,3,58205,0,0,0,0,6653,31396,0.261880487,8222,0.211905971,minor,m,3/1/45,5859,6177,7341,8025,0,0,0,0,0,0,0,0,0,0,0,KIldareN,0,17323,2161,NA,NA,25394.75977,NA,0,21794.75977,4461,300,6342,4398,1398,25,0,1469,18393,17323,18393,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Donegal North East,Bernard McGuinness,Bernard,McGuinness,fg,3914,No,0,0,3,57048,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,4101,4111,4376,4551,0,0,0,0,0,0,0,0,0,0,0,DonegalNE,5666.52002,17263.61914,NA,NA,NA,25394.75977,NA,0,13604.75977,3850.199951,1014.119995,4140.939941,991.8400269,985,0,225,390,11597.09961,11597.09961,11597.09961,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0
Dublin Central,Bertie Ahern,Bertie,Ahern,ff,10896,Yes,0,1,4,61194,0,0,0,1,12175,35741,0.428275645,15307,0.340645194,minor,m,9/1/51,6817,6817,6817,6817,6817,6817,0,0,0,0,0,0,0,0,0,DublinC,10932.50977,43026.26953,20643.69922,NA,15871.73047,31743.44922,50.00001907,1,15871.71973,300,172.1300049,2498.409912,7662.149902,2536.47998,0,0,18924.58984,32093.75977,32093.75977,32093.75977,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,3,1,0,1,1,0,1,1
Mayo,Beverley Cooper-Flynn,Beverley,Cooper-Flynn,ff,6661,Yes,0,1,5,92656,0,0,0,0,8353,61858,0.429548323,26571,0.135035083,no,f,6/1/66,6741,6886,7123,7167,7178,7187,9517,9749,9910,0,0,0,0,0,0,Mayo,2840.110107,17604.82031,3259.73999,NA,19046.07031,38092.14063,50,0,19046.07031,5021.569824,1597.209961,3999.48999,140,4006.439941,0,0,0,14764.70996,14764.70996,14764.70996,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,3,3,0,3,0,0,0,0,0,0,0
Tipperary North,Bill Dwan,Bill,Dwan,pd,1446,No,0,0,3,57568,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TippN,1340,15529.84961,NA,NA,NA,25394.75977,NA,0,14648.75977,3517.5,996.3499756,6115,2292,300,0,0,969,14189.84961,14189.84961,14189.84961,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,3,1,1,1,0,0,0,0
Dublin North West,Bill Tormey,Bill,Tormey,ind,1100,No,0,0,3,47394,0,0,0,0,NA,NA,NA,NA,NA,major,m,NA,1128,1137,1205,1351,0,0,0,0,0,0,0,0,0,0,0,DublinNW,0,9087.429688,NA,NA,NA,25394.75977,NA,0,25394.75977,465.8500061,0,4459.080078,4162.5,0,0,0,0,9087.429688,9087.429688,9087.429688,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,1,1,2,1,1,0,3,0,0,0,1,0,0,0
Mayo,Billy Heffron,Billy,Heffron,pd,919,No,0,0,5,92656,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mayo,1340,17814.50977,NA,NA,NA,38092.14063,NA,0,16592.14063,800.7999878,0,7530,5985,2158.709961,0,0,0,16474.50977,16474.50977,16474.50977,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,3,3,0,3,0,0,0,0,0,0,0
