School,GradRate,AdmisRate,Type
University of North Carolina at Chapel Hill,0.65,0.35,Public
University of Virginia,0.81,0.39,Public
College of William and Mary,0.8,0.35,Public
University of Georgia,0.46,0.65,Public
University of Florida,0.5,0.58,Public
New College of Florida,0.47,0.65,Public
Georgia Institute of Technology,0.18,0.59,Public
"University of Illinois at Urbana, Champaign",0.52,0.6,Public
Truman State University,0.39,0.79,Public
Virginia Polytechnic Institute and State University,0.36,0.65,Public
North Carolina State University,0.25,0.59,Public
University of Delaware,0.54,0.48,Public
"University of Wisconsin, Madison",0.41,0.71,Public
"University of Michigan, Ann Arbor",0.61,0.49,Public
"University of California, San Diego",0.43,0.41,Public
"University of California, Berkeley",0.48,0.25,Public
University of Washington,0.4,0.68,Public
New Mexico Institute of Mining and Technology,0.12,0.63,Public
"University of Wisconsin, La Crosse",0.23,0.65,Public
University of Texas at Austin,0.39,0.61,Public
University of Oklahoma,0.19,0.89,Public
University of Kansas,0.26,0.67,Public
University of North Carolina at Asheville,0.31,0.67,Public
State University of New York at Binghamton,0.69,0.42,Public
Colorado School of Mines,0.31,0.67,Public
Auburn University,0.4,0.83,Public
Colorado State University,0.29,0.77,Public
College of New Jersey,0.59,0.48,Public
Michigan State University,0.31,0.67,Public
Appalachian State University,0.31,0.64,Public
Iowa State University of Science and Technology,0.24,0.89,Public
State University of New York College at Geneseo,0.67,0.49,Public
Texas A&M University,0.27,0.68,Public
University of North Carolina at Wilmington,0.34,0.55,Public
"University of Maryland, College Park",0.33,0.43,Public
"University of California, Los Angeles",0.4,0.24,Public
Louisiana State University and Agricultural and Mechanical College,0.23,0.77,Public
University of Tennessee,0.24,0.58,Public
University of Iowa,0.34,0.84,Public
"Rutgers, The State University of New Jersey, New Brunswick",0.44,0.55,Public
Clemson University,0.35,0.52,Public
University of Colorado at Boulder,0.38,0.8,Public
University of Arkansas,0.2,0.86,Public
Mary Washington College,0.65,0.6,Public
Oklahoma State University,0.22,0.92,Public
Kansas State University,0.18,0.58,Public
University of Northern Iowa,0.3,0.8,Public
University of Mississippi,0.29,0.8,Public
James Madison University,0.59,0.58,Public
"University of California, Davis",0.28,0.63,Public
Miami University,0.61,0.77,Public
Purdue University,0.28,0.76,Public
Mississippi State University,0.19,0.74,Public
"University of Nebraska, Lincoln",0.15,0.9,Public
Florida State University,0.38,0.7,Public
