Pollster,State,Date,ObamaPoll,RomneyPoll,SampleSize,ElectoralVotes,Obama2008,IdentifyAsDem,ObamaResults,RomneyResults
Capital,Alabama,6/7 - 6/27,198,353,551,9,0.3874,0.36,0.38,0.61
,Alaska, ,NA,NA,NA,3,0.3789,0.359,0.41,0.55
Rasmussen Reports,Arizona,9/25 - 9/25,210,260,500,11,0.4512,0.398,0.44,0.54
Talk Business Poll,Arkansas,9/17 - 9/17,780,1248,2228,6,0.3886,0.415,0.37,0.61
PPIC,California,9/9 - 9/16,527,388,995,55,0.6101,0.483,0.59,0.38
Rasmussen Reports,Colorado,9/17 - 9/17,225,235,500,9,0.5366,0.399,0.51,0.47
PPP (D),Connecticut,9/24 - 9/26,433,328,801,7,0.6059,0.498,0.58,0.4
,Delaware, ,NA,NA,NA,3,0.6194,0.505,0.59,0.49
,DC, ,NA,NA,NA,3,0.9246,0.79,0.91,0.07
Rasmussen Reports,Florida,9/12 - 9/12,240,230,500,29,0.5103,0.43,0.5,0.49
InsiderAdvantage,Georgia,9/18 - 9/18,169,270,483,16,0.4699,0.403,0.45,0.53
Civil Beat,Hawaii,9/26 - 9/28,1022,626,1648,4,0.7185,0.543,0.71,0.28
,Idaho, ,NA,NA,NA,4,0.361,0.275,0.33,0.65
FOX Chicago/WAA,Illinois,9/28 - 9/28,908,635,1815,20,0.6192,0.484,0.57,0.41
Rasmussen Reports,Indiana,7/31 - 8/1,140,204,400,11,0.4995,0.39,0.44,0.54
Rasmussen Reports,Iowa,9/19 - 9/19,220,235,500,6,0.5393,0.432,0.52,0.46
,Kansas, ,NA,NA,NA,6,0.4165,0.344,0.38,0.6
Courier-Journal/SurveyUSA,Kentucky,9/11 - 9/13,236,321,606,8,0.4117,0.435,0.38,0.61
,Louisiana, ,NA,NA,NA,8,0.3993,0.403,0.41,0.58
Rasmussen Reports,Maine,9/25 - 9/25,260,200,500,4,0.5771,0.438,0.56,0.41
Baltimore Sun,Maryland,9/25 - 9/27,458,273,804,10,0.6192,0.54,0.62,0.37
Rasmussen Reports,Massachusetts,9/24 - 9/24,275,200,500,11,0.618,0.525,0.61,0.38
Rasmussen Reports,Michigan,9/20 - 9/20,270,210,500,16,0.5743,0.477,0.54,0.45
Star Tribune/Mason-Dixon*,Minnesota,9/17 - 9/19,384,320,800,10,0.5406,0.484,0.53,0.45
,Mississippi, ,NA,NA,NA,6,0.43,0.401,0.44,0.56
Rasmussen Reports,Missouri,9/11 - 9/11,225,240,500,10,0.4929,0.401,0.44,0.54
Rasmussen Reports,Montana,8/20 - 8/20,190,255,500,3,0.4727,0.359,0.42,0.55
Rasmussen Reports,Nebraska,5/16 - 5/16,195,265,500,5,0.416,0.331,0.38,0.61
Rasmussen Reports,Nevada,9/18 - 9/18,235,225,500,6,0.5515,0.392,0.52,0.46
Rasmussen Reports,New Hampshire,9/18 - 9/18,225,240,500,4,0.5413,0.423,0.52,0.46
Monmouth University,New Jersey,9/19 - 9/23,319,227,613,14,0.5727,0.474,0.58,0.41
Rasmussen Reports,New Mexico,9/27 - 9/27,255,200,500,5,0.5691,0.447,0.53,0.43
Quinnipiac,New York,9/4 - 9/9,921,505,1486,29,0.628,0.52,0.63,0.36
Rasmussen Reports,North Carolina,9/13 - 9/13,225,255,500,15,0.497,0.434,0.48,0.51
Rasmussen Reports,North Dakota,7/10 - 7/11,144,204,400,3,0.4462,0.358,0.39,0.59
Rasmussen Reports,Ohio,9/12 - 9/12,235,230,500,18,0.5148,0.441,0.5,0.48
Sooner Poll,Oklahoma,7/26 - 8/14,144,287,495,7,0.3435,0.386,0.33,0.67
SurveyUSA,Oregon,9/10 - 9/13,276,226,552,7,0.5675,0.472,0.54,0.43
Rasmussen Reports,Pennsylvania,9/19 - 9/19,255,195,500,20,0.5465,0.464,0.52,0.47
WPRI/Fleming,Rhode Island,9/26 - 9/29,286,165,501,4,0.6313,0.525,0.63,0.36
PPP (D),South Carolina,8/25 - 8/28,223,311,587,9,0.449,0.369,0.44,0.55
PPP (D),South Dakota,1/28 - 1/30,418,481,1045,3,0.4475,0.415,0.4,0.58
Tennessean/Vanderbilt,Tennessee,5/2 - 5/9,NA,NA,NA,11,0.4183,0.381,0.39,0.59
WPA,Texas,9/9 - 9/11,400,550,1000,38,0.4368,0.383,0.41,0.57
PPP (D),Utah,7/8 - 7/10,227,461,732,6,0.3441,0.245,0.25,0.73
Castleton State College,Vermont,8/11 - 8/21,296,119,477,3,0.6746,0.488,0.67,0.31
Rasmussen Reports,Virginia,9/13 - 9/13,245,240,500,13,0.5263,0.412,0.51,0.48
Rasmussen Reports,Washington,9/26 - 9/26,260,205,500,12,0.5765,0.475,0.56,0.42
PPP (D),West Virginia,9/30 - 10/2,308,503,932,5,0.4259,0.453,0.36,0.62
Rasmussen Reports,Wisconsin,9/17 - 9/17,245,230,500,10,0.5622,0.45,0.53,0.46
 ,Wyoming, ,NA,NA,NA,3,0.3254,0.267,0.28,0.69
