Year,Mileage,Price,Color,Location,Model,Age
2006,44185,9925,beige,St Paul,SEL,3
2008,36477,16491,beige,Dallas,Limited,1
2006,17196,15995,beige,Dallas,SEL,3
2006,44295,10990,beige,Dallas,SE,3
2007,41774,10899,beige,Dallas,SEL,2
2007,48656,10777,beige,Dallas,SEL,2
2006,50229,9899,beige,Dallas,SE,3
2004,43571,8950,beige,Dallas,SEL,5
2006,74876,8409,beige,Dallas,SEL,3
2003,76465,5950,beige,Dallas,SES,6
2002,76063,4995,beige,Dallas,SE,7
2002,96358,3988,beige,Dallas,SE,7
2002,123147,3500,beige,Dallas,SES,7
2005,52804,8982,beige,St Paul,SEL,4
2005,57910,8900,beige,St Paul,SE,4
2007,37797,8488,beige,St Paul,SE,2
2007,42810,8400,beige,St Paul,SE,2
2005,74483,7999,beige,St Paul,SE,4
2005,70830,6990,beige,St Paul,SE,4
1994,128413,1599,beige,St Paul,GL,15
2009,5625,19977,black,St Paul,SEL,0
2008,8909,18997,black,St Paul,Limited,1
2008,15581,17999,black,St Paul,SEL,1
2008,22042,17499,black,St Paul,SEL,1
2008,27810,16588,black,St Paul,Limited,1
2008,26926,13985,black,St Paul,SEL,1
2008,30919,13980,black,St Paul,SEL,1
1998,176634,9999,black,Dallas,SE,11
2007,34279,9991,black,Dallas,SE,2
2007,42827,9899,black,Dallas,SE,2
2003,72861,4995,black,Dallas,SE,6
2004,79650,4950,black,Dallas,SE,5
2003,106325,3995,black,Dallas,SE,6
2007,36610,8988,black,St Paul,SE,2
2003,77905,6995,black,St Paul,SES,6
2002,134000,5995,black,St Paul,NA,7
2000,64600,5995,black,St Paul,SE,9
1998,87102,3999,black,St Paul,SE,11
1998,112049,3995,black,St Paul,SE,11
1997,137259,2988,black,St Paul,LX,12
1994,178526,1995,black,St Paul,GL,15
2008,18544,16988,blue,St Paul,SEL,1
2008,18169,16988,blue,St Paul,SEL,1
2008,15932,15797,blue,St Paul,SEL,1
2008,24237,15488,blue,St Paul,SEL,1
2008,42371,14997,blue,St Paul,SEL,1
2008,21038,13997,blue,St Paul,SEL,1
2008,29768,13997,blue,St Paul,SEL,1
2008,18199,13995,blue,St Paul,SEL,1
2008,21199,13980,blue,St Paul,SEL,1
2007,35792,12990,blue,St Paul,SEL,2
2008,21501,12680,blue,St Paul,SEL,1
2007,34338,10395,blue,St Paul,SEL,2
2007,44552,9990,blue,St Paul,SE,2
2008,14588,16954,blue,Dallas,SEL,1
2007,38701,9341,blue,Dallas,SE,2
2001,54291,6991,blue,Dallas,SES,8
2001,69730,5591,blue,Dallas,SE,8
2000,129877,4450,blue,Dallas,SE,9
1993,120825,1995,blue,Dallas,GL,16
2007,38517,8995,blue,St Paul,SEL,2
2001,93310,7000,blue,St Paul,LX,8
2000,116861,4490,blue,St Paul,SE,9
1999,122074,2995,blue,St Paul,LX,10
1999,141263,2450,blue,St Paul,SE,10
2007,36389,11988,burgundy,St Paul,SEL,2
2008,18200,16000,burgundy,St Paul,SEL,1
2008,19714,14497,burgundy,St Paul,SEL,1
2008,13929,14480,burgundy,St Paul,SEL,1
2008,23966,13997,burgundy,St Paul,SEL,1
2007,51984,9950,burgundy,St Paul,SEL,2
2001,34553,9477,burgundy,St Paul,SE,8
2008,35952,14292,burgundy,Dallas,SEL,1
2006,44415,11995,burgundy,Dallas,SE,3
2007,49346,9950,burgundy,Dallas,SE,2
2007,49674,9480,burgundy,Dallas,SE,2
2005,54763,8999,burgundy,Dallas,SEL,4
2006,37701,8999,burgundy,Dallas,SE,3
2005,74223,8988,burgundy,Dallas,SEL,4
2000,60481,7998,burgundy,Dallas,SES,9
2006,86414,7995,burgundy,Dallas,SEL,3
2006,88204,7875,burgundy,Dallas,SEL,3
2005,65414,7493,burgundy,Dallas,SEL,4
2007,48140,6993,burgundy,Dallas,SE,2
2002,121000,3500,burgundy,Dallas,SE,7
2000,95233,7990,burgundy,St Paul,SE,9
2005,76389,7192,burgundy,St Paul,SE,4
2002,125589,4990,burgundy,St Paul,SES,7
2008,15007,15998,gold,Dallas,SEL,1
2005,38462,10995,gold,Dallas,SE,4
2006,43593,10990,gold,Dallas,SE,3
2006,65956,8999,gold,Dallas,SEL,3
2007,86910,8995,gold,Dallas,SE,2
2001,110903,4995,gold,Dallas,LX,8
2000,77028,4886,gold,Dallas,SE,9
2001,152011,3995,gold,Dallas,SE,8
2001,164840,3995,gold,St Paul,SES,8
1999,NA,3450,gold,St Paul,SE,10
1998,NA,2950,gold,St Paul,SE,11
2009,5384,19997,gray,St Paul,Limited,0
2008,10966,19995,gray,St Paul,Limited,1
2008,10641,16998,gray,St Paul,SEL,1
2008,9598,16988,gray,St Paul,SEL,1
2008,14579,16988,gray,St Paul,SEL,1
2008,17948,16988,gray,St Paul,SEL,1
2008,14909,16988,gray,St Paul,Limited,1
2008,13294,16988,gray,St Paul,SEL,1
2008,27198,16884,gray,St Paul,SEL,1
2008,20004,16777,gray,St Paul,SEL,1
2008,21298,15997,gray,St Paul,SEL,1
2008,20129,14997,gray,St Paul,SEL,1
2008,13821,14995,gray,St Paul,SEL,1
2008,21031,14980,gray,St Paul,SEL,1
2008,22736,14980,gray,St Paul,Limited,1
2007,35810,11291,gray,St Paul,SEL,2
2006,41563,10995,gray,St Paul,SEL,3
2003,99365,9990,gray,St Paul,SEL,6
2007,32296,9988,gray,St Paul,SE,2
2007,37864,9988,gray,St Paul,SE,2
2008,9898,17981,gray,Dallas,SEL,1
2008,14636,17981,gray,Dallas,SEL,1
2008,27425,17981,gray,Dallas,SEL,1
2008,23418,16350,gray,Dallas,SEL,1
2006,11192,15995,gray,Dallas,SEL,3
2006,14490,15995,gray,Dallas,SEL,3
2008,13733,15988,gray,Dallas,SEL,1
2008,26283,15973,gray,Dallas,SEL,1
2006,21234,12987,gray,Dallas,SE,3
2006,32042,11998,gray,Dallas,SEL,3
2006,18319,11987,gray,Dallas,SEL,3
2004,31250,10000,gray,Dallas,SE,5
2007,31783,9999,gray,Dallas,SE,2
2007,46888,9995,gray,Dallas,SE,2
2005,46379,9945,gray,Dallas,SEL,4
2003,43423,8991,gray,Dallas,SEL,6
2006,46635,8983,gray,Dallas,SE,3
2007,33625,8979,gray,Dallas,SE,2
2006,55332,8977,gray,Dallas,SE,3
2007,46639,8950,gray,Dallas,SE,2
2005,62381,7992,gray,Dallas,SE,4
2002,31140,7991,gray,Dallas,SES,7
2006,61788,7950,gray,Dallas,SE,3
2005,60346,7888,gray,Dallas,SE,4
2006,77188,7675,gray,Dallas,SE,3
2007,54760,7450,gray,Dallas,SE,2
2007,32000,7400,gray,Dallas,SE,2
2005,65863,6983,gray,Dallas,SEL,4
2004,73063,6980,gray,Dallas,SES,5
2004,98250,6950,gray,Dallas,SES,5
2006,75800,6750,gray,Dallas,SE,3
2002,50575,5988,gray,Dallas,SE,7
2002,131876,4995,gray,Dallas,SES,7
2001,99134,4992,gray,Dallas,SES,8
2004,70000,4950,gray,Dallas,SE,5
2004,95000,4750,gray,Dallas,SES,5
1999,62969,4500,gray,Dallas,SE,10
2003,59000,4450,gray,Dallas,SE,6
2003,NA,3995,gray,Dallas,SES,6
2002,133458,3200,gray,Dallas,SES,7
2001,150000,2500,gray,Dallas,SE,8
2007,42625,8995,gray,St Paul,SEL,2
2007,45011,8988,gray,St Paul,SEL,2
2003,79578,8888,gray,St Paul,SEL,6
2004,70037,6995,gray,St Paul,SES,5
2005,65133,6990,gray,St Paul,SE,4
2005,87743,5880,gray,St Paul,SEL,4
2001,47920,4995,gray,St Paul,SES,8
2001,123055,4455,gray,St Paul,SE,8
2008,35508,13995,green,St Paul,SEL,1
2008,78416,12485,green,St Paul,SEL,1
2006,43125,10599,green,Dallas,SEL,3
2007,33231,9950,green,Dallas,SE,2
2006,68955,8495,green,Dallas,SEL,3
2006,79608,7995,green,Dallas,SEL,3
2006,91050,7950,green,Dallas,SE,3
2007,37000,7250,green,Dallas,SE,2
2006,70192,6995,green,Dallas,SEL,3
2006,87291,6950,green,Dallas,SE,3
2005,57000,5300,green,Dallas,SE,4
1998,125000,2599,green,Dallas,LX,11
2004,114000,5995,green,St Paul,SEL,5
1994,91000,1495,green,St Paul,GL,15
2006,39021,11611,green,Dallas,SEL,3
2006,58000,5900,NA,Dallas,SE,3
2005,45000,4950,NA,Dallas,SEL,4
2003,88000,4500,NA,Dallas,SE,6
1997,118000,2250,NA,Dallas,NA,12
2006,100000,8900,NA,St Paul,SE,3
2001,94028,4997,NA,St Paul,SES,8
2007,59903,8999,red,St Paul,SEL,2
2007,49591,9900,red,Dallas,SE,2
2003,109892,5495,red,Dallas,SES,6
1999,89986,5995,red,St Paul,SE,10
2000,104675,4995,red,St Paul,SES,9
2007,28640,9995,white,Dallas,SE,2
2009,5023,19988,white,St Paul,SEL,0
2008,19102,17499,white,St Paul,SEL,1
2008,22451,15988,white,St Paul,Limited,1
2008,22613,14997,white,St Paul,SEL,1
2008,17877,14997,white,St Paul,SEL,1
2008,16304,14480,white,St Paul,Limited,1
2007,41268,9291,white,St Paul,SE,2
2009,6571,19998,white,Dallas,SEL,0
2008,15261,19326,white,Dallas,Limited,1
2008,31339,18989,white,Dallas,Limited,1
2008,15539,18474,white,Dallas,SEL,1
2008,13622,17981,white,Dallas,SEL,1
2008,27942,17981,white,Dallas,SEL,1
2008,23606,17981,white,Dallas,SEL,1
2008,12515,17398,white,Dallas,SEL,1
2007,30041,15995,white,Dallas,SEL,2
2006,47844,11991,white,Dallas,SEL,3
2007,43546,11987,white,Dallas,SEL,2
2007,43018,10998,white,Dallas,SEL,2
2006,47800,10990,white,Dallas,SE,3
2007,39406,10900,white,Dallas,SE,2
2006,50420,10599,white,Dallas,SEL,3
2005,36520,9998,white,Dallas,SE,4
2007,42754,9888,white,Dallas,SE,2
2005,39832,9599,white,Dallas,SE,4
2006,57008,8999,white,Dallas,SE,3
2004,38130,8995,white,Dallas,SE,5
2005,64347,7990,white,Dallas,SE,4
2007,23450,7950,white,Dallas,SEL,2
2004,87292,7488,white,Dallas,SES,5
2004,63980,7476,white,Dallas,SE,5
2002,79068,6973,white,Dallas,SES,7
2003,56623,6900,white,Dallas,SE,6
2005,87000,6500,white,Dallas,NA,4
2004,90000,5000,white,Dallas,SEL,5
2003,110000,4000,white,Dallas,SES,6
2001,NA,3495,white,Dallas,SES,8
1996,103290,2999,white,Dallas,GL,13
2002,57526,7998,white,St Paul,SES,7
2006,50526,7977,white,St Paul,SE,3
2007,89263,6995,white,St Paul,SE,2
2004,60215,6950,white,St Paul,SE,5
2002,80333,5950,white,St Paul,SES,7
2003,91208,5950,white,St Paul,SE,6
2003,60375,5950,white,St Paul,SE,6
2001,90767,4990,white,St Paul,SES,8
1999,99375,4855,white,St Paul,SE,10
2001,93000,4450,white,St Paul,SEL,8
2002,121120,3995,white,St Paul,SE,7
2000,NA,3950,white,St Paul,SE,9
1999,123516,3499,white,St Paul,SE,10
1994,146961,2995,white,St Paul,GL,15
1996,173654,1999,white,St Paul,GL,13
2008,5891,18473,white,Dallas,SEL,1
