"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","fips_code","county","total_2008","dem_2008","gop_2008","oth_2008","total_2012","dem_2012","gop_2012","oth_2012","total_2016","dem_2016","gop_2016","oth_2016","perdem_2016","perrep_2016","winrep_2016","perdem_2012","perrep_2012","winrep_2012","polyname","abb","StateColor","value","IncomeBracket"
1001,54907,76,18,1,2,24571,668,37.5,1001,"Autauga County",23641,6093,17403,145,23909,6354,17366,189,24661,5908,18110,643,0.239568549531649,0.73435789302948,TRUE,0.265757664477812,0.726337362499477,TRUE,"alabama","AL","red",TRUE,"low"
1003,187114,83,9,1,4,26766,693,41.5,1003,"Baldwin County",81413,19386,61271,756,84988,18329,65772,887,94090,18409,72780,2901,0.195653098097566,0.773514719948985,TRUE,0.215665741045795,0.773897491410552,TRUE,"alabama","AL","red",TRUE,"high"
1005,27321,46,46,0,5,16829,382,38.3,1005,"Barbour County",11630,5697,5866,67,11459,5873,5539,47,10390,4848,5431,111,0.46660250240616,0.522714148219442,TRUE,0.512522907758094,0.483375512697443,FALSE,"alabama","AL","red",TRUE,"low"
1007,22754,75,22,0,2,17427,351,39.4,1007,"Bibb County",8644,2299,6262,83,8391,2200,6131,60,8748,1874,6733,141,0.214220393232739,0.769661636945588,TRUE,0.262185675128113,0.730663806459302,TRUE,"alabama","AL","red",TRUE,"low"
1009,57623,88,1,0,8,20730,403,39.6,1009,"Blount County",24267,3522,20389,356,23980,2961,20741,278,25384,2150,22808,426,0.0846990230066183,0.898518751969745,TRUE,0.12347789824854,0.864929107589658,TRUE,"alabama","AL","red",TRUE,"low"
1011,10746,22,71,0,6,18628,276,39.6,1011,"Bullock County",5415,4011,1391,13,5318,4058,1250,10,4701,3530,1139,32,0.750904062965327,0.242288874707509,FALSE,0.763068822865739,0.235050770966529,FALSE,"alabama","AL","red",FALSE,"low"
1013,20624,54,44,1,1,17403,331,40.6,1013,"Butler County",9709,4188,5485,36,9483,4367,5081,35,8685,3716,4891,78,0.427864133563615,0.563154864709269,TRUE,0.460508277971106,0.535800906886007,TRUE,"alabama","AL","red",TRUE,"low"
1015,117714,73,21,1,3,20828,422,38.7,1015,"Calhoun County",49242,16334,32348,560,46240,15500,30272,468,47376,13197,32803,1376,0.278558763931104,0.692396994258696,TRUE,0.335207612456747,0.654671280276817,TRUE,"alabama","AL","red",TRUE,"low"
1017,34145,58,40,1,1,19291,374,42.4,1017,"Chambers County",14956,6799,8067,90,14562,6853,7596,113,13778,5763,7803,212,0.418275511685295,0.566337639715488,TRUE,0.470608432907568,0.521631644004944,TRUE,"alabama","AL","red",TRUE,"low"
1019,26034,92,5,0,1,22030,375,45,1019,"Cherokee County",9745,2306,7298,141,9761,2126,7494,141,10503,1524,8809,170,0.145101399600114,0.838712748738456,TRUE,0.217805552709763,0.767749206023973,TRUE,"alabama","AL","red",TRUE,"low"
1021,43744,81,10,0,8,20701,405,38,1021,"Chilton County",17785,3674,13960,151,17434,3391,13910,133,18255,2909,15068,278,0.159353601752944,0.825417693782525,TRUE,0.194504990248939,0.797866238384765,TRUE,"alabama","AL","red",TRUE,"low"
1023,13687,56,43,0,0,20323,345,44.2,1023,"Choctaw County",7894,3636,4223,35,7965,3785,4150,30,7268,3109,4102,57,0.427765547605944,0.564391854705559,TRUE,0.475204017576899,0.521029504080352,TRUE,"alabama","AL","red",TRUE,"low"
1025,25573,54,44,0,0,18979,325,40.3,1025,"Clarke County",13435,5914,7466,55,13827,6317,7463,47,12936,5712,7109,115,0.441558441558442,0.549551638837353,TRUE,0.456859767122297,0.539741086280466,TRUE,"alabama","AL","red",TRUE,"low"
1027,13703,80,15,0,3,18694,276,42.1,1027,"Clay County",6819,1760,4984,75,6640,1770,4802,68,6572,1234,5230,108,0.18776628119294,0.795800365185636,TRUE,0.266566265060241,0.723192771084337,TRUE,"alabama","AL","red",TRUE,"low"
1029,14945,93,4,0,2,19108,371,41.3,1029,"Cleburne County",6492,1168,5216,108,6302,971,5269,62,6532,684,5738,110,0.104715248009798,0.878444580526638,TRUE,0.154078070453824,0.836083782926055,TRUE,"alabama","AL","red",TRUE,"low"
1031,50468,72,17,1,6,23380,456,37.8,1031,"Coffee County",20128,5079,14919,130,19715,4899,14638,178,20513,4194,15825,494,0.204455711012529,0.771461999707503,TRUE,0.248490996703018,0.742480344915039,TRUE,"alabama","AL","red",TRUE,"low"
1033,54456,79,16,0,2,21572,399,41.7,1033,"Colbert County",24843,9703,14739,401,23374,9160,13931,283,24626,7296,16718,612,0.296272232599691,0.678875984731585,TRUE,0.391888423034141,0.596004107127578,TRUE,"alabama","AL","red",TRUE,"low"
1035,13104,51,45,0,1,15605,331,43.2,1035,"Conecuh County",6943,3429,3470,44,7013,3551,3434,28,6543,3069,3413,61,0.469050894085282,0.521626165367568,TRUE,0.506345358619706,0.489662056181377,FALSE,"alabama","AL","red",TRUE,"low"
1037,11198,66,31,0,2,18493,301,44.7,1037,"Coosa County",5563,2273,3248,42,5243,2188,3028,27,5223,1780,3376,67,0.340800306337354,0.646371816963431,TRUE,0.417318329200839,0.577531947358383,TRUE,"alabama","AL","red",TRUE,"low"
1039,37847,84,13,0,1,20391,353,42.4,1039,"Covington County",15787,3240,12444,103,15415,3155,12148,112,15818,2379,13222,217,0.150398280440005,0.835883171070932,TRUE,0.204670775218943,0.78806357444048,TRUE,"alabama","AL","red",TRUE,"low"
1041,13955,71,23,1,2,21343,279,40.6,1041,"Crenshaw County",6291,1938,4319,34,6411,2048,4326,37,6252,1663,4511,78,0.265994881637876,0.721529110684581,TRUE,0.319450943690532,0.674777725783809,TRUE,"alabama","AL","red",TRUE,"low"
1043,80499,92,1,0,4,20760,401,40.4,1043,"Cullman County",35305,5864,28896,545,33178,4855,27930,393,37278,3730,32734,814,0.100059016041633,0.878105048554107,TRUE,0.146331906685153,0.841822894689252,TRUE,"alabama","AL","red",TRUE,"low"
1045,50102,70,19,1,6,22685,434,36.1,1045,"Dale County",19320,5270,13886,164,18551,5283,13105,163,18617,4408,13798,411,0.236772842026105,0.741150561314927,TRUE,0.284782491509892,0.706430920166029,TRUE,"alabama","AL","red",TRUE,"low"
