IQ,starts_w_B
104.8329862,No
94.38732388,No
106.6834055,No
75.20025558,No
112.8082211,No
90.73380391,No
82.67163639,No
88.68227053,No
72.40026555,No
114.237456,No
107.9276578,No
105.5083758,No
104.4234714,No
110.5816567,No
111.5639631,No
107.0930487,No
119.9142248,No
105.4707629,No
101.5011638,No
121.5127577,No
127.602551,No
80.11208164,No
111.6923449,No
87.10021334,No
109.6007481,No
91.08180452,No
112.1470358,No
98.95492389,No
92.04504385,No
98.85462094,No
100.9704143,No
82.73495286,No
100.7589623,No
97.98763173,No
97.17291755,No
61.01441991,No
124.0431072,No
116.3094853,No
71.48456915,No
123.607373,No
104.1830396,No
81.89768825,No
115.5522309,No
94.62746488,No
136.7783501,No
127.0042532,No
109.2257455,No
100.9729056,No
69.01123644,No
97.27298789,No
90.74474613,No
90.81893111,No
125.2020285,No
86.55285061,No
121.4048416,No
90.06575701,No
98.51253453,No
101.0264298,No
99.93156423,No
110.1133448,No
87.03557793,No
91.44132048,No
76.82657096,No
107.3772297,No
100.5215347,No
89.23327885,No
78.51859248,No
78.78187904,No
111.4790571,No
126.8242537,No
126.0217377,No
66.37364623,No
103.5564035,No
91.06785154,No
77.4566744,No
123.4225912,No
85.0744785,No
109.1437772,No
117.6421336,No
124.0348647,No
103.265078,No
128.8655372,No
125.2228747,No
103.6743369,No
87.78454332,No
91.82463023,No
108.4921341,No
90.50925597,No
111.512311,No
88.27734329,No
97.23910992,No
107.7892883,No
101.3904892,No
96.73156059,No
127.8274878,No
128.1203804,No
86.90764116,No
109.7484903,No
123.4509245,No
65.30545302,No
96.45674805,No
95.80650859,No
109.0568191,No
102.00827,No
117.8982401,No
90.50205194,No
118.910418,No
71.45820931,No
116.4270983,No
101.6171989,No
87.16195624,No
103.9512443,No
85.34446091,No
88.11516055,No
106.9006852,No
118.8324392,No
125.4228417,No
94.99730143,No
102.1547127,No
113.5949548,No
92.95443671,No
98.87211894,No
122.0222512,No
130.2200623,No
104.7488692,No
89.44468955,No
81.88331461,No
121.6932811,No
117.4501037,No
103.8386505,No
118.6449331,No
89.99389184,No
76.86561956,No
75.74792174,No
95.1016822,No
108.6747212,No
104.4220606,No
108.574122,No
108.1891175,No
101.5967383,No
122.8237633,No
86.91052092,No
97.97398966,No
111.7271019,No
113.7735485,No
105.2434022,No
75.7571301,No
98.0659182,No
110.6736577,No
87.83475251,No
93.4902776,No
70.3897939,No
107.8285325,No
92.80425793,No
97.06962003,No
98.16143193,No
106.2252831,No
96.78808126,No
127.7967785,No
93.36970128,No
107.4240056,No
118.9683444,No
105.3441545,No
101.9140825,No
101.2629772,No
107.0285154,No
90.30368405,No
80.51887802,No
95.58012681,No
113.0652234,No
121.3405047,No
104.3221632,No
93.9686802,No
129.4582817,No
117.805186,No
108.8984429,No
125.8658637,No
96.73096229,No
117.6958841,No
117.6583316,No
96.04553959,No
78.22911307,No
95.90759936,No
92.70860159,No
108.6524014,No
80.31404059,No
83.90394245,No
97.59804131,No
113.0348191,No
116.1054998,No
86.43552907,No
133.0475481,No
126.6006533,No
91.67940393,No
97.26240322,No
96.2310857,No
115.9897479,No
105.3596431,No
101.5122901,No
68.86584713,No
72.02686152,No
120.2956311,No
117.1724122,No
83.82496024,No
88.59352284,No
124.1587856,No
105.7182487,No
108.6033406,No
108.9779527,No
73.30606865,No
100.545211,No
102.440607,No
110.8971586,No
111.5454197,No
96.75874347,No
91.55373502,No
120.2597314,No
76.34709831,No
122.4614366,No
120.535005,No
118.3211791,No
100.4025085,No
108.2789086,No
133.4722166,No
93.61225931,No
74.24238319,No
119.0282741,No
97.99237027,No
100.6552007,No
100.1386967,No
99.51368838,No
81.44605073,No
118.3212243,No
87.14446321,No
105.3624095,No
120.996484,No
103.2108961,No
83.86150444,No
95.08462428,No
110.3093218,No
93.62387798,No
118.5837844,No
111.7372447,No
94.72001734,No
94.54505157,No
110.7570353,No
94.73262575,No
102.9674209,No
109.9243959,No
100.3406586,No
107.0273306,No
79.03292237,No
102.9312902,No
77.93643584,No
112.7958423,No
111.0984902,No
93.92116995,No
90.82616472,No
105.3611947,No
108.466402,No
84.3898571,No
101.0511555,No
117.3481558,No
134.0899406,No
104.5788545,No
86.46039306,No
104.6751172,No
127.2511797,No
126.2697314,No
94.31829259,No
87.09062603,No
103.0582029,No
96.19214679,No
101.9381107,No
103.4576752,No
101.0148417,No
106.8788519,No
112.7786713,No
86.40457994,No
109.9510176,No
81.46862428,No
67.27991983,No
