Experience,Salary,Generation,LSAT
4,82200.56631,GenY,67
10,75885.77359,BabyBoomer,50
11,78244.67274,BabyBoomer,67
13,78725.98413,BabyBoomer,42
17,78847.9794,BabyBoomer,41
21,79043.58375,BabyBoomer,82
36,84317.69638,GenY,43
40,80956.96432,BabyBoomer,39
41,76828.12429,BabyBoomer,54
48,81119.85105,GenY,31
50,78464.20215,GenY,51
53,86100.88473,GenY,13
61,85391.97318,GenY,64
63,78886.51149,BabyBoomer,47
66,79733.4022,BabyBoomer,31
67,83717.53529,BabyBoomer,99
81,81508.07161,GenY,55
84,83819.50801,BabyBoomer,26
94,81537.47391,BabyBoomer,57
95,84270.62519,GenY,35
95,80588.89669,BabyBoomer,66
111,81745.67451,BabyBoomer,56
122,92399.8603,BabyBoomer,32
129,86405.44413,GenY,55
141,84644.17761,BabyBoomer,80
141,83851.94361,BabyBoomer,26
146,84847.42016,BabyBoomer,10
151,86050.21394,BabyBoomer,46
151,82174.53127,BabyBoomer,39
158,88603.51772,GenY,55
167,87898.75151,BabyBoomer,33
168,84499.85665,BabyBoomer,63
176,87662.64509,BabyBoomer,40
179,83832.83641,BabyBoomer,65
195,84735.29536,BabyBoomer,73
197,87148.86237,BabyBoomer,70
204,88014.07218,BabyBoomer,36
207,91117.56472,GenY,47
213,85983.68947,BabyBoomer,61
216,81290.99532,BabyBoomer,32
218,93435.92947,BabyBoomer,42
219,93029.08933,GenY,38
231,91245.96828,BabyBoomer,38
237,91852.21769,BabyBoomer,62
240,90568.99557,BabyBoomer,61
273,93099.00988,BabyBoomer,57
320,96479.6611,BabyBoomer,31
324,91761.44225,BabyBoomer,42
331,90643.13209,BabyBoomer,18
335,93502.55237,BabyBoomer,18
355,97825.23075,BabyBoomer,23
361,97995.23792,BabyBoomer,67
372,101568.4596,BabyBoomer,10
378,98178.7961,BabyBoomer,60
398,96877.94843,BabyBoomer,77
425,105430.0868,BabyBoomer,14
430,96159.31421,BabyBoomer,48
445,98213.2585,BabyBoomer,46
455,102531.8285,BabyBoomer,27
460,100761.2884,BabyBoomer,65
