Student,GPA
FBY,3.2192
JDF,3.52
EJX,3.4077
KKR,3.4846
LTI,2.8764
XSL,3.8782
ZRA,3.7383
CJG,2.9307
LHZ,3.1762
LQE,3.4743
EMI,3.33
ATX,2.6036
BXK,3.3494
MXL,3.5727
VKS,3.2192
CSY,3.7087
FGT,3.35
WOB,3.1225
WSD,2.9776
JAC,3.3858
NGW,2.22
FAQ,3.1225
IGE,3.684
IQS,3.2785
IPL,3.462
PKB,2.9014
BGV,2.6045
WRQ,3.463
RXQ,3.3733
YZI,3.3054
APP,3.8592
QBI,3.4743
WCV,3.3909
OGE,3.5436
WYO,3.2031
WXA,3.5736
TYY,3.355
PAU,3.4007
GNY,3.7178
OPB,3.9391
SYB,3.1637
HJT,3.5193
MXJ,3.6358
DYA,2.8321
TPQ,3.7192
PRF,3.0264
LWL,2.76
GBI,3.2456
ROU,3.264
ULG,3.5517
SZB,3.888
LMP,3.33
LIM,3.64
DYU,2.7146
ITF,3.5346
FDD,2.6036
XVF,3.9391
BVI,3.82
NZA,3.2114
EOE,3.7087
LQS,3.43
ZXP,3.888
LAP,3.2467
YSW,3.3054
NBE,3.3071
DYM,3.642
VZZ,3.5869
BFF,3.5847
UPA,3.6171
ZLR,3.74
PKA,3.2357
IRF,3.4736
VFE,3.6318
IYQ,3.8875
HGT,3.1639
SWY,3.2456
SAA,3.6256
PAU,3.1425
KYV,2.235
HYP,3.3733
LIR,3.7931
QQS,3.33
PZA,3.4692
DCX,3.52
TWP,3.0469
XJJ,3.6419
LNI,3.7114
PIN,3.7114
UWW,2.6131
AVX,3.2456
PGJ,3.83
WJY,3.9391
QZG,3.4062
NQZ,3.1225
YDW,3.58
PDR,3.2031
FZX,3.26
RKK,3.73
YZV,3.7845
XWV,3.528
WBW,3.9391
AWR,3.497
KLF,3.5517
MRD,3.7845
CNN,2.9014
FTS,3.9738
TSY,3.4117
UUV,3.3307
JRW,3.3833
TED,3.1219
NKV,3.1831
RYK,3.1967
NBL,3.355
OSL,3.4867
OWW,3.463
RCN,3.525
BNE,3.4433
CCB,3.1254
BWI,3.6089
VXX,3.6237
MDN,3.525
UIK,3.1225
SCQ,3.7162
HTQ,2.1864
XSU,2.4315
HMR,3.73
PRP,3.1639
WUN,3.8725
WBE,3.2114
WWB,2.6036
ZUW,3.1631
KML,3.2189
HMI,3.497
GQP,3.297
ORI,2.9973
CWX,3.6083
OHR,3.9757
RZU,3.3054
WMG,3.2647
PRY,3.2912
KSK,2.8308
KCM,3.8177
QNU,3.83
KSU,2.8155
TIB,2.886
XUE,3.5679
BAV,2.4125
LYO,3.4827
QYB,3.205
PZQ,3.2189
HAL,3.6839
GBJ,3.74
OPB,3.0914
QPU,3.3733
AFF,2.7162
NDW,2.5533
MOP,3.3592
AEZ,3.9757
YEE,3.4425
TSC,2.8685
RAI,3.0264
WKC,3.1425
WWL,3.4425
WZZ,3.1925
QXC,2.6036
PXI,3.6009
FKM,3.355
GQJ,3.5679
NLA,3.6256
GLQ,3.5533
OPK,3.763
NEF,3.6839
KXD,3.0517
EYK,3.7025
DOF,3.3909
TOW,3.64
YTK,2.9307
PFJ,3.2647
MNE,3.3307
ODM,3.3808
FBE,3.5193
VBB,3.4
EZQ,3.1225
MTL,3.5233
TFQ,3.7245
ART,3.2742
QYR,3.7255
FOW,3.898
MWZ,3.0525
TSZ,3.4117
RIE,3.4527
MTN,3.0469
ZXC,3.7758
VBS,4
LNS,3.44
RRG,3.3741
SSB,3.3494
WMD,3.6336
YOE,3.363
QQO,3.33
UZR,3.7255
CAU,3.3554
GYJ,2.4315
AXO,3.7245
NZX,3.429
CTS,3.8224
LHV,3.355
OTZ,3.4827
WKN,3.0469
JTT,3.8875
SXY,2.22
NGA,2.6131
OMP,3.6164
DWJ,2.8308
NDW,3.3009
YRZ,3.1206
TIS,3.3286
SFF,3.932
JSY,3.8064
QMM,3.0156
GBK,3.2523
NKK,3.2523
XTG,3.3858
DEC,3.308
ARW,3.5717
IDL,3.7408
FDK,3.5709
JDY,3.8867
CVS,3.435
YHC,4
PED,3.3592
IHV,3.7836
HWI,3.264
JQB,2.235
HNQ,3.3592
EQE,2.6108
JGH,3.2567
OXQ,3.4323
ZVL,3.3833
PEU,3.1407
IPA,3.1537
UXR,3.2467
ECB,3.2031
VSX,3.6075
QRN,3.1475
HTK,3.1
KXF,2.932
JDT,3.1631
DZQ,3.6237
WBY,3.888
