month,year,price,therms,hdd,address,renovated
6,2005,35.21,21,0,a,no
7,2005,37.37,21,0,a,no
8,2005,36.93,21,3,a,no
9,2005,62.36,39,61,a,no
10,2005,184.15,120,416,a,no
11,2005,433.35,286,845,a,no
12,2005,600.24,443,1403,a,no
1,2006,488.88,367,1123,a,no
2,2006,574,473,1253,a,no
3,2006,416.18,356,967,a,no
4,2006,166.52,169,334,a,no
5,2006,124.77,112,187,a,no
6,2006,NA,NA,19,a,no
7,2006,NA,NA,0,a,no
8,2006,NA,NA,0,a,no
9,2006,NA,NA,196,a,no
10,2006,NA,NA,597,a,no
11,2006,NA,NA,839,a,no
12,2006,NA,NA,1103,a,no
1,2007,NA,NA,1399,a,no
2,2007,NA,NA,1434,a,no
3,2007,NA,NA,817,a,no
4,2007,NA,NA,539,a,no
5,2007,NA,NA,102,a,no
6,2007,46.35,20,9,a,no
7,2007,44.64,20,0,a,no
8,2007,40.96,18,10,a,yes
9,2007,60.46,42,106,a,yes
10,2007,112.42,103,352,a,yes
11,2007,233.55,224,908,a,yes
12,2007,424.85,396,1494,a,yes
1,2008,388.48,367,1598,a,yes
2,2008,458.2,423,1436,a,yes
3,2008,418.77,349,1130,a,yes
4,2008,243.58,204,621,a,yes
5,2008,178.45,117,271,a,yes
6,2008,64.21,31,11,a,yes
7,2008,53.34,21,0,a,yes
8,2008,44.24,19,0,a,yes
9,2008,66.63,42,101,a,yes
10,2008,120.72,117,449,a,yes
11,2008,228.18,230,905,a,yes
12,2008,457.9,436,1587,a,yes
1,2009,454.57,425,1747,a,yes
2,2009,326.4,356,1229,a,yes
6,2006,101.61,91,19,b,no
7,2006,18.13,9,0,b,no
8,2006,19.11,10,0,b,no
9,2006,21.86,12,196,b,no
10,2006,116.44,100,597,b,no
11,2006,137.97,165,839,b,no
12,2006,250.56,248,1103,b,no
1,2007,394.27,356,1399,b,no
2,2007,372.98,363,1434,b,no
3,2007,410.77,385,817,b,no
4,2007,141.7,124,539,b,no
5,2007,120.19,116,102,b,no
6,2007,16.83,4,9,b,no
7,2007,15.35,3,0,b,no
8,2007,19.61,8,10,b,no
9,2007,38.82,33,106,b,no
10,2007,75.55,74,352,b,no
11,2007,207.17,207,908,b,no
12,2007,412.92,394,1494,b,no
1,2008,364.64,352,1598,b,no
2,2008,329.85,308,1436,b,no
3,2008,259.85,218,1130,b,no
4,2008,192.95,165,621,b,no
5,2008,88.44,58,271,b,no
6,2008,15.65,3,11,b,no
7,2008,18.83,5,0,b,no
8,2008,20.48,8,0,b,yes
9,2008,26.73,15,101,b,yes
10,2008,63.16,62,449,b,yes
11,2008,143.66,147,905,b,yes
12,2008,272.22,260,1587,b,yes
1,2009,322.55,305,1747,b,yes
2,2009,256.97,286,1229,b,yes
6,2006,64.66,58,19,c,no
7,2006,11,2,0,c,no
8,2006,12.72,4,0,c,no
9,2006,13.02,4,196,c,no
10,2006,37.87,29,597,c,no
11,2006,75.15,91,839,c,no
12,2006,147.66,144,1103,c,no
1,2007,211.87,188,1399,c,no
2,2007,235.6,226,1434,c,no
3,2007,262.39,243,817,c,no
4,2007,153.13,133,539,c,no
5,2007,150.36,147,102,c,no
6,2007,21.06,8,9,c,no
7,2007,19.41,7,0,c,no
8,2007,19.61,8,10,c,no
9,2007,38.8,33,106,c,no
10,2007,84.81,85,352,c,no
11,2007,207.24,207,908,c,no
12,2007,343.41,326,1494,c,no
1,2008,284.16,273,1598,c,no
2,2008,334.98,313,1436,c,no
3,2008,288.22,243,1130,c,no
4,2008,189.65,163,621,c,no
5,2008,164.42,93,271,c,no
6,2008,40.69,21,11,c,no
7,2008,35.49,17,0,c,no
8,2008,25.97,13,0,c,yes
9,2008,88.1,74,101,c,yes
10,2008,100.84,107,449,c,yes
11,2008,150.79,155,905,c,yes
12,2008,303,291,1587,c,yes
1,2009,305.42,289,1747,c,yes
2,2009,279.15,311,1229,c,yes
