"conum","year","co_code","co_name","gdp","Pop","TotPop","gold","silver","bronze","MedalTot","TotMedals","host","planned","soviet"
8,60,"ARG","Argentina",1.21E+011,2.06E+007,2.90E+009,0,1,1,2,481,"No","No","No"
11,60,"AUS","Australia",9.92E+010,1.03E+007,2.90E+009,8,8,6,22,481,"No","No","No"
12,60,"AUT","Austria",7.39E+010,7048000,2.90E+009,1,1,0,2,481,"No","No","No"
19,60,"BEL","Belgium",9.70E+010,9119000,2.90E+009,0,2,2,4,481,"No","No","No"
27,60,"BRA","Brazil",1.18E+011,7.28E+007,2.90E+009,0,0,2,2,481,"No","No","No"
30,60,"BGR","Bulgaria",2.80E+009,7867000,2.90E+009,1,3,3,7,481,"No","No","Yes"
35,60,"CAN","Canada",2.10E+011,1.79E+007,2.90E+009,0,1,0,1,481,"No","No","No"
53,60,"DNK","Denmark",6.93E+010,4581000,2.90E+009,2,3,1,6,481,"No","No","No"
63,60,"ETH","Ethiopia",2.17E+009,2.28E+007,2.90E+009,1,0,0,1,481,"No","No","No"
65,60,"FIN","Finland",4.25E+010,4430000,2.90E+009,1,1,3,5,481,"No","No","No"
68,60,"FRA","France",4.84E+011,4.57E+007,2.90E+009,0,2,3,5,481,"No","No","No"
72,60,"GDR","East Germany",5.94E+010,,2.90E+009,3,9,7,19,481,"No","No","Yes"
73,60,"GFD","West Germany",6.75E+011,,2.90E+009,13,19,13,45,481,"No","No","No"
75,60,"GHA","Ghana",3.05E+009,6774000,2.90E+009,0,1,0,1,481,"No","No","No"
76,60,"GRC","Greece",2.74E+010,8327000,2.90E+009,1,0,0,1,481,"No","No","No"
86,60,"HUN","Hungary",1.51E+010,9984000,2.90E+009,6,8,7,21,481,"No","No","Yes"
88,60,"IND","India",6.98E+010,4.35E+008,2.90E+009,0,1,0,1,481,"No","No","No"
90,60,"IRN","Iran, Islamic Rep.",2.16E+010,2.16E+007,2.90E+009,0,1,3,4,481,"No","No","No"
91,60,"IRQ","Iraq",1.72E+010,6847000,2.90E+009,0,0,1,1,481,"No","No","No"
94,60,"ITA","Italy",3.33E+011,5.02E+007,2.90E+009,13,10,13,36,481,"Yes","No","No"
96,60,"JPN","Japan",7.73E+011,9.41E+007,2.90E+009,4,7,7,18,481,"No","No","No"
124,60,"MEX","Mexico",6.24E+010,3.69E+007,2.90E+009,0,0,1,1,481,"No","No","No"
129,60,"MAR","Morocco",7.31E+009,1.16E+007,2.90E+009,0,1,0,1,481,"No","No","No"
135,60,"NLD","Netherlands",1.32E+011,1.15E+007,2.90E+009,0,1,2,3,481,"No","No","No"
137,60,"NZL","New Zealand",2.46E+010,2372000,2.90E+009,2,0,1,3,481,"No","No","No"
142,60,"NOR","Norway",4.03E+010,3581000,2.90E+009,1,0,0,1,481,"No","No","No"
144,60,"PAK","Pakistan",8.28E+009,4.59E+007,2.90E+009,1,0,1,2,481,"No","No","No"
150,60,"POL","Poland",2.74E+010,2.96E+007,2.90E+009,4,6,11,21,481,"No","No","Yes"
151,60,"PRT","Portugal",2.39E+010,8943100,2.90E+009,0,1,0,1,481,"No","No","No"
154,60,"ROM","Romania",6.66E+009,1.84E+007,2.90E+009,3,1,6,10,481,"No","No","Yes"
155,60,"RSI","Russian Federation (former USSR)",1.18E+012,2.18E+008,2.90E+009,43,29,31,103,481,"No","No","Yes"
165,60,"SGP","Singapore",4.74E+009,1471000,2.90E+009,0,1,0,1,481,"No","No","No"
170,60,"ZAF","South Africa",4.33E+010,1.74E+007,2.90E+009,0,1,2,3,481,"No","No","No"
171,60,"ESP","Spain",1.35E+011,3.05E+007,2.90E+009,0,0,1,1,481,"No","No","No"
179,60,"SWE","Sweden",9.69E+010,7480000,2.90E+009,1,2,3,6,481,"No","No","No"
180,60,"CHE","Switzerland",1.41E+011,5362000,2.90E+009,0,3,3,6,481,"No","No","No"
182,60,"TAW","Taiwan",1.72E+009,1.08E+007,2.90E+009,0,1,0,1,481,"No","No","No"
190,60,"TUR","Turkey",3.30E+010,2.75E+007,2.90E+009,7,2,0,9,481,"No","No","No"
194,60,"ARE","United Arab Emirates",9.97E+009,90000,2.90E+009,0,1,1,2,481,"No","No","No"
195,60,"GBR","United Kingdom",4.97E+011,5.24E+007,2.90E+009,2,6,12,20,481,"No","No","No"
196,60,"USA","United States",2.55E+012,1.81E+008,2.90E+009,34,21,16,71,481,"No","No","No"
201,60,"VEN","Venezuela",2.82E+010,7579000,2.90E+009,0,0,1,1,481,"No","No","No"
210,60,"CZA","Czechoslovakia",2.64E+010,1.35E+007,2.90E+009,3,2,3,8,481,"No","No","Yes"
211,60,"YUG","Yugoslavia",2.93E+010,1.71E+007,2.90E+009,1,1,,2,481,"No","Yes","No"
8,64,"ARG","Argentina",1.32E+011,2.20E+007,3.19E+009,0,1,0,1,498,"No","No","No"
11,64,"AUS","Australia",1.23E+011,1.12E+007,3.19E+009,6,2,10,18,498,"No","No","No"
14,64,"BHS","Bahamas",1.38E+009,133000,3.19E+009,1,0,0,1,498,"No","No","No"
19,64,"BEL","Belgium",1.20E+011,9367000,3.19E+009,2,0,1,3,498,"No","No","No"
27,64,"BRA","Brazil",1.43E+011,8.20E+007,3.19E+009,0,0,1,1,498,"No","No","No"
30,64,"BGR","Bulgaria",3.81E+009,8144000,3.19E+009,3,5,2,10,498,"No","No","Yes"
35,64,"CAN","Canada",2.59E+011,1.93E+007,3.19E+009,1,2,1,4,498,"No","No","No"
50,64,"CUB","Cuba",1.32E+010,7612000,3.19E+009,0,1,0,1,498,"No","No","Yes"
53,64,"DNK","Denmark",8.57E+010,4720000,3.19E+009,2,1,3,6,498,"No","No","No"
63,64,"ETH","Ethiopia",2.44E+009,2.48E+007,3.19E+009,1,0,0,1,498,"No","No","No"
65,64,"FIN","Finland",5.12E+010,4549000,3.19E+009,3,0,2,5,498,"No","No","No"
68,64,"FRA","France",6.11E+011,4.83E+007,3.19E+009,1,8,6,15,498,"No","No","No"
73,64,"GFD","West Germany",8.00E+011,5.95E+007,3.19E+009,10,25,19,54,498,"No","No","No"
75,64,"GHA","Ghana",3.50E+009,7687800,3.19E+009,0,0,1,1,498,"No","No","No"
86,64,"HUN","Hungary",2.11E+010,1.01E+007,3.19E+009,10,7,5,22,498,"No","No","Yes"
88,64,"IND","India",8.38E+010,4.76E+008,3.19E+009,1,0,0,1,498,"No","No","No"
