"PID","age","educ","income","vote","popul","TVnews"
"Republican",36,"HS",1.5,"Dole",0,7
"Democrat",20,"College",1.5,"Clinton",190,1
"Democrat",24,"College",1.5,"Clinton",31,7
"Democrat",28,"College",1.5,"Clinton",83,4
"Democrat",68,"College",1.5,"Clinton",640,7
"Democrat",21,"College",1.5,"Clinton",110,3
"Democrat",77,"College",1.5,"Clinton",100,7
"Independent",21,"College",1.5,"Clinton",31,1
"Independent",31,"College",1.5,"Clinton",180,7
"Democrat",39,"HS",1.5,"Clinton",2800,0
"Independent",26,"HS",1.5,"Clinton",1600,0
"Democrat",31,"College",1.5,"Clinton",330,5
"Republican",22,"College",1.5,"Dole",190,2
"Democrat",42,"College",1.5,"Clinton",100,7
"Democrat",74,"HS",1.5,"Clinton",1000,7
"Democrat",62,"HS",1.5,"Clinton",0,7
"Democrat",58,"HS",1.5,"Clinton",130,7
"Democrat",24,"College",1.5,"Clinton",5,5
"Republican",51,"College",1.5,"Dole",33,7
"Democrat",36,"HS",4,"Clinton",19,2
"Independent",88,"HS",4,"Clinton",74,7
"Independent",20,"College",4,"Clinton",190,0
"Independent",27,"HS",4,"Clinton",12,3
"Republican",44,"College",4,"Dole",0,7
"Democrat",45,"HS",4,"Clinton",19,0
"Democrat",21,"College",4,"Clinton",0,2
"Democrat",40,"College",4,"Clinton",390,5
"Democrat",40,"College",4,"Clinton",40,7
"Democrat",48,"HS",4,"Clinton",3,3
"Democrat",34,"HS",4,"Clinton",450,3
"Independent",26,"HS",4,"Clinton",350,0
"Democrat",60,"HS",6,"Clinton",64,3
"Democrat",32,"HS",6,"Clinton",3,0
"Democrat",31,"HS",6,"Clinton",0,1
"Independent",33,"HS",6,"Dole",640,7
"Democrat",57,"HS",6,"Clinton",0,7
"Democrat",84,"HS",6,"Clinton",12,7
"Republican",75,"HS",6,"Dole",62,6
"Republican",19,"College",6,"Dole",31,2
"Democrat",47,"College",6,"Clinton",0,1
"Democrat",51,"HS",6,"Clinton",180,6
"Republican",40,"HS",6,"Clinton",640,3
"Democrat",22,"College",6,"Clinton",110,0
"Republican",35,"HS",6,"Clinton",100,1
"Independent",43,"College",6,"Clinton",100,7
"Independent",76,"College",6,"Clinton",11,3
"Republican",45,"HS",6,"Dole",0,7
"Democrat",88,"HS",6,"Clinton",4,7
"Democrat",46,"HS",8,"Clinton",35,6
"Independent",22,"College",8,"Clinton",0,1
"Republican",68,"HS",8,"Dole",0,7
"Republican",38,"HS",8,"Dole",0,2
"Independent",69,"HS",8,"Clinton",33,7
"Democrat",67,"HS",8,"Clinton",270,2
"Democrat",88,"College",8,"Clinton",45,7
"Republican",68,"HS",8,"Dole",40,3
"Independent",76,"HS",8,"Dole",6,1
"Democrat",72,"HS",8,"Clinton",2,7
"Republican",37,"College",8,"Dole",0,0
"Democrat",69,"HS",8,"Clinton",35,3
"Democrat",33,"College",8,"Clinton",83,0
"Democrat",34,"College",8,"Clinton",3500,7
