last_name,first_name,state,party,vote,contribution
"Murkowski,",Frank,AK,R,yes,19.7
"Stevens,",Ted,AK,R,yes,13
"Sessions,",Jeff,AL,R,yes,9.5
"Shelby,",Richard,AL,R,yes,25
"Hutchinson,",Tim,AR,R,yes,4.9
"Lincoln,",Blanche,AR,D,yes,5.5
"McCain,",John,AZ,R,no,29.35
"Kyl,",Jon,AZ,R,yes,14.5
"Boxer,",Barbara,CA,D,no,1.5
"Feinstein,",Dianne,CA,D,no,9.75
"Allard,",Wayne,CO,R,yes,7.5
"Campbell,",Ben,CO,R,yes,4
"Dodd,",Christopher,CT,D,no,0.5
"Lieberman,",Joseph,CT,D,no,3
"Carper,",Thomas,DE,D,yes,17.64
Biden,Joseph,DE,D,no,5.125
"Graham,",Bob,FL,D,no,7
"Nelson,",Bill,FL,D,no,0.3
"Cleland,",Max,GA,D,yes,4.5
"Miller,",Zell,GA,D,yes,1
"Akaka,",Daniel,HI,D,no,2.35
"Inouye,",Daniel,HI,D,no,7
"Harkin,",Tom,IA,D,no,4
"Grassley,",Chuck,IA,R,yes,22.5
"Craig,",Larry,ID,R,yes,26.8
"Crapo,",Mike,ID,R,yes,10
"Durbin,",Richard,IL,D,no,15.6
"Fitzgerald,",Peter,IL,R,yes,13.45
"Bayh,",Evan,IN,D,yes,21
"Lugar,",Richard,IN,R,yes,23.5
"Brownback,",Sam,KS,R,yes,13.5
"Roberts,",Pat,KS,R,yes,9.75
"Bunning,",Jim,KY,R,yes,28.85
"McConnell,",Mitch,KY,R,yes,25
"Breaux,",John,LA,D,yes,18.15
"Landrieu,",Mary,LA,D,yes,5
"Kennedy,",Edward,MA,D,no,3.15
"Kerry,",John,MA,D,no,0.75
"Sarbanes,",Paul,MD,D,no,1.5
"Mikulski,",Barbara,MD,D,yes,18.6
"Collins,",Susan,ME,R,no,4
"Snowe,",Olympia,ME,R,no,6.1
"Levin,",Carl,MI,D,yes,133.25
"Stabenow,",Debbie,MI,D,yes,51.668
"Dayton,",Mark,MN,D,no,0
"Wellstone,",Paul,MN,D,no,0.8
"Bond,",Christopher,MO,R,yes,48.939
"Carnahan,",Jean,MO,D,yes,4.25
"Cochran,",Thad,MS,R,yes,9
"Lott,",Trent,MS,R,yes,24
"Baucus,",Max,MT,D,yes,18.5
"Burns,",Conrad,MT,R,yes,25
"Edwards,",John,NC,D,no,0
"Helms,",Jesse,NC,R,yes,10.5
"Conrad,",Kent,ND,D,yes,21.125
"Dorgan,",Byron,ND,D,yes,15
"Hagel,",Charles,NE,R,yes,10.4
"Nelson,",Ben,NE,D,yes,5
"Gregg,",Judd,NH,R,no,5
"Smith,",Bob,NH,R,yes,15.5
"Corzine,",Jon,NJ,D,no,0
"Torricelli,",Robert,NJ,D,no,6.15
"Bingaman,",Jeff,NM,D,no,1
"Domenici,",Pete,NM,R,yes,15
"Reid,",Harry,NV,D,no,1
"Ensign,",John,NV,R,yes,27.5
"Clinton,",Hillary,NY,D,no,6.53
"Schumer,",Charles,NY,D,no,2
"DeWine,",Mike,OH,R,yes,48.35
"Voinovich,",George,OH,R,yes,41.224
"Inhofe,",James,OK,R,yes,28.6
"Nickles,",Don,OK,R,yes,35.5
"Smith,",Gordon,OR,R,no,18.5
"Wyden,",Ron,OR,D,no,2
"Santorum,",Rick,PA,R,yes,18
"Specter,",Arlen,PA,R,yes,25.5
"Chafee,",Lincoln,RI,R,no,0.25
"Reed,",Jack,RI,D,no,3
"Hollings,",Ernest,SC,D,no,10.5
"Thurmond,",Strom,SC,R,yes,7.35
"Daschle,",Thomas,SD,D,no,20
"Johnson,",Tim,SD,D,yes,4.5
"Frist,",William,TN,R,yes,22.25
"Thompson,",Fred,TN,R,yes,13.25
"Gramm,",Phil,TX,R,yes,18.55
"Hutchison,",Kay,TX,R,yes,12
"Bennett,",Robert,UT,R,yes,6
"Hatch,",Orrin,UT,R,yes,22.4
"Allen,",George,VA,R,yes,14.5
"Warner,",John,VA,R,yes,26.8
"Jeffords,",James,VT,D,no,8
"Leahy,",Patrick,VT,D,no,0.75
"Cantwell,",Maria,WA,D,no,0
"Murray,",Patty,WA,D,no,0
"Feingold,",Russell,WI,D,yes,1.326
"Kohl,",Herb,WI,D,yes,0
"Rockefeller,",John,WV,D,no,26
"Byrd,",Robert,WV,D,yes,14
"Enzi,",Mike,WY,R,yes,2
"Thomas,",Craig,WY,R,yes,8.6
