"expedition_id","member_id","peak_id","peak_name","year","season","sex","age","citizenship","expedition_role","hired","highpoint_metres","success","solo","oxygen_used","died","death_cause","death_height_metres","injured","injury_type","injury_height_metres","count","height_metres","first_ascent_year"
"AMAD81101","AMAD81101-03","AMAD","Ama Dablam",1981,"Spring","M",28,"Spain","Climber",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-04","AMAD","Ama Dablam",1981,"Spring","M",27,"Spain","Exp Doctor",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-02","AMAD","Ama Dablam",1981,"Spring","M",35,"Spain","Deputy Leader",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-05","AMAD","Ama Dablam",1981,"Spring","M",37,"Spain","Climber",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-06","AMAD","Ama Dablam",1981,"Spring","M",43,"France","Climber",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-07","AMAD","Ama Dablam",1981,"Spring","M",38,"Spain","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-08","AMAD","Ama Dablam",1981,"Spring","M",23,"Spain","Climber",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-01","AMAD","Ama Dablam",1981,"Spring","M",36,"Spain","Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-09","AMAD","Ama Dablam",1981,"Spring","M",48,"Spain","Climber",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-11","AMAD","Ama Dablam",1981,"Spring","M",25,"Nepal","H-A Worker",TRUE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-12","AMAD","Ama Dablam",1981,"Spring","M",26,"Nepal","H-A Worker",TRUE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD81101","AMAD81101-10","AMAD","Ama Dablam",1981,"Spring","M",21,"Nepal","H-A Worker",TRUE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6814,1961
"AMAD84401","AMAD84401-01","AMAD","Ama Dablam",1984,"Winter","M",29,"Japan","Leader",FALSE,6600,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD84401","AMAD84401-03","AMAD","Ama Dablam",1984,"Winter","M",28,"Japan","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD84401","AMAD84401-04","AMAD","Ama Dablam",1984,"Winter","M",27,"Japan","Climber",FALSE,6600,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
