"age_under_5","age_under_18","age_over_65","no_move_in_one_plus_year","foreign_born","foreign_spoken_at_home","hs_grad","bachelors","veterans","mean_work_travel","housing_units","home_ownership","housing_multi_unit","median_val_owner_occupied","households","persons_per_household","per_capita_income","median_household_income","poverty","private_nonfarm_establishments","private_nonfarm_employment","percent_change_private_nonfarm_employment","nonemployment_establishments","sales","sales_per_capita","accommodation_food_service","building_permits","fed_spending","area","density","growth"
6.2,22.2,21.8,84.1,2.1,5.1,90.2,15.5,567,20.5,1880,72.6,5.5,112100,1644,2.28,18580,35808,16,132,748,0.3,365,29657,8193,NA,0,73067,478.8,8,1.93666579429469
6,18.8,17.2,73.8,1.6,3.7,88.2,28.5,699,12.4,4478,68.4,11.5,80700,3549,2,24292,48076,12.1,274,2356,3.5,683,99783,11779,10403,0,93609,1286.45,6.9,-2.37666141022753
8.9,28.4,11.4,76.8,7.9,23.7,81.5,18.2,4995,15.3,20062,61.4,14.7,98500,17318,2.63,19925,38090,20.1,1040,12006,9.4,1929,591302,13109,68312,161,670503,1404.8,34.4,6.88771291549529
7.1,26.6,12.4,80.6,3.3,5,79.3,19.4,4564,20.5,28046,65,15.1,130300,23690,2.67,19699,41770,19.8,1439,25649,-19.6,4840,798823,12600,88719,140,499942,413.99,161.9,12.3277250760694
7.3,27.2,14.2,87.3,15.7,25.7,79.3,17.3,3207,18.9,16004,71.9,13.5,204800,13802,2.68,22359,48708,14.3,684,5862,39.8,1524,413596,11387,30403,114,224702,1819.26,21.1,15.1648408836616
5.3,20.2,23,83,1.8,2.7,89.4,20,526,21.7,2136,72.3,7.7,146800,1732,2.28,25810,43611,16.4,129,762,-25.3,215,28894,7308,2686,4,51374,868.63,4.7,0.34330554193232
5.5,19.7,11.9,81.1,3.5,7,68.3,8.7,503,20.1,2409,70.6,9.8,61700,1746,2.69,12452,30522,28.8,81,642,-10.7,301,19557,3266,946,1,65305,280.37,23.9,5.58709291903197
6.5,24.1,15.5,81.2,5.5,9.9,85.2,19.2,10176,23.6,53727,70.4,14.6,99600,45545,2.55,23242,46875,13.5,2582,38107,-3.6,8963,1594749,13493,167728,327,838539,932.8,129.6,8.50616742639212
7.2,24.3,10.2,83.4,0.7,2.4,69.8,13,1323,16.6,9685,57.2,15.6,63300,8534,3.03,11993,25012,33.3,427,5359,-27.6,1174,211330,6825,15067,8,293944,697.75,42.2,-16.7028862478778
6.2,25.9,17.9,92.2,0.8,1.7,89.8,14.3,670,18.9,3222,82.6,5,87800,2917,2.41,21419,48318,8.2,220,1377,-15.6,577,41414,5717,1613,9,56670,573.25,12.7,-8.13377374071016
6.7,25.9,15.5,90.1,1.2,5.2,92.8,23.7,2028,25.3,9221,82.8,7.9,137500,7985,2.52,26898,57699,7.2,492,3515,6.2,1618,148986,7398,9218,62,165041,750.23,27.7,4.57170356111646
5.7,22.7,14,85.4,1.3,4.8,81.9,10.2,3708,22.3,15479,76.6,10.9,86100,13506,2.63,18854,39485,16.7,576,7525,-8.6,1535,235379,6423,25837,10,299143,373.84,98.7,2.22475137522695
9.5,34,9.7,88.1,0.1,14.9,79.7,12.6,307,12.5,2002,56.9,7.3,56900,1699,3.12,15632,33255,30.5,105,694,-49.2,251,23806,3976,NA,0,90427,2302.49,2.3,-12.6579890586682
7.9,29,15.8,89.7,3.2,3.9,88,16.2,549,17.6,3226,79.2,10.6,116000,2726,2.51,20637,44958,8.4,192,2683,15.7,440,68364,9967,NA,7,60428,1764.15,3.9,-4.89731437598736
5.9,23.2,14.2,83.7,1.8,4,88,17.5,13664,23.2,69458,76,16.3,130000,60612,2.52,21947,46117,14.9,3077,45403,-17,8652,1690871,10393,185386,63,1099940,701.67,228.4,1.13948380010983
6.5,23.6,16.1,83.4,8.3,15.5,74.5,12,1742,22.3,10536,78.8,4.5,78600,7856,2.52,18420,42140,18.9,402,5444,22.3,1319,268348,11976,18247,4,209675,905.29,25.8,5.70047895997263
5.7,22.2,18.1,91.3,1.1,3.4,87.7,15.5,1234,23.5,6664,77.9,11.4,130600,5775,2.36,22579,45302,9.5,321,4352,13.5,1046,74038,5387,NA,25,120031,671.64,20.2,-1.59711488923235
6.8,25.9,15.1,87.5,7.2,11.6,82,14.1,3457,19.9,16474,75.6,12.6,82400,14981,2.51,20562,42587,14,762,13008,-20.8,1766,340870,8714,33801,15,280598,412.16,94.5,-5.04029153621106
