"","X","wage","educ","race","sex","hispanic","south","married","exper","union","age","sector"
"1",1,9,10,"W","M","NH","NS","Married",27,"Not",43,"const"
"4",4,10.5,12,"W","F","NH","NS","Married",29,"Not",47,"clerical"
"5",5,15,12,"W","M","NH","NS","Married",40,"Union",58,"const"
"6",6,9,16,"W","F","NH","NS","Married",27,"Not",49,"clerical"
"15",15,3.5,12,"W","M","NH","NS","Married",35,"Not",53,"clerical"
"17",17,10,16,"W","M","Hisp","NS","Married",7,"Union",29,"manag"
"18",18,15,16,"NW","M","NH","NS","Married",26,"Union",48,"manag"
"20",20,9.1,13,"W","M","Hisp","NS","Single",16,"Not",35,"clerical"
"21",21,11.25,17,"NW","F","NH","NS","Married",32,"Not",55,"clerical"
"23",23,8,14,"W","F","NH","NS","Single",15,"Union",35,"clerical"
"25",25,7.88,16,"NW","M","NH","NS","Married",17,"Not",39,"clerical"
"30",30,5.62,13,"W","F","Hisp","NS","Married",2,"Not",21,"clerical"
"32",32,24.98,16,"W","M","NH","NS","Married",18,"Not",40,"manag"
"36",36,12.65,17,"W","F","NH","NS","Married",13,"Not",36,"manag"
"37",37,11.71,16,"W","F","NH","NS","Single",42,"Not",64,"clerical"
"39",39,12.5,15,"W","F","NH","NS","Married",6,"Not",27,"clerical"
"40",40,22.5,16,"W","M","NH","NS","Married",22,"Not",44,"manag"
"41",41,11.25,16,"NW","F","NH","NS","Single",3,"Not",25,"manag"
"43",43,7.7,13,"W","F","NH","NS","Single",8,"Union",27,"clerical"
"44",44,11.84,12,"W","M","NH","NS","Married",26,"Not",44,"manag"
"50",50,10.53,14,"W","F","NH","NS","Married",12,"Not",32,"clerical"
"53",53,8.5,12,"W","F","NH","NS","Single",25,"Not",43,"clerical"
"54",54,9.17,12,"W","F","NH","NS","Married",44,"Not",62,"clerical"
"55",55,9.6,9,"W","M","NH","NS","Single",33,"Union",48,"clerical"
"57",57,13.95,18,"W","F","NH","NS","Married",14,"Not",38,"manag"
"58",58,10,14,"NW","M","NH","NS","Single",22,"Not",42,"manag"
"60",60,8,12,"W","F","NH","NS","Single",8,"Not",26,"clerical"
"61",61,11.67,12,"W","F","NH","NS","Married",43,"Not",61,"clerical"
"64",64,5.5,12,"NW","F","NH","NS","Single",21,"Not",39,"clerical"
"65",65,3.35,16,"NW","M","NH","NS","Single",3,"Not",25,"clerical"
"66",66,10.81,12,"W","F","NH","NS","Married",40,"Not",58,"clerical"
"75",75,6.75,12,"W","M","NH","NS","Single",22,"Not",40,"clerical"
"80",80,5.62,14,"W","F","NH","NS","Married",32,"Not",52,"clerical"
"89",89,5.25,12,"W","F","NH","NS","Single",8,"Not",26,"clerical"
"94",94,5,12,"W","F","NH","NS","Single",0,"Not",18,"clerical"
"100",100,15.03,12,"W","F","NH","NS","Married",24,"Not",42,"clerical"
"102",102,3.56,12,"W","F","Hisp","S","Single",12,"Not",30,"clerical"
"104",104,4.55,12,"W","F","Hisp","S","Single",4,"Not",22,"manag"
"106",106,8,12,"W","F","NH","S","Married",14,"Not",32,"clerical"
"112",112,11.25,12,"W","F","Hisp","S","Married",30,"Not",48,"manag"
"115",115,3.55,13,"W","F","NH","S","Single",1,"Not",20,"clerical"
"116",116,6,16,"W","M","NH","S","Single",8,"Not",30,"manag"
"120",120,10.32,13,"W","F","NH","S","Single",28,"Not",47,"clerical"
"122",122,18.16,17,"W","M","NH","S","Single",14,"Not",37,"manag"
"123",123,15,16,"W","M","NH","S","Married",10,"Not",32,"manag"
"124",124,8.75,13,"W","F","NH","S","Married",10,"Not",29,"clerical"
"129",129,8,12,"W","F","NH","NS","Single",9,"Not",27,"clerical"
"130",130,20,18,"W","F","NH","NS","Married",19,"Not",43,"manag"
"134",134,5.5,11,"W","F","NH","NS","Married",24,"Not",41,"clerical"
"135",135,7,11,"W","F","NH","NS","Single",12,"Not",29,"clerical"
"136",136,9.65,12,"W","F","NH","NS","Married",38,"Not",56,"clerical"
"141",141,16.14,14,"W","M","NH","NS","Single",16,"Not",36,"manag"
"142",142,3.75,11,"W","M","NH","NS","Single",11,"Not",28,"const"
"145",145,13.2,16,"W","M","NH","NS","Single",10,"Not",32,"manag"
"149",149,7,12,"W","F","NH","NS","Married",32,"Not",50,"manag"
"157",157,4.13,12,"W","F","NH","NS","Married",4,"Not",22,"clerical"
"164",164,13.45,16,"NW","M","NH","NS","Single",8,"Not",30,"manag"
"166",166,19,18,"W","M","NH","NS","Single",13,"Not",37,"manag"
"168",168,7,11,"NW","F","NH","NS","Married",16,"Not",33,"clerical"
"172",172,7,12,"W","F","NH","NS","Married",10,"Union",28,"clerical"
"173",173,3.64,12,"W","F","NH","NS","Married",42,"Not",60,"manag"
"176",176,22.5,18,"W","M","NH","NS","Married",14,"Not",38,"manag"
"184",184,6.25,13,"W","F","NH","NS","Married",30,"Not",49,"clerical"
"190",190,6.25,14,"W","M","NH","NS","Single",2,"Not",22,"manag"
"194",194,9.22,14,"W","F","NH","NS","Married",13,"Not",33,"manag"
"197",197,6,12,"W","F","NH","NS","Married",19,"Not",37,"clerical"
"199",199,15,12,"W","M","NH","NS","Married",42,"Not",60,"manag"
"201",201,9,16,"NW","M","NH","NS","Married",7,"Not",29,"manag"
"204",204,5,14,"W","F","Hisp","NS","Married",17,"Not",37,"clerical"
"214",214,4.5,13,"W","F","NH","S","Single",0,"Not",19,"clerical"
"215",215,7.81,12,"W","F","NH","S","Single",1,"Not",19,"manag"
"217",217,5.2,18,"W","F","Hisp","S","Married",13,"Not",37,"clerical"
"227",227,24.98,18,"W","M","NH","NS","Married",29,"Not",53,"manag"
"230",230,3.35,16,"W","M","NH","NS","Single",9,"Not",31,"manag"
"233",233,6,13,"W","M","NH","NS","Single",31,"Not",50,"clerical"
"235",235,5.5,16,"W","F","NH","NS","Single",2,"Not",24,"clerical"
"237",237,6.25,16,"NW","M","NH","NS","Single",4,"Not",26,"clerical"
"239",239,6.58,12,"W","F","NH","NS","Married",24,"Not",42,"manag"
"244",244,10.62,12,"W","F","NH","NS","Single",45,"Not",63,"clerical"
"248",248,7.3,12,"W","M","NH","NS","Married",37,"Not",55,"const"
"249",249,44.5,14,"W","F","NH","NS","Single",1,"Not",21,"manag"
"250",250,10.5,13,"W","F","NH","NS","Married",14,"Not",33,"manag"
"252",252,5.2,12,"W","F","NH","NS","Married",24,"Not",42,"clerical"
"253",253,4.25,12,"W","F","NH","NS","Married",20,"Not",38,"clerical"
"255",255,22.5,15,"W","M","NH","NS","Married",12,"Not",33,"manag"
"256",256,5,16,"W","F","NH","S","Married",4,"Not",26,"clerical"
"257",257,5.3,12,"NW","M","NH","S","Married",14,"Not",32,"manag"
"259",259,10,18,"W","F","NH","S","Single",13,"Not",37,"manag"
"262",262,3,12,"W","F","NH","S","Married",28,"Not",46,"clerical"
"267",267,4.25,13,"W","F","NH","S","Single",0,"Not",19,"clerical"
"268",268,11.02,14,"W","M","NH","S","Married",12,"Union",32,"clerical"
"269",269,12.16,12,"NW","F","NH","S","Married",32,"Not",50,"clerical"
"270",270,8.43,12,"W","M","NH","S","Married",12,"Not",30,"clerical"
"271",271,11.43,12,"W","M","NH","S","Single",3,"Not",21,"const"
"277",277,5.75,12,"W","F","NH","NS","Married",15,"Not",33,"clerical"
"278",278,5.4,12,"W","F","NH","NS","Married",18,"Not",36,"clerical"
"279",279,13.16,12,"W","F","NH","NS","Married",38,"Not",56,"manag"
"280",280,11.32,12,"W","F","NH","NS","Married",13,"Not",31,"clerical"
"282",282,12.22,12,"W","M","NH","NS","Married",19,"Union",37,"const"
"285",285,4.59,12,"W","F","NH","S","Married",36,"Not",54,"clerical"
"287",287,12,12,"W","M","NH","S","Single",5,"Not",23,"clerical"
"293",293,7,10,"W","M","NH","S","Married",9,"Not",25,"const"
"296",296,7.61,12,"NW","M","NH","S","Married",20,"Not",38,"const"
"300",300,16.65,14,"W","M","NH","S","Married",21,"Not",41,"manag"
"304",304,7.75,12,"W","F","NH","NS","Married",24,"Not",42,"clerical"
"311",311,5,13,"W","F","NH","S","Married",6,"Not",25,"clerical"
"313",313,8.8,14,"W","M","NH","S","Married",41,"Not",61,"manag"
"316",316,9.5,12,"W","F","NH","S","Married",39,"Not",57,"clerical"
"317",317,10.43,14,"W","F","NH","S","Married",15,"Not",35,"clerical"
"318",318,5.21,18,"W","M","NH","S","Married",10,"Not",34,"clerical"
"319",319,7.5,12,"W","F","NH","S","Single",20,"Not",38,"clerical"
"321",321,10.78,11,"NW","M","NH","S","Married",28,"Union",45,"const"
"322",322,8.9,10,"W","M","NH","S","Married",27,"Union",43,"const"
