"","X","wage","educ","race","sex","hispanic","south","married","exper","union","age","sector"
"2",2,5.5,12,"W","M","NH","NS","Married",20,"Not",38,"sales"
"3",3,3.8,12,"W","F","NH","NS","Single",4,"Not",22,"sales"
"7",7,9.57,12,"W","F","NH","NS","Married",5,"Union",23,"service"
"8",8,15,14,"W","M","NH","NS","Single",22,"Not",42,"sales"
"9",9,11,8,"W","M","NH","NS","Married",42,"Not",56,"manuf"
"10",10,5,12,"W","F","NH","NS","Married",14,"Not",32,"sales"
"13",13,25,14,"W","M","Hisp","NS","Single",4,"Union",24,"service"
"16",16,5,14,"W","M","Hisp","NS","Single",0,"Not",20,"sales"
"19",19,5.83,13,"NW","M","NH","NS","Single",3,"Not",22,"service"
"22",22,13,12,"NW","M","NH","NS","Married",25,"Union",43,"service"
"24",24,4.28,12,"W","F","NH","NS","Married",38,"Not",56,"service"
"26",26,6.94,12,"W","F","NH","NS","Single",7,"Not",25,"service"
"29",29,13.75,14,"W","M","NH","NS","Married",21,"Not",41,"sales"
"31",31,14.67,14,"NW","M","NH","NS","Married",16,"Not",36,"service"
"33",33,12,12,"W","M","NH","NS","Married",14,"Not",32,"manuf"
"35",35,5.77,16,"W","M","NH","NS","Single",3,"Not",25,"service"
"49",49,4.5,12,"W","F","NH","NS","Married",7,"Not",25,"manuf"
"51",51,3.5,9,"W","M","NH","NS","Married",47,"Union",62,"service"
"52",52,15,16,"W","M","NH","NS","Married",12,"Not",34,"manuf"
"59",59,3.75,12,"W","F","NH","NS","Single",41,"Not",59,"service"
"62",62,8.89,8,"NW","F","NH","NS","Single",29,"Not",43,"service"
"63",63,4,12,"NW","M","NH","NS","Single",6,"Union",24,"manuf"
"67",67,7,12,"W","M","NH","NS","Married",5,"Not",23,"sales"
"70",70,7.5,12,"W","F","NH","NS","Single",10,"Not",28,"service"
"72",72,10,10,"W","F","NH","NS","Married",25,"Union",41,"service"
"76",76,14.29,14,"W","F","NH","NS","Married",32,"Not",52,"sales"
"77",77,9.75,15,"W","F","NH","NS","Married",9,"Not",30,"manuf"
"78",78,3.35,12,"W","F","NH","NS","Single",0,"Not",18,"service"
"79",79,3.4,8,"W","F","NH","NS","Single",49,"Not",63,"service"
"83",83,6.1,10,"W","F","NH","NS","Single",44,"Union",60,"manuf"
"84",84,4.17,12,"W","F","NH","NS","Married",27,"Not",45,"service"
"85",85,4.8,12,"W","F","NH","NS","Married",16,"Not",34,"manuf"
"90",90,4.95,9,"W","F","NH","NS","Married",42,"Not",57,"manuf"
"92",92,19.98,12,"W","M","NH","NS","Married",23,"Not",41,"manuf"
"95",95,10.58,14,"W","M","NH","NS","Married",25,"Not",45,"manuf"
"96",96,10,12,"NW","M","NH","NS","Single",22,"Union",40,"manuf"
"99",99,4,16,"W","F","NH","NS","Single",20,"Not",42,"service"
"105",105,3.6,12,"W","F","Hisp","S","Married",43,"Not",61,"service"
"107",107,4.75,12,"W","F","NH","S","Single",10,"Not",28,"sales"
"108",108,6.73,12,"W","M","NH","S","Married",2,"Not",20,"manuf"
"109",109,11.11,12,"W","M","NH","S","Married",28,"Not",46,"sales"
"110",110,6,7,"W","F","NH","S","Married",15,"Not",28,"manuf"
"111",111,10,12,"W","M","NH","S","Married",20,"Not",38,"sales"
"113",113,3.95,12,"W","F","NH","S","Married",9,"Not",27,"service"
"119",119,4.5,7,"W","M","Hisp","S","Married",14,"Not",27,"service"
"121",121,12.2,14,"W","M","NH","S","Married",10,"Not",30,"manuf"
"125",125,19.98,14,"W","M","NH","S","Married",44,"Not",64,"sales"
"127",127,9.63,14,"W","M","NH","NS","Married",22,"Union",42,"service"
"138",138,3.75,2,"W","M","Hisp","NS","Single",16,"Not",24,"service"
"143",143,9,16,"NW","F","NH","NS","Married",6,"Not",28,"service"
"144",144,13.12,12,"NW","F","NH","NS","Married",33,"Not",51,"service"
"146",146,9.25,12,"W","M","NH","NS","Single",19,"Not",37,"manuf"
"156",156,9,12,"W","M","NH","NS","Married",16,"Not",34,"sales"
"161",161,8.89,12,"W","M","NH","NS","Married",18,"Not",36,"manuf"
"163",163,3.35,14,"NW","M","NH","NS","Single",0,"Not",20,"service"
"169",169,4.17,14,"W","F","NH","NS","Single",24,"Not",44,"service"
"170",170,9.83,12,"W","M","NH","NS","Married",23,"Not",41,"manuf"
"171",171,6.67,12,"W","M","NH","NS","Single",1,"Not",19,"manuf"
"175",175,5,12,"W","F","NH","NS","Married",14,"Not",32,"service"
"178",178,6.28,12,"W","F","NH","NS","Married",38,"Not",56,"manuf"
"179",179,4.5,12,"W","F","NH","NS","Single",3,"Not",21,"manuf"
"181",181,6.75,10,"W","M","NH","NS","Married",13,"Not",29,"manuf"
"183",183,13.28,16,"W","M","NH","NS","Married",11,"Not",33,"manuf"
"185",185,8.99,12,"W","F","NH","NS","Single",15,"Union",33,"service"
"186",186,7.5,14,"W","M","NH","NS","Single",2,"Not",22,"sales"
"192",192,9.5,9,"W","F","NH","NS","Married",46,"Union",61,"service"
"193",193,3,6,"W","F","Hisp","NS","Married",43,"Union",55,"manuf"
"195",195,4,12,"W","F","NH","NS","Single",15,"Not",33,"sales"
"196",196,3.8,12,"W","F","NH","NS","Single",16,"Not",34,"service"
"198",198,5,12,"W","F","NH","NS","Married",28,"Not",46,"manuf"
"200",200,5.55,11,"W","F","NH","NS","Single",45,"Union",62,"service"
"203",203,8.49,12,"W","F","NH","NS","Married",24,"Not",42,"service"
"205",205,22.2,12,"W","M","NH","NS","Married",26,"Union",44,"manuf"
"208",208,3.5,10,"W","F","NH","S","Single",33,"Not",49,"service"
"209",209,3.35,13,"W","F","NH","S","Married",2,"Not",21,"sales"
"210",210,3.35,16,"NW","F","NH","S","Married",14,"Not",36,"sales"
"216",216,1.75,12,"W","F","NH","S","Married",5,"Not",23,"service"
"218",218,8.75,10,"W","M","NH","S","Single",19,"Not",35,"service"
"220",220,3.75,12,"NW","F","NH","S","Married",6,"Not",24,"manuf"
"221",221,5.95,13,"W","M","NH","S","Married",9,"Not",28,"service"
"222",222,4,12,"W","M","Hisp","S","Single",7,"Not",25,"service"
"223",223,7,3,"W","M","Hisp","S","Married",55,"Not",64,"manuf"
