Timestamp,Credits,SchoolYr,SpiceGirl,AgeMos
10/11/2016 9:50:51,84,junior,Ginger,242
10/11/2016 9:52:44,68,sophomore,HUH?!?,233
10/11/2016 9:52:47,130,senior,HUH?!?,252
10/11/2016 9:52:50,85,junior,HUH?!?,248
10/11/2016 9:53:06,98,junior,Baby,252
10/11/2016 9:53:08,131,senior,Posh,255
10/11/2016 9:53:12,122,senior,Scary,254
10/11/2016 9:53:14,16,first year,HUH?!?,226
10/11/2016 9:53:25,74,sophomore,HUH?!?,240
10/11/2016 9:53:29,139,senior,Scary,257
10/11/2016 9:53:36,145,senior,HUH?!?,256
10/11/2016 9:53:39,121,senior,HUH?!?,255
10/11/2016 9:53:47,14,junior,HUH?!?,249
10/11/2016 9:53:56,82,junior,HUH?!?,245
10/11/2016 9:54:03,100,junior,HUH?!?,252
10/11/2016 9:54:07,32,first year,Posh,222
10/11/2016 9:54:16,64,sophomore,HUH?!?,234
10/11/2016 9:54:26,28,first year,Posh,224
10/11/2016 9:54:34,78,sophomore,Scary,231
10/11/2016 9:54:37,38,first year,HUH?!?,221
10/11/2016 9:54:47,72,sophomore,HUH?!?,231
10/11/2016 9:55:23,71,sophomore,Posh,230
10/11/2016 9:55:26,121,senior,Posh,253
10/11/2016 9:55:31,26,first year,Sporty,222
10/11/2016 13:35:36,18,junior,HUH?!?,252
10/11/2016 13:36:34,16,first year,HUH?!?,219
10/11/2016 13:36:35,16,first year,HUH?!?,233
10/11/2016 13:36:47,83,junior,Ginger,244
10/11/2016 13:37:12,52,sophomore,HUH?!?,231
10/11/2016 13:37:35,49,sophomore,HUH?!?,235
10/11/2016 13:37:47,63,sophomore,HUH?!?,229
10/11/2016 13:38:20,48,sophomore,HUH?!?,235
10/11/2016 13:38:30,16,first year,HUH?!?,226
10/11/2016 13:38:31,100,junior,HUH?!?,250
10/11/2016 13:38:59,64,sophomore,HUH?!?,235
10/11/2016 13:39:03,47,sophomore,HUH?!?,237
10/11/2016 13:39:29,73,sophomore,Scary,233
10/11/2016 13:39:32,131,senior,Posh,265
10/11/2016 13:39:46,70,sophomore,Posh,234
10/11/2016 13:39:58,93,junior,Baby,247
10/11/2016 13:40:19,72,sophomore,HUH?!?,248
10/11/2016 13:40:16,75,sophomore,Sporty,239
10/11/2016 13:40:30,67,sophomore,Ginger,227
10/11/2016 13:40:32,117,senior,HUH?!?,258
10/11/2016 13:40:50,73,sophomore,Scary,241
10/11/2016 13:40:52,93,junior,Posh,251
10/11/2016 13:40:58,40,first year,HUH?!?,226
10/11/2016 13:41:02,16,first year,Scary,229
10/11/2016 13:41:04,73,sophomore,Sporty,238
10/11/2016 13:41:04,106,junior,Posh,242
10/11/2016 13:41:12,125,senior,Posh,254
