"county","total_2008","dem_2008","gop_2008","oth_2008","total_2012","dem_2012","gop_2012","oth_2012","total_2016","dem_2016","gop_2016","oth_2016","perdem_2016","perrep_2016","winrep_2016","perdem_2012","perrep_2012","winrep_2012","perdem_2008","perrep_2008","winrep_2008","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","polyname","abb","StateColor"
"Walker County",28652,7420,20722,510,28497,6551,21633,313,29243,4486,24208,549,15.3404233491776,82.7822042882057,TRUE,22.9883847422536,75.9132540267397,TRUE,25.8969705430685,72.3230490018149,TRUE,1127,66622,90,5,0,2,20698,402,41.8,"alabama","AL","red"
"Bullock County",5415,4011,1391,13,5318,4058,1250,10,4701,3530,1139,32,75.0904062965326,24.2288874707509,FALSE,76.3068822865739,23.5050770966529,FALSE,74.0720221606648,25.6879039704524,FALSE,1011,10746,22,71,0,6,18628,276,39.6,"alabama","AL","red"
"Calhoun County",49242,16334,32348,560,46240,15500,30272,468,47376,13197,32803,1376,27.8558763931104,69.2396994258696,TRUE,33.5207612456747,65.4671280276817,TRUE,33.1708703951911,65.6918890378132,TRUE,1015,117714,73,21,1,3,20828,422,38.7,"alabama","AL","red"
"Barbour County",11630,5697,5866,67,11459,5873,5539,47,10390,4848,5431,111,46.660250240616,52.2714148219442,TRUE,51.2522907758094,48.3375512697443,FALSE,48.9853826311264,50.4385210662081,TRUE,1005,27321,46,46,0,5,16829,382,38.3,"alabama","AL","red"
"Fayette County",7957,1994,5883,80,7912,1803,6034,75,8196,1358,6705,133,16.5690580771108,81.8081991215227,TRUE,22.7881698685541,76.2639029322548,TRUE,25.0596958652759,73.9349000879728,TRUE,1057,17110,86,11,0,1,18494,287,43.5,"alabama","AL","red"
"Baldwin County",81413,19386,61271,756,84988,18329,65772,887,94090,18409,72780,2901,19.5653098097566,77.3514719948985,TRUE,21.5665741045795,77.3897491410552,TRUE,23.8119219289303,75.2594794443148,TRUE,1003,187114,83,9,1,4,26766,693,41.5,"alabama","AL","red"
"Covington County",15787,3240,12444,103,15415,3155,12148,112,15818,2379,13222,217,15.0398280440005,83.5883171070932,TRUE,20.4670775218943,78.806357444048,TRUE,20.5232153037309,78.8243491480332,TRUE,1039,37847,84,13,0,1,20391,353,42.4,"alabama","AL","red"
"Perry County",6159,4457,1679,23,6065,4536,1504,25,5255,3823,1403,29,72.7497621313035,26.6983824928639,FALSE,74.7897774113768,24.79802143446,FALSE,72.3656437733398,27.260918980354,FALSE,1105,10390,30,68,0,1,13716,224,35.8,"alabama","AL","red"
"DeKalb County",24015,5658,17957,400,23842,5235,18316,291,26086,3682,21779,625,14.1148508778655,83.4892279383577,TRUE,21.9570505830048,76.8224142269944,TRUE,23.5602748282324,74.7740995211326,TRUE,1049,71076,81,2,0,14,18149,359,38.8,"alabama","AL","red"
"Blount County",24267,3522,20389,356,23980,2961,20741,278,25384,2150,22808,426,8.46990230066183,89.8518751969745,TRUE,12.347789824854,86.4929107589658,TRUE,14.5135369019656,84.0194502822763,TRUE,1009,57623,88,1,0,8,20730,403,39.6,"alabama","AL","red"
"Dale County",19320,5270,13886,164,18551,5283,13105,163,18617,4408,13798,411,23.6772842026105,74.1150561314927,TRUE,28.4782491509892,70.6430920166029,TRUE,27.2774327122153,71.8737060041408,TRUE,1045,50102,70,19,1,6,22685,434,36.1,"alabama","AL","red"
"Hale County",8214,4982,3200,32,8628,5401,3205,22,8010,4772,3172,66,59.5755305867665,39.6004993757803,FALSE,62.5985164580436,37.1464997681966,FALSE,60.6525444363282,38.9578767957146,FALSE,1065,15594,40,59,0,0,18812,207,40.7,"alabama","AL","red"
"Monroe County",11252,5025,6175,52,10680,4897,5730,53,10185,4310,5771,104,42.3171330387825,56.6617574864998,TRUE,45.8520599250936,53.6516853932584,TRUE,44.6587273373623,54.8791325986491,TRUE,1099,22778,55,42,0,1,15749,339,40.4,"alabama","AL","red"
"Montgomery County",104743,62166,42031,546,101781,62993,38283,505,94572,58669,33928,1975,62.0363321067546,35.87531193165,FALSE,61.8907261669663,37.6131105019601,FALSE,59.350982881911,40.1277412333044,FALSE,1101,228980,38,55,2,3,24975,596,34.8,"alabama","AL","red"
"Wilcox County",6494,4612,1868,14,6547,4867,1676,4,6095,4329,1737,29,71.025430680886,28.4987694831829,FALSE,74.3393920879792,25.599511226516,FALSE,71.0194025254081,28.7650138589467,FALSE,1131,11531,27,73,0,0,13379,237,39,"alabama","AL","red"
"Lawrence County",14680,5164,9277,239,14079,5055,8855,169,14623,3611,10732,280,24.6939752444779,73.3912329891267,TRUE,35.9045386746218,62.8950919809646,TRUE,35.1771117166212,63.1948228882834,TRUE,1079,34009,77,11,0,2,20181,337,41.2,"alabama","AL","red"
