"state_name","state_abbr","county_name","county_fips","votes_gop_2020","votes_dem_2020","total_votes_2020","per_gop_2020","per_dem_2020","per_point_diff_2020","votes_dem_2016","votes_gop_2016","total_votes_2016","per_dem_2016","per_gop_2016","per_point_diff_2016","total_votes_2012","votes_dem_2012","votes_gop_2012","per_dem_2012","per_gop_2012","per_point_diff_2012"
"Alabama","AL","Autauga County",1001,19838,7503,27770,0.714368023046453,0.270183651422398,0.444184371624055,5908,18110,24661,0.239568549531649,0.73435789302948,-0.494789343497831,23909,6354,17366,0.265757664477812,0.726337362499477,-0.460579698021666
"Alabama","AL","Baldwin County",1003,83544,24578,109679,0.761713728243328,0.22409029987509,0.537623428368238,18409,72780,94090,0.195653098097566,0.773514719948985,-0.577861621851419,84988,18329,65772,0.215665741045795,0.773897491410552,-0.558231750364757
"Alabama","AL","Barbour County",1005,5622,4816,10518,0.534512264689104,0.457881726563986,0.0766305381251188,4848,5431,10390,0.46660250240616,0.522714148219442,-0.056111645813282,11459,5873,5539,0.512522907758094,0.483375512697443,0.029147395060651
"Alabama","AL","Bibb County",1007,7525,1986,9595,0.784262636789995,0.206982803543512,0.577279833246482,1874,6733,8748,0.214220393232739,0.769661636945588,-0.555441243712849,8391,2200,6131,0.262185675128113,0.730663806459302,-0.468478131331188
"Alabama","AL","Blount County",1009,24711,2640,27588,0.895715528490648,0.0956937799043062,0.800021748586342,2150,22808,25384,0.0846990230066183,0.898518751969745,-0.813819728963126,23980,2961,20741,0.12347789824854,0.864929107589658,-0.741451209341118
"Alabama","AL","Bullock County",1011,1146,3446,4613,0.248428354649902,0.747019293301539,-0.498590938651637,3530,1139,4701,0.750904062965327,0.242288874707509,0.508615188257817,5318,4058,1250,0.763068822865739,0.235050770966529,0.52801805189921
"Alabama","AL","Butler County",1013,5458,3965,9488,0.575252951096121,0.41789629005059,0.157356661045531,3716,4891,8685,0.427864133563615,0.563154864709269,-0.135290731145653,9483,4367,5081,0.460508277971106,0.535800906886007,-0.0752926289149004
"Alabama","AL","Calhoun County",1015,35101,15216,50983,0.688484396759704,0.298452425318243,0.390031971441461,13197,32803,47376,0.278558763931104,0.692396994258696,-0.413838230327592,46240,15500,30272,0.335207612456747,0.654671280276817,-0.319463667820069
"Alabama","AL","Chambers County",1017,8753,6365,15284,0.572690395184507,0.416448573671814,0.156241821512693,5763,7803,13778,0.418275511685295,0.566337639715488,-0.148062128030193,14562,6853,7596,0.470608432907568,0.521631644004944,-0.0510232110973767
"Alabama","AL","Cherokee County",1019,10583,1624,12301,0.860336558003414,0.132021786846598,0.728314771156817,1524,8809,10503,0.145101399600114,0.838712748738456,-0.693611349138341,9761,2126,7494,0.217805552709763,0.767749206023973,-0.54994365331421
"Alabama","AL","Chilton County",1021,16085,3073,19310,0.832988089073019,0.159140341791818,0.673847747281201,2909,15068,18255,0.159353601752944,0.825417693782525,-0.666064092029581,17434,3391,13910,0.194504990248939,0.797866238384765,-0.603361248135827
"Alabama","AL","Choctaw County",1023,4296,3127,7464,0.57556270096463,0.418944265809218,0.156618435155413,3109,4102,7268,0.427765547605944,0.564391854705559,-0.136626307099615,7965,3785,4150,0.475204017576899,0.521029504080352,-0.0458254865034526
"Alabama","AL","Clarke County",1025,7324,5755,13135,0.557594213932242,0.438142367719833,0.11945184621241,5712,7109,12936,0.441558441558442,0.549551638837353,-0.107993197278912,13827,6317,7463,0.456859767122297,0.539741086280466,-0.0828813191581688
"Alabama","AL","Clay County",1027,5601,1267,6930,0.808225108225108,0.182828282828283,0.625396825396825,1234,5230,6572,0.18776628119294,0.795800365185636,-0.608034083992696,6640,1770,4802,0.266566265060241,0.723192771084337,-0.456626506024096
"Alabama","AL","Cleburne County",1029,6484,675,7227,0.897191088971911,0.0933997509339975,0.803791338037913,684,5738,6532,0.104715248009798,0.878444580526638,-0.77372933251684,6302,971,5269,0.154078070453824,0.836083782926055,-0.682005712472231
"Alabama","AL","Coffee County",1031,16899,5076,22275,0.758653198653199,0.227878787878788,0.530774410774411,4194,15825,20513,0.204455711012529,0.771461999707503,-0.567006288694974,19715,4899,14638,0.248490996703018,0.742480344915039,-0.493989348212021
"Alabama","AL","Colbert County",1033,19203,8343,27886,0.688625116545937,0.299182385426379,0.389442731119558,7296,16718,24626,0.296272232599691,0.678875984731585,-0.382603752131893,23374,9160,13931,0.391888423034141,0.596004107127578,-0.204115684093437
"Alabama","AL","Conecuh County",1035,3442,2966,6441,0.534389070020183,0.460487501940692,0.0739015680794908,3069,3413,6543,0.469050894085282,0.521626165367568,-0.0525752712822863,7013,3551,3434,0.506345358619706,0.489662056181377,0.0166833024383289
"Alabama","AL","Coosa County",1037,3631,1796,5479,0.662712173754335,0.327797043256069,0.334915130498266,1780,3376,5223,0.340800306337354,0.646371816963431,-0.305571510626077,5243,2188,3028,0.417318329200839,0.577531947358383,-0.160213618157543
"Alabama","AL","Covington County",1039,14586,2721,17430,0.836833046471601,0.156110154905336,0.680722891566265,2379,13222,15818,0.150398280440005,0.835883171070932,-0.685484890630927,15415,3155,12148,0.204670775218943,0.78806357444048,-0.583392799221537
"Alabama","AL","Crenshaw County",1041,4864,1700,6617,0.735076318573372,0.256914009369805,0.478162309203567,1663,4511,6252,0.265994881637876,0.721529110684581,-0.455534229046705,6411,2048,4326,0.319450943690532,0.674777725783809,-0.355326782093277
"Alabama","AL","Cullman County",1043,36880,4478,41851,0.881221476189338,0.106998638025376,0.774222838163963,3730,32734,37278,0.100059016041633,0.878105048554107,-0.778046032512474,33178,4855,27930,0.146331906685153,0.841822894689252,-0.695490988004099
"Alabama","AL","Dale County",1045,14303,5170,19738,0.724642820954504,0.261931300030398,0.462711520924106,4408,13798,18617,0.236772842026105,0.741150561314927,-0.504377719288822,18551,5283,13105,0.284782491509892,0.706430920166029,-0.421648428656137
"Alabama","AL","Dallas County",1047,5524,12230,17864,0.30922525750112,0.6846171070309,-0.375391849529781,12826,5784,18730,0.684783769353978,0.308809396689802,0.375974372664175,20936,14599,6284,0.697315628582346,0.300152846771112,0.397162781811234
"Alabama","AL","DeKalb County",1049,24767,4281,29356,0.843677612753781,0.145830494617795,0.697847118135986,3682,21779,26086,0.141148508778655,0.834892279383577,-0.693743770604922,23842,5235,18316,0.219570505830048,0.768224142269944,-0.548653636439896
"Alabama","AL","Elmore County",1051,30164,10367,41030,0.735169388252498,0.252668778942237,0.482500609310261,8436,27619,36905,0.228586912342501,0.748380978187237,-0.519794065844736,35440,8940,26223,0.252257336343115,0.739926636568849,-0.487669300225734
"Alabama","AL","Escambia County",1053,10869,4918,15910,0.683155248271527,0.309113764927718,0.374041483343809,4698,10282,15213,0.308814829422205,0.675869322290147,-0.367054492867942,14832,5476,9263,0.369201725997843,0.624528047464941,-0.255326321467098
"Alabama","AL","Etowah County",1055,35528,11567,47728,0.744384847468991,0.242352497485753,0.502032349983238,10350,32132,43474,0.238073331186456,0.739108432626397,-0.501035101439941,42490,12792,29102,0.301059072722994,0.684914097434691,-0.383855024711697
"Alabama","AL","Fayette County",1057,7300,1395,8766,0.832762947752681,0.159137577002053,0.673625370750627,1358,6705,8196,0.165690580771108,0.818081991215227,-0.652391410444119,7912,1803,6034,0.227881698685541,0.762639029322548,-0.534757330637007
"Alabama","AL","Franklin County",1059,10376,2086,12578,0.824932421688663,0.165845126411194,0.659087295277469,2197,9466,11955,0.183772480133835,0.791802593057298,-0.608030112923463,10859,3171,7567,0.292015839395893,0.696841329772539,-0.404825490376646
"Alabama","AL","Geneva County",1061,10848,1595,12545,0.864726982861698,0.127142287764049,0.737584695097648,1522,9967,11659,0.130542928209967,0.854876061411785,-0.724333133201818,11318,2039,9173,0.180155504506096,0.810478883194911,-0.630323378688814
"Alabama","AL","Greene County",1063,875,3884,4775,0.183246073298429,0.813403141361257,-0.630157068062827,4006,838,4862,0.823940765117236,0.172357054709996,0.65158371040724,5328,4514,799,0.847222222222222,0.149962462462462,0.69725975975976
"Alabama","AL","Hale County",1065,3190,4687,7922,0.402676091895986,0.591643524362535,-0.188967432466549,4772,3172,8010,0.595755305867665,0.396004993757803,0.199750312109863,8628,5401,3205,0.625985164580436,0.371464997681966,0.25452016689847
"Alabama","AL","Henry County",1067,6607,2606,9298,0.710582921058292,0.280275328027533,0.430307593030759,2286,5623,8017,0.285144068853686,0.701384557814644,-0.416240488960958,8700,3046,5605,0.350114942528736,0.644252873563218,-0.294137931034483
"Alabama","AL","Houston County",1069,32618,12917,46173,0.706430164814935,0.279752236155329,0.426677928659606,10547,30567,42030,0.250939804901261,0.727266238401142,-0.476326433499881,41843,12348,29214,0.295103123581005,0.698181296752145,-0.40307817317114
"Alabama","AL","Jackson County",1071,19670,3717,23636,0.832205110847859,0.157260111694026,0.674944999153833,3663,16643,20785,0.176232860235747,0.80072167428434,-0.624488814048593,20555,5817,14422,0.282996837752372,0.70162977377767,-0.418632936025298
"Alabama","AL","Jefferson County",1073,138843,181688,325848,0.426097444207115,0.557585131717856,-0.131487687510741,151581,130614,290111,0.522493114704372,0.450220777564449,0.0722723371399223,303424,159658,141413,0.526187776840329,0.466057398228222,0.0601303786121071
"Alabama","AL","Lamar County",1075,6174,978,7193,0.858334491867093,0.135965522035312,0.722368969831781,1035,5819,6931,0.149329101139807,0.839561390852691,-0.690232289712884,7159,1643,5453,0.229501327000978,0.761698561251571,-0.532197234250594
"Alabama","AL","Lauderdale County",1077,31721,11915,44339,0.71541983355511,0.268725050181556,0.446694783373554,9877,27735,38813,0.254476592894133,0.71458016643908,-0.460103573544946,36908,12504,23902,0.338788338571583,0.647610274195296,-0.308821935623713
"Alabama","AL","Lawrence County",1079,12322,3562,16031,0.768635768199114,0.222194498159815,0.546441270039299,3611,10732,14623,0.246939752444779,0.733912329891267,-0.486972577446488,14079,5055,8855,0.359045386746218,0.628950919809646,-0.269905533063428
"Alabama","AL","Lee County",1081,42221,27860,71449,0.590924995451301,0.38992848045459,0.200996514996711,20987,34321,57668,0.363928001664701,0.595148089061525,-0.231220087396823,54115,21274,32062,0.393125750716068,0.592478979950106,-0.199353229234039
"Alabama","AL","Limestone County",1083,34640,13672,49235,0.703564537422565,0.277688636132832,0.425875901289733,9340,28824,39400,0.237055837563452,0.731573604060914,-0.494517766497462,35406,9809,25263,0.277043438965147,0.713523131672598,-0.436479692707451
"Alabama","AL","Lowndes County",1085,1836,4972,6835,0.26861741038771,0.727432333577176,-0.458814923189466,4882,1751,6676,0.731276213301378,0.262282804074296,0.468993409227082,7519,5747,1754,0.764330363080197,0.233275701556058,0.531054661524139
"Alabama","AL","Macon County",1087,1541,7108,8723,0.176659406167603,0.814857273873667,-0.638197867706064,7237,1394,8748,0.827274805669867,0.159350708733425,0.667924096936443,10385,9045,1322,0.870967741935484,0.127298988926336,0.743668753009148
"Alabama","AL","Madison County",1089,102780,87286,194767,0.527707465843803,0.44815600178675,0.0795514640570528,62435,89199,159473,0.391508280398563,0.559336063158027,-0.167827782759464,154632,61802,90679,0.399671478089917,0.586418076465415,-0.186746598375498
"Alabama","AL","Marengo County",1091,5343,5488,10900,0.490183486238532,0.50348623853211,-0.013302752293578,5607,5224,10948,0.512148337595908,0.47716477895506,0.0349835586408477,11509,6154,5321,0.534711964549483,0.462333825701625,0.0723781388478582
"Alabama","AL","Marion County",1093,12205,1463,13807,0.88397189831245,0.105960744549866,0.778011153762584,1432,11273,12912,0.11090458488228,0.873063816604709,-0.762159231722429,12104,2249,9696,0.185806345009914,0.801057501652346,-0.615251156642432
"Alabama","AL","Marshall County",1095,33191,5943,39655,0.836994073887278,0.149867608120035,0.687126465767242,4913,29217,34965,0.140511940511941,0.835607035607036,-0.695095095095095,32455,6271,25785,0.193221383454013,0.794484671083038,-0.601263287629025
"Alabama","AL","Mobile County",1097,101243,79474,183164,0.552745080911096,0.433895306938045,0.118849773973052,68429,91087,163387,0.418815450433633,0.557492334151432,-0.138676883717799,174189,78417,94566,0.450183421456005,0.542893064430016,-0.092709642974011
"Alabama","AL","Monroe County",1099,6147,4455,10668,0.576209223847019,0.417604049493813,0.158605174353206,4310,5771,10185,0.423171330387825,0.566617574864998,-0.143446244477172,10680,4897,5730,0.458520599250936,0.536516853932584,-0.0779962546816479
"Alabama","AL","Montgomery County",1101,33311,64529,99139,0.336002985706937,0.650894199053854,-0.314891213346917,58669,33928,94572,0.620363321067546,0.3587531193165,0.261610201751047,101781,62993,38283,0.618907261669663,0.376131105019601,0.242776156650062
"Alabama","AL","Morgan County",1103,39664,13234,53722,0.738319496668032,0.24634228062991,0.491977216038122,11216,37392,49991,0.224360384869276,0.747974635434378,-0.523614250565102,49198,13401,35309,0.272389121509004,0.717691776088459,-0.445302654579455
"Alabama","AL","Perry County",1105,1339,3860,5230,0.256022944550669,0.738049713193117,-0.482026768642447,3823,1403,5255,0.727497621313035,0.266983824928639,0.460513796384396,6065,4536,1504,0.747897774113768,0.2479802143446,0.499917559769167
"Alabama","AL","Pickens County",1107,5594,4022,9668,0.578609846917666,0.416011584609019,0.162598262308647,3972,5454,9494,0.41836949652412,0.574468085106383,-0.156098588582263,9599,4448,5119,0.463381602250234,0.533284717158037,-0.0699031149078029
"Alabama","AL","Pike County",1109,8042,5636,13841,0.581027382414565,0.407196011848855,0.173831370565711,5039,7681,13025,0.386871401151631,0.589712092130518,-0.202840690978887,14057,6009,7939,0.42747385644163,0.564771999715444,-0.137298143273814
"Alabama","AL","Randolph County",1111,8559,2203,10837,0.789794223493587,0.203285041985789,0.586509181507797,2290,7697,10130,0.226061204343534,0.759822309970385,-0.533761105626851,10391,3076,7219,0.296025406601867,0.69473582908286,-0.398710422480993
"Alabama","AL","Russell County",1113,9864,11228,21329,0.462468939003235,0.526419428946505,-0.0639504899432697,9577,9210,19136,0.500470317725752,0.481291806020067,0.0191785117056856,18871,10495,8276,0.556144348471199,0.438556515288008,0.117587833183191
"Alabama","AL","St. Clair County",1115,36166,7744,44441,0.813798069350375,0.17425350464661,0.639544564703765,5550,31579,37937,0.146295173577247,0.832406357909165,-0.686111184331919,35105,5790,29001,0.164933770118217,0.826121635094716,-0.661187864976499
"Alabama","AL","Shelby County",1117,79700,33268,114950,0.693344932579382,0.289412788168769,0.403932144410613,22927,72846,99208,0.231100314490767,0.734275461656318,-0.503175147165551,92204,19944,71243,0.216302980347924,0.772667129408702,-0.556364149060778
"Alabama","AL","Sumter County",1119,1598,4648,6291,0.254013670322683,0.738833253854713,-0.48481958353203,4739,1581,6391,0.741511500547645,0.247379126897199,0.494132373650446,7025,5420,1585,0.77153024911032,0.225622775800712,0.545907473309609
"Alabama","AL","Talladega County",1121,22235,13138,35663,0.623475310545944,0.368393012365757,0.255082298180187,12108,20596,33218,0.364501174062255,0.620025287494732,-0.255524113432476,33317,13878,19217,0.41654410661224,0.57679262838791,-0.16024852177567
"Alabama","AL","Tallapoosa County",1123,14963,5859,20991,0.71282930779858,0.279119622695441,0.433709685103139,5271,12967,18504,0.284857328145266,0.700767401642888,-0.415910073497622,18668,6252,12303,0.334904649667881,0.659042211270624,-0.324137561602743
"Alabama","AL","Tuscaloosa County",1125,51117,37765,90172,0.566883289712993,0.418810717295835,0.148072572417158,31746,47701,81708,0.388529886914378,0.583798404073041,-0.195268517158663,78495,32003,45703,0.407707497292821,0.582240907064144,-0.174533409771323
"Alabama","AL","Walker County",1127,26002,4834,31170,0.834199550850176,0.155085017645172,0.679114533205005,4486,24208,29243,0.153404233491776,0.827822042882057,-0.674417809390282,28497,6551,21633,0.229883847422536,0.759132540267397,-0.529248692844861
