Size,Treat,Time
4.169713987,ozone,152
4.115334082,ozone,174
4.128836944,ozone,201
4.775942545,ozone,227
5.982476414,ozone,258
3.857622204,ozone,152
3.890179585,ozone,174
5.233812909,ozone,201
4.885401857,ozone,227
4.884806469,ozone,258
4.758498919,ozone,152
4.220074866,ozone,174
4.465512244,ozone,201
4.955514138,ozone,227
5.788159621,ozone,258
4.107126137,ozone,152
4.220457663,ozone,174
4.428023798,ozone,201
4.767119452,ozone,227
5.313565285,ozone,258
3.928744788,ozone,152
3.806178952,ozone,174
5.017057702,ozone,201
4.857191668,ozone,227
6.290432925,ozone,258
4.510525848,ozone,152
4.920096243,ozone,174
4.379776333,ozone,201
4.959260917,ozone,227
5.1931385,ozone,258
4.04746173,ozone,152
4.478906291,ozone,174
4.521054054,ozone,201
5.139968575,ozone,227
5.447864108,ozone,258
4.5902418,ozone,152
3.954001763,ozone,174
5.476035576,ozone,201
5.190914779,ozone,227
4.912048664,ozone,258
3.956456467,ozone,152
5.015215343,ozone,174
4.298115439,ozone,201
5.016066745,ozone,227
5.673116618,ozone,258
4.189410388,ozone,152
4.631750666,ozone,174
5.308150422,ozone,201
5.358675944,ozone,227
4.927758367,ozone,258
3.639252065,ozone,152
4.75437513,ozone,174
4.953195323,ozone,201
5.401103861,ozone,227
5.843544756,ozone,258
4.012387464,ozone,152
4.701296031,ozone,174
4.240587254,ozone,201
5.890588935,ozone,227
4.713428156,ozone,258
3.731259561,ozone,152
4.604321381,ozone,174
5.088490842,ozone,201
5.305084718,ozone,227
5.192292218,ozone,258
4.662312971,ozone,152
4.49682567,ozone,174
4.407866116,ozone,201
4.994451584,ozone,227
5.107435654,ozone,258
4.135468576,ozone,152
4.620957679,ozone,174
4.463452789,ozone,201
5.128673523,ozone,227
5.808985102,ozone,258
4.414122847,ozone,152
4.017113392,ozone,174
4.581490193,ozone,201
5.544102415,ozone,227
5.058235286,ozone,258
4.277355822,ozone,152
4.28043233,ozone,174
4.630186799,ozone,201
4.609787365,ozone,227
5.568998868,ozone,258
3.909487227,ozone,152
4.710342149,ozone,174
4.594124239,ozone,201
5.699909944,ozone,227
5.42643144,ozone,258
4.211383774,ozone,152
4.807612816,ozone,174
4.9931265,ozone,201
5.25750228,ozone,227
5.14347261,ozone,258
4.097753953,ozone,152
4.373306763,ozone,174
4.773644856,ozone,201
4.845516938,ozone,227
5.379757785,ozone,258
4.372304387,ozone,152
4.924255217,ozone,174
4.529013776,ozone,201
5.256375869,ozone,227
5.198830317,ozone,258
4.528652059,ozone,152
4.73895569,ozone,174
5.404368497,ozone,201
4.577310316,ozone,227
6.137311197,ozone,258
3.939405624,ozone,152
4.516886913,ozone,174
4.351337648,ozone,201
4.987064154,ozone,227
5.454387576,ozone,258
3.340881704,ozone,152
3.550079031,ozone,174
4.773511361,ozone,201
4.657072325,ozone,227
5.449243499,ozone,258
4.284891428,ozone,152
3.902015358,ozone,174
4.505356773,ozone,201
4.852974635,ozone,227
6.139039706,ozone,258
4.545361298,ozone,152
4.858568778,ozone,174
4.60436933,ozone,201
5.874594104,ozone,227
5.796257994,ozone,258
4.539753402,ozone,152
4.039144281,ozone,174
4.811198811,ozone,201
4.731984652,ozone,227
5.754053556,ozone,258
4.641934185,ozone,152
4.220388047,ozone,174
4.816735335,ozone,201
5.524220071,ozone,227
6.19855335,ozone,258
4.125216827,ozone,152
5.092235521,ozone,174
4.809643141,ozone,201
4.58118868,ozone,227
5.726015127,ozone,258
4.727129966,ozone,152
4.713769114,ozone,174
4.198067363,ozone,201
5.29693529,ozone,227
5.423130719,ozone,258
4.515655357,ozone,152
4.132642775,ozone,174
4.726222043,ozone,201
4.873447133,ozone,227
5.793857221,ozone,258
4.438542085,ozone,152
3.920438811,ozone,174
4.21195683,ozone,201
5.474282334,ozone,227
5.40640397,ozone,258
4.495700644,ozone,152
4.23265947,ozone,174
5.264463783,ozone,201
5.337803363,ozone,227
6.363685601,ozone,258
3.561198268,ozone,152
4.018427473,ozone,174
4.681007918,ozone,201
5.756240389,ozone,227
4.452886428,ozone,258
4.418378713,ozone,152
5.400590143,ozone,174
4.871715549,ozone,201
5.011587483,ozone,227
5.251280885,ozone,258
3.436644125,ozone,152
4.510765184,ozone,174
5.142112028,ozone,201
5.619743045,ozone,227
4.245437289,ozone,258
4.659802912,ozone,152
3.765329249,ozone,174
5.410268498,ozone,201
4.605958723,ozone,227
4.894100674,ozone,258
3.99500736,ozone,152
4.431170706,ozone,174
4.751702065,ozone,201
5.238226777,ozone,227
5.730237457,ozone,258
4.408221117,ozone,152
4.253512539,ozone,174
4.471187413,ozone,201
4.673827698,ozone,227
5.509549501,ozone,258
4.257648457,ozone,152
3.76994686,ozone,174
3.571455442,ozone,201
4.996915484,ozone,227
5.68660525,ozone,258
4.488425942,ozone,152
4.033422114,ozone,174
4.563490221,ozone,201
5.896679795,ozone,227
5.685753597,ozone,258
4.203970437,ozone,152
4.701342219,ozone,174
4.626614837,ozone,201
4.898422158,ozone,227
5.490478242,ozone,258
4.181748193,ozone,152
4.935497243,ozone,174
4.782191367,ozone,201
5.507982315,ozone,227
5.482412613,ozone,258
4.201774376,ozone,152
5.301351083,ozone,174
5.376452326,ozone,201
5.257885545,ozone,227
5.717153858,ozone,258
4.268983735,ozone,152
4.112262812,ozone,174
4.036785399,ozone,201
5.024800909,ozone,227
5.512777742,ozone,258
3.812589127,ozone,152
4.636225406,ozone,174
4.163528963,ozone,201
5.120413292,ozone,227
5.28658101,ozone,258
3.398099119,ozone,152
4.725802061,ozone,174
3.436299691,ozone,201
5.26108243,ozone,227
5.793922034,ozone,258
4.926840484,ozone,152
4.805326083,ozone,174
4.492917475,ozone,201
4.83357437,ozone,227
6.450139435,ozone,258
4.123177446,ozone,152
4.913714773,ozone,174
4.306964562,ozone,201
5.216049896,ozone,227
5.346798618,ozone,258
4.225283724,ozone,152
4.913366992,ozone,174
4.929873444,ozone,201
4.604580278,ozone,227
6.209908067,ozone,258
4.218752198,ozone,152
4.27617599,ozone,174
4.707295661,ozone,201
5.427789584,ozone,227
5.287631717,ozone,258
3.932210266,ozone,152
3.884578525,ozone,174
4.874497736,ozone,201
5.003390679,ozone,227
5.827555951,ozone,258
4.13561952,ozone,152
4.840191346,ozone,174
5.284378625,ozone,201
5.087578677,ozone,227
5.92845156,ozone,258
4.728666124,ozone,152
4.111978922,ozone,174
4.2767769,ozone,201
5.666468537,ozone,227
5.32513326,ozone,258
4.251294082,control,152
4.513806672,control,174
5.432678783,control,201
4.776421044,control,227
6.012393429,control,258
4.327109914,control,152
4.473981981,control,174
4.765973651,control,201
5.292425134,control,227
5.705021464,control,258
4.735109875,control,152
5.086734644,control,174
5.113718628,control,201
4.37284478,control,227
6.007722519,control,258
4.891758103,control,152
3.480406832,control,174
5.682547228,control,201
4.830070911,control,227
5.968553116,control,258
3.70200232,control,152
4.693151684,control,174
5.142563224,control,201
5.218842537,control,227
5.539215048,control,258
3.947640223,control,152
4.366692376,control,174
4.670242121,control,201
5.508328485,control,227
6.025044103,control,258
4.227594999,control,152
3.96272105,control,174
4.971480999,control,201
5.512943033,control,227
6.427615425,control,258
4.587706282,control,152
5.089072022,control,174
4.634216765,control,201
5.057087492,control,227
5.504364434,control,258
4.60203277,control,152
5.037069995,control,174
5.605019397,control,201
5.651825359,control,227
5.865695254,control,258
4.477461543,control,152
4.769493771,control,174
4.611511593,control,201
5.313296163,control,227
6.002443179,control,258
4.369551326,control,152
4.775292672,control,174
4.26212865,control,201
5.563275653,control,227
5.958496112,control,258
4.118589767,control,152
4.740916,control,174
3.872936163,control,201
5.7235614,control,227
5.382692718,control,258
3.986183045,control,152
3.717920914,control,174
5.389498933,control,201
5.025767043,control,227
5.64840024,control,258
3.931437294,control,152
4.643103169,control,174
4.25821974,control,201
5.748530002,control,227
5.770703792,control,258
4.26679941,control,152
4.708885694,control,174
5.281482582,control,201
5.31599727,control,227
6.222567484,control,258
4.044583595,control,152
3.744180554,control,174
4.502356389,control,201
5.513852485,control,227
6.443827661,control,258
3.317255483,control,152
4.600568116,control,174
5.20626741,control,201
5.925840078,control,227
5.917386839,control,258
3.91278436,control,152
4.785290295,control,174
5.372628675,control,201
4.636057722,control,227
4.869360351,control,258
4.485387534,control,152
4.562259151,control,174
5.192931181,control,201
5.239357544,control,227
5.272409884,control,258
4.686152227,control,152
4.573744485,control,174
5.519483016,control,201
5.51035608,control,227
5.945355483,control,258
4.048306657,control,152
4.604156515,control,174
4.788535266,control,201
5.304272,control,227
5.960986537,control,258
4.453173781,control,152
4.850891982,control,174
4.772792667,control,201
5.626750929,control,227
6.307389035,control,258
4.358697177,control,152
4.890331206,control,174
4.891528486,control,201
5.549909992,control,227
5.727994177,control,258
4.111307369,control,152
3.717307828,control,174
4.582446061,control,201
4.912622628,control,227
6.033410775,control,258
4.882729283,control,152
5.40111235,control,174
4.641130427,control,201
5.366986649,control,227
5.891718069,control,258
