"airport","total_time","distance","month","day_of_week","scheduled_departure","scheduled_arrival","arrival_time","departure_delay","late_night_departure","thursday","delayed"
"MSP",106,546,8,5,1433,1626,1619,10,FALSE,FALSE,FALSE
"ORD",78,315,6,1,2200,2321,2318,-8,TRUE,FALSE,FALSE
"LAX",349,2475,12,7,1315,2139,2204,31,FALSE,FALSE,TRUE
"ORD",138,978,9,5,713,1001,931,-4,FALSE,FALSE,FALSE
"MSP",142,872,9,3,1119,1253,1241,-3,FALSE,FALSE,FALSE
"LAX",319,2402,5,7,620,1435,1439,-1,FALSE,FALSE,FALSE
"LAX",317,2402,8,6,1345,2213,2202,-4,FALSE,FALSE,FALSE
"ORD",115,557,3,7,1530,1727,1725,-4,FALSE,FALSE,FALSE
"LAX",232,1750,3,4,915,1510,1507,-3,FALSE,TRUE,FALSE
"LAX",99,373,1,3,1335,1503,1514,12,FALSE,FALSE,FALSE
"LAX",195,1670,1,3,1325,1904,1840,-4,FALSE,FALSE,FALSE
"LAX",333,2475,9,7,1135,2005,2008,3,FALSE,FALSE,FALSE
"ORD",146,265,4,3,620,830,946,70,FALSE,FALSE,TRUE
"ORD",85,397,3,3,851,1026,1016,-7,FALSE,FALSE,FALSE
"LAX",132,748,3,1,1040,1255,1252,2,FALSE,FALSE,FALSE
"ORD",110,632,7,1,1400,1653,1650,-7,FALSE,FALSE,FALSE
"ORD",90,268,5,5,1245,1405,1415,-5,FALSE,FALSE,FALSE
"ORD",277,1846,3,2,1430,1710,1707,4,FALSE,FALSE,FALSE
"ORD",239,1437,12,6,1918,2222,2217,4,FALSE,FALSE,FALSE
"ORD",74,403,9,3,905,1038,1019,-11,FALSE,FALSE,FALSE
"ORD",66,268,6,1,905,1021,1011,-6,FALSE,FALSE,FALSE
"ORD",138,599,2,4,1800,2055,2118,13,FALSE,TRUE,FALSE
"ORD",255,1744,9,2,1929,2200,2144,-3,FALSE,FALSE,FALSE
"ORD",108,397,3,2,851,1026,1039,-1,FALSE,FALSE,FALSE
"LAX",112,862,1,4,1009,1329,1301,-7,FALSE,TRUE,FALSE
"ORD",275,1744,1,5,1206,1441,1441,3,FALSE,FALSE,FALSE
"ORD",169,719,9,5,1745,2108,2134,4,FALSE,FALSE,FALSE
"MSP",116,700,8,3,1918,2123,2114,2,FALSE,FALSE,FALSE
"LAX",152,337,9,3,1435,1601,1707,50,FALSE,FALSE,TRUE
"ORD",109,646,1,3,2110,2355,2359,-2,FALSE,FALSE,FALSE
"ORD",106,677,9,2,900,1107,1046,-5,FALSE,FALSE,FALSE
"ORD",107,323,1,5,1828,2047,2115,34,FALSE,FALSE,TRUE
"LAX",288,2342,12,3,2355,748,743,-5,FALSE,FALSE,FALSE
"ORD",150,802,1,1,915,1146,1145,0,FALSE,FALSE,FALSE
"ORD",102,733,1,5,1915,2215,2157,-4,FALSE,FALSE,FALSE
"LAX",201,1235,7,4,1045,1556,1606,8,FALSE,TRUE,FALSE
"MSP",211,1487,3,2,730,1202,1201,-4,FALSE,FALSE,FALSE
"LAX",150,833,6,7,827,1149,1157,-6,FALSE,FALSE,FALSE
"ORD",122,802,7,4,645,912,847,-6,FALSE,TRUE,FALSE
"ORD",100,536,7,5,1400,1651,1640,-4,FALSE,FALSE,FALSE
"ORD",278,1744,11,4,1513,1747,1751,8,FALSE,TRUE,FALSE
"MSP",155,931,1,2,1305,1627,1640,13,FALSE,FALSE,FALSE
"ORD",102,622,8,3,650,949,932,-4,FALSE,FALSE,FALSE
"LAX",65,451,1,3,2130,2345,2335,-5,FALSE,FALSE,FALSE
"MSP",85,491,6,5,956,1230,1221,-5,FALSE,FALSE,FALSE
"ORD",106,436,1,5,1920,2055,2106,3,FALSE,FALSE,FALSE
"ORD",141,719,12,7,1130,1437,1451,28,FALSE,FALSE,FALSE
"LAX",81,266,1,3,830,947,951,3,FALSE,FALSE,FALSE
"LAX",200,1242,5,3,804,1308,1324,-3,FALSE,FALSE,FALSE
"LAX",233,1619,12,4,2355,537,548,16,FALSE,TRUE,FALSE
"LAX",103,590,7,3,1515,1755,1758,8,FALSE,FALSE,FALSE
"ORD",81,258,6,1,1841,2004,2002,16,FALSE,FALSE,FALSE
"ORD",112,522,9,3,1919,2104,2111,4,FALSE,FALSE,FALSE
"ORD",162,888,4,4,2140,2321,2322,-2,FALSE,TRUE,FALSE
"MSP",129,860,9,5,1919,2228,2228,11,FALSE,FALSE,FALSE
"ORD",88,403,2,3,2033,2210,2201,-1,FALSE,FALSE,FALSE
"ORD",107,738,1,6,1850,2159,2137,-3,FALSE,FALSE,FALSE
"MSP",128,907,2,7,1500,1832,1808,0,FALSE,FALSE,FALSE
"ORD",85,466,1,4,1705,1843,1830,-7,FALSE,TRUE,FALSE
"ORD",302,1846,8,3,1417,1700,1719,0,FALSE,FALSE,FALSE
"MSP",208,1532,3,1,2135,2329,2303,-5,FALSE,FALSE,FALSE
"LAX",275,236,7,3,1321,1439,1756,212,FALSE,FALSE,TRUE
"ORD",628,1005,3,1,910,1251,2038,475,FALSE,FALSE,TRUE
"ORD",248,1197,8,6,1840,2303,2348,46,FALSE,FALSE,TRUE
"ORD",228,1440,3,3,2203,2358,2351,16,FALSE,FALSE,FALSE
"ORD",76,299,12,1,1015,1134,1131,-1,FALSE,FALSE,FALSE
"ORD",103,678,4,7,2050,2359,2333,-3,FALSE,FALSE,FALSE
"ORD",105,612,5,2,1630,1927,1915,-5,FALSE,FALSE,FALSE
"ORD",75,240,8,5,1558,1810,1813,-4,FALSE,FALSE,FALSE
"ORD",67,287,1,4,710,926,917,-1,FALSE,TRUE,FALSE
"ORD",128,612,2,2,2045,2328,2353,8,FALSE,FALSE,FALSE
"LAX",147,945,1,6,1850,2128,2117,-5,FALSE,FALSE,FALSE
"ORD",92,566,5,2,2115,2355,2347,-5,FALSE,FALSE,FALSE
"MSP",81,386,12,3,1308,1446,1429,-2,FALSE,FALSE,FALSE
"LAX",363,2343,7,2,1527,2334,30,66,FALSE,FALSE,TRUE
"LAX",231,1814,5,2,1115,1815,1806,17,FALSE,FALSE,FALSE
"MSP",199,1399,5,1,1535,1703,1654,0,FALSE,FALSE,FALSE
"LAX",291,2288,7,3,1312,2115,2103,-2,FALSE,FALSE,FALSE
"ORD",232,1514,3,6,1325,1524,1517,7,FALSE,FALSE,FALSE
"LAX",308,2611,12,6,1505,2324,2313,-2,FALSE,FALSE,FALSE
"ORD",247,552,5,6,1655,1853,2102,146,FALSE,FALSE,TRUE
"LAX",304,2343,7,7,1510,2315,2314,2,FALSE,FALSE,FALSE
"ORD",100,622,12,6,730,1027,1010,0,FALSE,FALSE,FALSE
"MSP",69,297,4,3,1630,1735,1739,-4,FALSE,FALSE,FALSE
"LAX",126,862,12,4,1420,1735,1726,-1,FALSE,TRUE,FALSE
"ORD",255,1721,9,7,1525,1744,1740,-6,FALSE,FALSE,FALSE
"MSP",256,1532,2,1,1155,1353,1411,-4,FALSE,FALSE,FALSE
"MSP",56,297,9,4,600,710,656,-4,TRUE,TRUE,FALSE
"MSP",58,196,11,7,2155,2256,2253,0,FALSE,FALSE,FALSE
"ORD",97,678,3,7,1330,1643,1607,-5,FALSE,FALSE,FALSE
"ORD",71,343,7,5,1040,1302,1251,-8,FALSE,FALSE,FALSE
"ORD",124,416,6,2,1816,1954,2020,39,FALSE,FALSE,TRUE
"LAX",88,370,11,2,1430,1657,1658,9,FALSE,FALSE,FALSE
"ORD",153,925,6,1,927,1211,1200,-1,FALSE,FALSE,FALSE
"LAX",131,590,3,3,1850,2139,2201,24,FALSE,FALSE,FALSE
"ORD",145,567,5,1,1850,2153,2215,37,FALSE,FALSE,TRUE
"LAX",334,2475,2,3,1140,2000,2014,19,FALSE,FALSE,FALSE
"LAX",227,1947,11,6,2245,554,532,-1,FALSE,FALSE,FALSE
"LAX",233,1744,3,1,130,738,723,4,FALSE,FALSE,FALSE
"ORD",78,413,5,3,732,955,950,-4,FALSE,FALSE,FALSE
"MSP",201,1535,9,6,1941,2140,2102,-1,FALSE,FALSE,FALSE
"LAX",153,954,2,5,700,935,933,-6,FALSE,FALSE,FALSE
"ORD",224,1250,2,4,750,1029,1034,8,FALSE,TRUE,FALSE
"MSP",171,1026,7,1,1155,1343,1346,-5,FALSE,FALSE,FALSE
"MSP",242,1589,8,2,900,1100,1102,-1,FALSE,FALSE,FALSE
"ORD",306,1846,7,6,2015,2258,2321,37,FALSE,FALSE,TRUE
"ORD",117,837,1,4,1710,1934,1907,-9,FALSE,TRUE,FALSE
"ORD",113,733,2,5,800,1108,1053,-4,FALSE,FALSE,FALSE
"MSP",120,680,3,1,915,1033,1015,-1,FALSE,FALSE,FALSE
"LAX",109,590,2,4,600,854,849,-6,TRUE,TRUE,FALSE
"MSP",153,980,9,6,700,1039,1033,-10,FALSE,FALSE,FALSE
"MSP",223,1175,3,5,1145,1252,1328,39,FALSE,FALSE,TRUE
"ORD",51,223,4,3,2145,2350,2336,-6,FALSE,FALSE,FALSE
"LAX",228,1744,6,1,2255,457,443,-4,FALSE,FALSE,FALSE
"ORD",111,491,3,4,840,1021,1031,4,FALSE,TRUE,FALSE
"ORD",480,2846,3,1,1859,2252,2359,97,FALSE,FALSE,TRUE
"MSP",57,236,8,5,1557,1702,1654,-4,FALSE,FALSE,FALSE
"MSP",78,196,1,7,1342,1449,1500,-3,FALSE,FALSE,FALSE
"LAX",222,1744,1,3,1620,2217,2202,-1,FALSE,FALSE,FALSE
"ORD",112,122,11,4,1210,1404,1502,54,FALSE,TRUE,TRUE
"LAX",363,2556,4,4,1730,2037,2033,0,FALSE,TRUE,FALSE
"ORD",270,1846,12,4,653,943,923,0,FALSE,TRUE,FALSE
"ORD",98,528,5,7,1910,2152,2148,3,FALSE,FALSE,FALSE
"MSP",195,1276,9,6,1440,1557,1555,-2,FALSE,FALSE,FALSE
"ORD",68,177,11,1,1215,1414,1423,-1,FALSE,FALSE,FALSE
"MSP",71,334,7,3,954,1124,1105,-4,FALSE,FALSE,FALSE
"ORD",191,606,12,3,1803,2106,2214,81,FALSE,FALSE,TRUE
"ORD",108,474,12,3,1455,1727,1743,23,FALSE,FALSE,FALSE
"ORD",108,646,9,7,1315,1618,1603,9,FALSE,FALSE,FALSE
"ORD",193,1197,7,6,1630,2043,2043,-1,FALSE,FALSE,FALSE
"ORD",149,1005,6,1,600,941,929,-6,TRUE,FALSE,FALSE
"MSP",32,76,8,3,1329,1415,1401,-5,FALSE,FALSE,FALSE
"ORD",334,1723,5,3,1625,1849,1959,81,FALSE,FALSE,TRUE
"LAX",256,1979,3,1,715,1445,1431,4,FALSE,FALSE,FALSE
