"Island","NS","ES","Area","Anear","Dist","DistSC","Elevation"
"Santa_Cruz",444,95,903.82,0.52,0.6,"Small",864
"Eden",8,4,0.03,17.95,0.4,"Small",100
"Baltra",58,23,25.09,1.84,0.6,"Small",100
"Las_Plazas",12,9,0.23,25.09,0.5,"Small",25
"Coamano",2,1,0.05,903.82,1.9,"Small",100
"Daphne_Major",18,11,0.34,1.84,8,"Small",120
"Seymour",44,16,1.84,25.09,0.6,"Small",30
"Pinzon",108,33,17.95,0.03,10.7,"Small",458
"Santa_Fe",62,28,24.08,0.52,16.5,"Small",259
"San_Salvador",237,81,572.33,4.89,0.2,"Small",906
"Rabida",70,30,4.89,572.33,4.4,"Small",367
"Bartolome",31,21,1.24,572.33,0.6,"Small",109
"Isabela",347,89,4669.32,634.49,0.7,"Small",1707
"Onslow",2,2,0.01,0.1,3.3,"Medium",25
"Champion",25,9,0.1,0.18,1.9,"Medium",46
"Santa_Maria",285,73,170.92,0.1,2.6,"Medium",640
"Enderby",2,2,0.18,0.1,2.6,"Medium",112
"Tortuga",16,8,1.24,17.95,6.8,"Medium",186
"Caldwell",3,3,0.21,0.78,2.8,"Medium",114
"Gardner2",5,4,0.78,0.21,4.6,"Medium",227
"San_Cristobal",280,65,551.62,0.57,45.2,"Medium",716
"Marchena",51,23,129.49,59.56,29.1,"Large",343
"Espanola",97,26,58.27,0.57,1.1,"Large",198
"Genovesa",40,19,17.35,129.49,47.4,"Large",76
"Gardner1",58,17,0.57,58.27,1.1,"Large",49
"Fernandina",93,35,634.49,4669.32,4.3,"Large",1494
"Pinta",104,37,59.56,129.49,29.1,"Large",777
"Wolf",21,12,2.85,2.33,34.1,"Large",253
"Darwin",10,7,2.33,2.85,34.1,"Large",168
