"height","sex"
78.5,"M"
78.5,"M"
78.5,"M"
78.5,"M"
75.5,"M"
75.5,"M"
75.5,"M"
75.5,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
75,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74.5,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
74,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73,"M"
73.2,"M"
72.7,"M"
72.7,"M"
72.7,"M"
72.7,"M"
72.7,"M"
72.7,"M"
72.7,"M"
72.7,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72.5,"M"
72.5,"M"
72.5,"M"
72,"M"
72.5,"M"
72.5,"M"
72.5,"M"
72.5,"M"
72.5,"M"
72.5,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
72,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71.7,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71.5,"M"
71.5,"M"
71.5,"M"
71.5,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71.7,"M"
71.7,"M"
71.7,"M"
71.7,"M"
71,"M"
71,"M"
71,"M"
71.5,"M"
71.5,"M"
71.5,"M"
71.5,"M"
71.5,"M"
71.5,"M"
71.5,"M"
71.2,"M"
71.2,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
71,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70.3,"M"
70.3,"M"
70.3,"M"
70.3,"M"
70.3,"M"
70.3,"M"
70.3,"M"
70.5,"M"
70.5,"M"
70.5,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
70,"M"
