"state","median_house_inc","share_unemp_seas","share_pop_metro","share_pop_hs","share_non_citizen","share_white_poverty","gini_index","share_non_white","share_vote_trump","hate_crimes_per_100k_splc","avg_hatecrimes_per_100k_fbi","crimes_pre","crimes_post","trump_win","crimes_diff"
"Alabama",42278,0.06,0.64,0.821,0.02,0.12,0.472,0.35,0.63,0.125838926,1.806410489,0.00494906983287671,0.0125838926,TRUE,0.00763482276712329
"Alaska",67629,0.064,0.63,0.914,0.04,0.06,0.422,0.42,0.53,0.143740118,1.656700109,0.00453890440821918,0.0143740118,TRUE,0.00983510739178082
"Arizona",49254,0.063,0.9,0.842,0.1,0.09,0.455,0.49,0.5,0.225319954,3.413927994,0.00935322738082192,0.0225319954,TRUE,0.0131787680191781
"Arkansas",44922,0.052,0.69,0.824,0.04,0.12,0.458,0.26,0.6,0.069060773,0.869208872,0.00238139416986301,0.0069060773,TRUE,0.00452468313013699
"California",60487,0.059,0.97,0.806,0.13,0.09,0.471,0.61,0.33,0.255805361,2.397985899,0.00656982438082192,0.0255805361,FALSE,0.0190107117191781
"Colorado",60940,0.04,0.8,0.893,0.06,0.07,0.457,0.31,0.44,0.390523301,2.804688765,0.00768407880821918,0.0390523301,FALSE,0.0313682512917808
"Connecticut",70161,0.052,0.94,0.886,0.06,0.06,0.486,0.3,0.41,0.335392269,3.772701469,0.0103361684082192,0.0335392269,FALSE,0.0232030584917808
"Delaware",57522,0.049,0.9,0.874,0.05,0.08,0.44,0.37,0.42,0.322754169,1.469979563,0.00402734126849315,0.0322754169,FALSE,0.0282480756315068
"District of Columbia",68277,0.067,1,0.871,0.11,0.04,0.532,0.63,0.04,1.52230172,10.95347971,0.0300095334520548,0.152230172,FALSE,0.122220638547945
"Florida",46140,0.052,0.96,0.853,0.09,0.11,0.474,0.46,0.49,0.187521223,0.698070342,0.00191252148493151,0.0187521223,TRUE,0.0168396008150685
"Georgia",49555,0.058,0.82,0.839,0.08,0.09,0.468,0.48,0.51,0.120420267,0.412011824,0.00112879951780822,0.0120420267,TRUE,0.0109132271821918
"Hawaii",71223,0.034,0.76,0.904,0.08,0.07,0.433,0.81,0.3,NA,NA,NA,NA,FALSE,NA
"Idaho",53438,0.042,0.7,0.884,0.04,0.11,0.433,0.16,0.59,0.124208173,1.891330529,0.00518172747671233,0.0124208173,TRUE,0.00723908982328767
"Illinois",54916,0.054,0.9,0.864,0.07,0.07,0.465,0.37,0.39,0.195344549,1.044015798,0.00286031725479452,0.0195344549,FALSE,0.0166741376452055
"Indiana",48060,0.044,0.79,0.866,0.03,0.12,0.44,0.2,0.57,0.247008877,1.757356567,0.0048146755260274,0.0247008877,TRUE,0.0198862121739726
"Iowa",57810,0.036,0.6,0.914,0.03,0.09,0.427,0.15,0.52,0.454427421,0.561395565,0.00153807004109589,0.0454427421,TRUE,0.0439046720589041
"Kansas",53444,0.044,0.64,0.897,0.04,0.11,0.445,0.25,0.57,0.105152471,2.143986672,0.00587393608767123,0.0105152471,TRUE,0.00464131101232877
"Kentucky",42786,0.05,0.56,0.817,0.03,0.17,0.466,0.15,0.63,0.324396969,4.207889621,0.0115284647150685,0.0324396969,TRUE,0.0209112321849315
"Louisiana",42406,0.06,0.81,0.822,0.02,0.12,0.475,0.42,0.58,0.109733348,1.341169554,0.00367443713424658,0.0109733348,TRUE,0.00729889766575342
"Maine",51710,0.044,0.54,0.902,NA,0.12,0.437,0.09,0.45,0.615574023,2.626610924,0.00719619431232877,0.0615574023,FALSE,0.0543612079876712
"Maryland",76165,0.051,0.97,0.89,0.08,0.06,0.443,0.5,0.35,0.37043897,1.324839538,0.00362969736438356,0.037043897,FALSE,0.0334141996356164
"Massachusetts",63151,0.046,0.97,0.89,0.09,0.08,0.475,0.27,0.34,0.630810592,4.801899339,0.0131558886,0.0630810592,FALSE,0.0499251706
"Michigan",52005,0.05,0.87,0.879,0.04,0.09,0.451,0.24,0.48,0.403779375,3.200442266,0.00876833497534247,0.0403779375,TRUE,0.0316096025246575
