"peak","elevation","difficulty","ascent","length","time","rating"
"Mt. Marcy  ",5344,5,3166,14.8,10,"moderate"
"Algonquin Peak ",5114,5,2936,9.6,9,"moderate"
"Mt. Haystack ",4960,7,3570,17.8,12,"difficult"
"Mt. Skylight ",4926,7,4265,17.9,15,"difficult"
"Whiteface Mtn. ",4867,4,2535,10.4,8.5,"easy"
"Dix Mtn. ",4857,5,2800,13.2,10,"moderate"
"Gray Peak ",4840,7,4178,16,14,"difficult"
"Iroquois Peak ",4840,6,3250,11.6,8.5,"moderate"
"Basin Mtn. ",4827,6,3650,16.5,11,"moderate"
"Gothics ",4736,5,4070,10,9,"moderate"
"Mt. Colden ",4714,5,2850,15.2,10,"moderate"
"Giant Mtn. ",4627,4,3050,6,7.5,"easy"
"Nippletop ",4620,5,4050,12.6,10,"moderate"
"Santanoni Peak ",4607,5,2860,11.4,10,"moderate"
"Mt. Redfield ",4606,7,3225,17.5,14,"difficult"
"Wright Peak ",4580,4,2400,7,7,"easy"
"Saddleback Mtn. ",4515,5,2990,13.4,10,"moderate"
"Panther Peak ",4442,6,3762,17.6,13.5,"moderate"
"Tabletop Mtn. ",4427,5,3660,15.2,13,"moderate"
"Rocky Peak Ridge ",4420,6,4500,13.4,11,"moderate"
"Macomb Mtn. ",4405,5,2344,8.4,8,"moderate"
"Armstrong Mtn. ",4400,5,3734,12.7,11,"moderate"
"Hough Peak ",4400,6,3200,13.7,11,"moderate"
"Seward Mtn. ",4361,7,3490,16,17,"difficult"
"Mt. Marshall ",4360,6,2575,14,11,"moderate"
"Allen Mtn. ",4340,7,2540,16.2,13,"difficult"
"Big Slide Mtn. ",4240,4,2800,9.4,8,"easy"
"Esther Mtn. ",4240,4,3020,9.4,7.5,"easy"
"Upper Wolfjaw ",4185,5,3619,12.7,11,"moderate"
"Lower Wolfjaw ",4175,4,2825,8.7,8,"easy"
"Street Mtn. ",4166,6,2115,8.8,9.5,"moderate"
"Phelps Mtn. ",4161,5,3394,10,9,"moderate"
"Mt. Donaldson ",4140,7,3490,17,17,"difficult"
"Seymour Mtn. ",4120,6,2370,14,11,"moderate"
"Sawteeth ",4100,4,2975,11.8,9,"easy"
"Cascade Mtn. ",4098,2,1940,4.8,5,"easy"
"South Dix ",4060,6,3050,11.5,12,"moderate"
"Porter Mtn. ",4059,3,2700,7.6,5.5,"easy"
"Mt. Colvin ",4057,4,2130,10.8,10,"easy"
"Mt. Emmons ",4040,7,3490,18,18,"difficult"
"Dial Mtn. ",4020,5,3450,10,9,"moderate"
"East Dix ",4012,6,3002,12.5,12,"moderate"
"Blake ",3960,4,3270,13.6,12,"easy"
"Cliff Mtn. ",3960,6,2160,17.2,12,"moderate"
"Nye Mtn. ",3895,6,1844,7.5,8.5,"moderate"
"Couchsachraga Peak ",3820,6,3140,15,12,"moderate"
