"GroupID","dry.mass","count","attach","lipid","protein","carbo","ash","Kcal","ammonia","O2","AvgAmmonia","AvgO2","AvgMass"
1,0.55,20,"Rock",8.14,47.43,21.59,5.51,3.61,0.07,0.82,0.0035000000000,0.04100,0.027500
2,0.45,19,"Rock",9.34,53.89,23.41,6.34,4.06,0.07,0.7,0.0036842105263,0.03684,0.023684
3,0.37,20,"Rock",9.12,49.01,21.1,5.63,3.74,0.07,0.62,0.0035000000000,0.03100,0.018500
4,0.63,20,"Rock",10.32,49.25,16.55,5.41,3.66,0.11,0.89,0.0055000000000,0.04450,0.031500
5,0.57,20,"Rock",10.08,50.17,17.51,6.1,3.72,0.11,1.09,0.0055000000000,0.05450,0.028500
6,0.57,22,"Rock",10.83,53.84,19.97,6.36,4.04,0.11,1,0.0050000000000,0.04545,0.025909
7,0.56,20,"Rock",9.37,47.75,28.95,5.2,4.03,0.11,0.92,0.0055000000000,0.04600,0.028000
8,0.54,20,"Rock",9.44,62.99,22.08,5.58,4.41,0.1,0.92,0.0050000000000,0.04600,0.027000
9,0.55,21,"Rock",9.84,53.89,24.61,5.77,4.15,0.1,0.93,0.0047619047619,0.04429,0.026190
10,0.55,20,"Rock",10.18,55.34,29.89,6.09,4.46,0.1,0.92,0.0050000000000,0.04600,0.027500
11,0.43,20,"Rock",10.75,49.92,25.06,"NA",4.08,0.08,0.77,0.0040000000000,0.03850,0.021500
12,0.51,19,"Rock",9.98,54.16,20.52,5.55,4.01,0.09,0.8,0.0047368421053,0.04211,0.026842
13,0.34,20,"Rock",10.44,58.43,21.85,5.44,4.29,0.07,0.57,0.0035000000000,0.02850,0.017000
14,0.34,20,"Rock",10.24,53.94,20.09,6.37,4,0.07,0.62,0.0035000000000,0.03100,0.017000
15,0.3,20,"Rock",9,71.94,18.52,4.62,4.61,0.05,0.38,0.0025000000000,0.01900,0.015000
16,0.83,34,"Amblema",10.33,62.63,14.51,6.03,4.16,0.21,1.93,0.0061764705882,0.05676,0.024412
17,0.49,31,"Amblema",7.91,59.62,17.4,5.42,3.94,0.09,0.84,0.0029032258065,0.02710,0.015806
18,0.46,72,"Amblema",8.28,56.67,15.76,5.17,3.78,0.18,1.05,0.0025000000000,0.01458,0.006389
19,0.44,23,"Amblema",6.82,53.2,9.97,5.39,3.27,0.14,1.05,0.0060869565217,0.04565,0.019130
20,1.16,27,"Amblema",9.07,62.99,15.94,6.45,4.12,0.35,2.39,0.0129629629630,0.08852,0.042963
22,1.1,23,"Amblema",6.5,59.36,22.95,6.57,4.04,0.25,2.07,0.0108695652174,0.09000,0.047826
23,1.07,42,"Amblema",8.13,56.64,18.39,5.16,3.87,0.41,2.77,0.0097619047619,0.06595,0.025476
24,0.36,38,"Amblema",8.27,43.49,21.1,4.91,3.43,0.11,0.79,0.0028947368421,0.02079,0.009474
25,0.47,38,"Amblema",10.3,54.12,16.81,5.33,3.88,0.13,0.97,0.0034210526316,0.02553,0.012368
27,0.43,26,"Amblema",9.53,52.88,15.6,5.55,3.71,0.12,1.24,0.0046153846154,0.04769,0.016538
28,0.89,28,"Amblema",8.19,60.14,"NA",5.53,"NA",0.25,2.68,0.0089285714286,0.09571,0.031786
29,0.7,31,"Amblema",9.44,48.96,20.83,5.76,3.75,0.26,2.26,0.0083870967742,0.07290,0.022581
30,0.68,64,"Amblema",8.04,"NA",17.89,"NA","NA",0.23,2.05,0.0035937500000,0.03203,0.010625
