"year","sex","occupation","people","population","percent"
1850,1,"Farmer",2415878,5354159,45.12
1850,2,"Farmer",17583,52043,33.79
1850,1,"other",1380048,5354159,25.78
1850,2,"Household Worker",11620,52043,22.33
1850,2,"other",10615,52043,20.4
1850,1,"Laborer",620277,5354159,11.58
1850,2,"Laborer",3436,52043,6.6
1850,1,"Farm Laborer",296047,5354159,5.53
1850,2,"Teacher",2728,52043,5.24
1850,1,"Manager / Owner",224003,5354159,4.18
1850,1,"Operative",192143,5354159,3.59
1850,2,"Manager / Owner",1717,52043,3.3
1850,2,"Farm Laborer",1313,52043,2.52
1850,2,"Operative",1212,52043,2.33
1850,1,"Salesman",104351,5354159,1.95
1850,2,"Nurse",707,52043,1.36
1850,2,"Salesman",405,52043,0.78
1850,1,"Truck / Tractor Driver",31753,5354159,0.59
1850,2,"Professional - Misc",303,52043,0.58
1850,1,"Teacher",30418,5354159,0.57
1850,1,"Mechanic",29113,5354159,0.54
1850,2,"Truck / Tractor Driver",202,52043,0.39
1850,1,"Household Worker",14966,5354159,0.28
1850,2,"Hospital Attendant",101,52043,0.19
1850,2,"Mechanic",101,52043,0.19
1850,1,"Professional - Misc",7076,5354159,0.13
1850,1,"Clerical Worker",2929,5354159,0.05
1850,1,"Foremen",2427,5354159,0.05
1850,1,"Bookkeeper",2225,5354159,0.04
1850,1,"Cashier",101,5354159,0
1850,1,"Hospital Attendant",101,5354159,0
1850,1,"Janitor",202,5354159,0
1850,1,"Nurse",101,5354159,0
1860,2,"Household Worker",616191,1210715,50.89
1860,1,"Farmer",2586005,7223719,35.8
1860,1,"other",1959074,7223719,27.12
1860,2,"other",273338,1210715,22.58
1860,1,"Farm Laborer",841587,7223719,11.65
1860,1,"Laborer",826978,7223719,11.45
1860,2,"Farmer",99747,1210715,8.24
1860,2,"Operative",73186,1210715,6.04
1860,2,"Teacher",68141,1210715,5.63
1860,1,"Manager / Owner",365479,7223719,5.06
1860,1,"Operative",247834,7223719,3.43
1860,1,"Salesman",166761,7223719,2.31
1860,2,"Manager / Owner",21688,1210715,1.79
1860,2,"Laborer",18778,1210715,1.55
1860,2,"Farm Laborer",18465,1210715,1.53
1860,1,"Truck / Tractor Driver",63194,7223719,0.87
1860,2,"Cook",8032,1210715,0.66
1860,1,"Teacher",45663,7223719,0.63
1860,2,"Nurse",6629,1210715,0.55
1860,1,"Mechanic",39053,7223719,0.54
1860,1,"Household Worker",36635,7223719,0.51
1860,2,"Salesman",4616,1210715,0.38
1860,1,"Bookkeeper",16847,7223719,0.23
1860,1,"Foremen",9835,7223719,0.14
1860,1,"Clerical Worker",8431,7223719,0.12
1860,1,"Cook",6928,7223719,0.1
1860,2,"Hospital Attendant",902,1210715,0.07
1860,1,"Professional - Misc",1711,7223719,0.02
1860,2,"Bookkeeper",301,1210715,0.02
1860,2,"Mechanic",200,1210715,0.02
1860,2,"Truck / Tractor Driver",200,1210715,0.02
1860,1,"Cashier",600,7223719,0.01
1860,1,"Janitor",803,7223719,0.01
