"Route","Latitude","Longitude","Total"
2,44.961023,-93.292732,42
2,44.961751,-93.292191,98
2,44.962382,-93.247073,265
2,44.96248,-93.291719,10
2,44.962616,-93.293003,28
2,44.962638,-93.267388,134
2,44.962639,-93.283075,92
2,44.962639,-93.270313,163
2,44.962641,-93.275415,161
2,44.962642,-93.272864,359
2,44.962643,-93.277935,952
2,44.962644,-93.279655,130
2,44.962649,-93.291083,348
2,44.962649,-93.285587,69
2,44.96265,-93.264822,67
2,44.962651,-93.28813,306
2,44.962657,-93.262677,405
2,44.962658,-93.251229,33
2,44.962667,-93.244501,111
2,44.962668,-93.256926,221
2,44.962669,-93.259809,90
2,44.962671,-93.257958,111
2,44.962676,-93.246889,626
2,44.962687,-93.236296,10
2,44.962694,-93.252485,145
2,44.962695,-93.237873,38
2,44.962697,-93.241108,100
2,44.962739,-93.277982,138
2,44.962741,-93.267968,129
2,44.962743,-93.283087,6
2,44.962746,-93.27261,52
2,44.962747,-93.271338,91
2,44.962748,-93.276443,16
2,44.96275,-93.262693,323
2,44.962752,-93.280687,7
2,44.962753,-93.264984,119
2,44.962754,-93.285332,3
2,44.962755,-93.288254,7
2,44.962772,-93.256671,242
2,44.962774,-93.259558,48
2,44.962775,-93.258063,179
2,44.962798,-93.252648,172
2,44.962799,-93.239214,30
2,44.9628,-93.237618,82
2,44.962801,-93.240803,261
2,44.962801,-93.234453,220
2,44.962815,-93.244741,183
2,44.962842,-93.233089,227
2,44.962872,-93.234519,134
2,44.962884,-93.250956,29
2,44.963654,-93.23594,26
2,44.96518,-93.23556,86
2,44.965686,-93.236455,77
2,44.966281,-93.238131,30
2,44.966847,-93.239158,40
2,44.967531,-93.241047,77
2,44.968217,-93.242638,78
2,44.968886,-93.243924,60
2,44.969843,-93.245745,87
2,44.971187,-93.246817,88
2,44.971225,-93.247193,53
2,44.971727,-93.245938,34
2,44.972302,-93.243772,233
2,44.972594,-93.243422,199
2,44.978123,-93.23554,769
2,44.978468,-93.235893,623
2,44.978702,-93.235689,0
2,44.978977,-93.235311,68
2,44.980128,-93.234678,265
2,44.980614,-93.239485,57
2,44.98114,-93.237284,60
2,44.982696,-93.241184,20
2,44.982816,-93.241327,80
2,44.984554,-93.239765,8
2,44.984768,-93.239762,142
2,44.985549,-93.238972,8
2,44.986628,-93.238354,229
2,44.987093,-93.239234,16
2,44.987182,-93.239745,175
2,44.988286,-93.242209,11
2,44.988293,-93.242529,229
2,44.989289,-93.251531,458
2,44.98939,-93.24531,287
2,44.989396,-93.245016,6
2,44.990626,-93.248575,118
2,44.990667,-93.248788,3
3,44.93952,-93.089414,143
3,44.940389,-93.085718,8
3,44.94591,-93.092975,32
3,44.946427,-93.095085,599
3,44.94709,-93.095739,554
3,44.947686,-93.094643,17
3,44.948436,-93.097016,104
3,44.949837,-93.098344,72
3,44.95005,-93.100018,4
3,44.950447,-93.097561,6
3,44.952297,-93.106146,11
3,44.952349,-93.105822,35
3,44.954149,-93.106134,47
3,44.954215,-93.105825,52
3,44.955639,-93.10582,263
3,44.95596,-93.106029,59
3,44.957691,-93.106017,82
3,44.957812,-93.10587,69
3,44.958863,-93.105868,20
3,44.958951,-93.106089,11
3,44.959091,-93.106016,5
3,44.959214,-93.106395,48
3,44.960378,-93.108715,3
3,44.960452,-93.108607,6
3,44.960507,-93.106018,6
3,44.960693,-93.105868,26
3,44.961474,-93.110383,5
3,44.961504,-93.110677,7
3,44.962386,-93.112294,17
3,44.962402,-93.112062,10
3,44.964336,-93.115877,4
3,44.964486,-93.115908,7
3,44.964727,-93.10586,8
3,44.96491,-93.105999,15
3,44.966423,-93.116055,3
3,44.966524,-93.105867,8
3,44.966705,-93.106014,16
3,44.966711,-93.116202,10
3,44.967901,-93.10602,111
3,44.968266,-93.105878,31
3,44.968292,-93.116051,11
3,44.968478,-93.116198,19
3,44.969605,-93.106039,49
3,44.970059,-93.116051,30
3,44.970122,-93.129119,24
3,44.970127,-93.131547,44
3,44.970127,-93.124044,5
3,44.97013,-93.133522,9
3,44.97013,-93.121373,15
3,44.970135,-93.119012,15
3,44.970136,-93.13557,1
3,44.970141,-93.126518,77
3,44.970142,-93.137658,5
3,44.970144,-93.116287,51
3,44.970145,-93.139637,8
3,44.970151,-93.105893,41
3,44.970156,-93.144182,15
3,44.970162,-93.145651,22
3,44.970165,-93.141407,9
3,44.970226,-93.12871,30
3,44.970229,-93.123623,2
3,44.970232,-93.131284,35
3,44.970235,-93.13329,10
3,44.970235,-93.121045,9
3,44.97024,-93.118645,12
3,44.970241,-93.135304,7
3,44.970243,-93.12602,60
3,44.970246,-93.13743,5
3,44.97025,-93.139363,8
3,44.970255,-93.141342,14
3,44.97026,-93.143928,14
3,44.970323,-93.146807,0
3,44.970408,-93.146359,32
3,44.970654,-93.149096,15
3,44.970672,-93.152726,12
3,44.970674,-93.154937,32
3,44.970768,-93.158145,8
3,44.970785,-93.165791,2
3,44.970863,-93.149182,62
3,44.970877,-93.1551,101
3,44.970878,-93.152471,24
3,44.970879,-93.157655,12
3,44.970953,-93.167272,5
3,44.971144,-93.164292,3
3,44.971232,-93.106034,5
3,44.971619,-93.164298,5
3,44.971727,-93.245938,222
3,44.971937,-93.105881,17
3,44.971954,-93.161968,16
3,44.972118,-93.106028,34
3,44.972163,-93.161806,31
3,44.972228,-93.247607,101
3,44.972302,-93.243772,610
3,44.972594,-93.243422,304
3,44.973713,-93.105869,15
3,44.974522,-93.106013,13
3,44.974831,-93.180906,9
3,44.974831,-93.137653,1
3,44.974837,-93.139621,2
3,44.974843,-93.141279,5
3,44.974848,-93.135419,30
3,44.974935,-93.137681,3
3,44.974942,-93.139366,2
3,44.974947,-93.141384,16
3,44.974949,-93.13547,43
3,44.975251,-93.259228,603
3,44.975306,-93.259108,56
3,44.975499,-93.10586,20
3,44.975737,-93.106008,44
3,44.97608,-93.141808,11
3,44.976093,-93.142601,4
3,44.976113,-93.182394,26
3,44.976181,-93.184103,23
3,44.976182,-93.261436,44
3,44.976214,-93.182414,9
3,44.97624,-93.183821,58
3,44.97633,-93.261502,46
3,44.976401,-93.270881,0
3,44.976595,-93.135729,0
3,44.976868,-93.186919,41
3,44.977019,-93.178779,8
3,44.97703,-93.187129,83
3,44.977044,-93.167742,123
3,44.977075,-93.144594,9
3,44.977117,-93.178806,9
3,44.977165,-93.144861,11
3,44.977195,-93.272875,0
3,44.97724,-93.166343,0
3,44.977244,-93.16748,132
3,44.977258,-93.172722,50
3,44.977268,-93.16971,7
3,44.977276,-93.264027,85
3,44.977279,-93.208352,0
3,44.977281,-93.164557,15
3,44.977298,-93.135402,5
3,44.977301,-93.162099,30
3,44.977311,-93.126495,34
3,44.977312,-93.125212,6
3,44.977316,-93.121377,18
3,44.977319,-93.118984,55
3,44.977322,-93.129004,3
3,44.977324,-93.116259,12
3,44.977324,-93.113758,21
3,44.977329,-93.108601,9
3,44.97733,-93.159474,1
3,44.977332,-93.206122,0
3,44.977332,-93.106049,43
3,44.977338,-93.131231,44
3,44.977346,-93.111245,24
3,44.97735,-93.208124,0
3,44.977353,-93.156934,40
3,44.977366,-93.270058,0
3,44.977366,-93.172042,82
3,44.977373,-93.169448,17
3,44.977386,-93.164302,7
3,44.977406,-93.162138,31
3,44.977407,-93.146787,3
3,44.977415,-93.12624,27
3,44.977416,-93.166684,363
3,44.977417,-93.124957,2
3,44.977421,-93.121122,21
3,44.977423,-93.128749,4
3,44.977423,-93.11859,21
3,44.977429,-93.115992,12
3,44.977432,-93.11336,14
3,44.977434,-93.159327,5
3,44.977434,-93.108299,14
3,44.977436,-93.106212,98
3,44.977437,-93.131575,25
3,44.977448,-93.110855,20
3,44.977449,-93.134826,8
3,44.977457,-93.264186,18
3,44.977458,-93.206014,0
3,44.97746,-93.156679,67
3,44.977468,-93.148913,6
3,44.977495,-93.146431,8
3,44.977532,-93.188877,273
3,44.977541,-93.267886,NA
3,44.97756,-93.204433,0
3,44.977572,-93.148971,4
3,44.977664,-93.2045,0
3,44.97767,-93.153529,19
3,44.977726,-93.209753,5
3,44.977729,-93.209456,5
3,44.977733,-93.271308,0
3,44.977774,-93.153568,33
3,44.97781,-93.189659,97
3,44.978123,-93.23554,2252
3,44.978277,-93.266413,221
3,44.978336,-93.26927,0
3,44.97835,-93.275274,1
3,44.978468,-93.235893,722
3,44.978614,-93.266932,10
3,44.978724,-93.19139,6
3,44.979017,-93.270522,2
3,44.979091,-93.191805,26
3,44.979209,-93.2683,5
3,44.979681,-93.213135,1
3,44.97975,-93.213024,4
3,44.979798,-93.269671,18
3,44.979803,-93.269984,1110
3,44.979909,-93.193486,11
3,44.980103,-93.193413,15
3,44.980159,-93.23411,650
3,44.980219,-93.234269,130
3,44.980442,-93.27119,8
3,44.980493,-93.271522,367
3,44.981014,-93.275356,14
3,44.981121,-93.275221,343
3,44.981315,-93.194349,47
3,44.981533,-93.194813,48
3,44.981627,-93.214589,11
3,44.981654,-93.214782,0
3,44.981747,-93.232852,35
3,44.982,-93.232822,38
3,44.982374,-93.195628,105
3,44.982448,-93.195903,56
3,44.982556,-93.269398,2
3,44.983007,-93.274642,28
3,44.983487,-93.216196,3
3,44.983533,-93.216409,0
3,44.983748,-93.231267,51
3,44.983957,-93.231276,122
3,44.984125,-93.22535,0
3,44.984173,-93.221607,0
3,44.98421,-93.225427,2
3,44.984217,-93.218805,0
3,44.984262,-93.221457,1
3,44.984325,-93.218426,0
3,44.984365,-93.272747,2
3,44.984417,-93.228672,0
3,44.984478,-93.197862,7
3,44.984538,-93.197739,30
3,44.985248,-93.230303,32
3,44.985391,-93.230246,0
3,44.985429,-93.230447,240
3,44.986876,-93.202386,2
3,44.987087,-93.202608,84
3,44.987224,-93.202627,401
3,44.987487,-93.204326,0
3,44.987734,-93.230444,814
3,44.987742,-93.230305,74
3,44.987753,-93.202919,1
3,44.987774,-93.227061,34
3,44.987787,-93.225747,40
3,44.987842,-93.22168,65
3,44.987855,-93.21912,26
3,44.987878,-93.226807,320
3,44.987887,-93.216669,26
3,44.987898,-93.225407,184
3,44.987903,-93.215304,36
3,44.987946,-93.221746,564
3,44.987955,-93.212358,36
3,44.987962,-93.218823,261
3,44.987995,-93.216259,169
3,44.988014,-93.215049,390
