CapShape,CapSurface,CapColor,Bruised,Odor,GillSpace,GillSize,GillColor,StalkShape,StalkAboveRing,StalkBelowRing,Status,ColorAboveRing,ColorBelowRing,RingNumber,RingType,SporeColor,Population,Habitat
x,s,n,t,p,c,n,k,e,s,s,p,w,w,o,p,k,s,u
x,s,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,n,g
b,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,n,m
x,y,w,t,p,c,n,n,e,s,s,p,w,w,o,p,k,s,u
x,s,g,f,n,w,b,k,t,s,s,e,w,w,o,e,n,a,g
x,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,n,g
b,s,w,t,a,c,b,g,e,s,s,e,w,w,o,p,k,n,m
b,y,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,m
x,y,w,t,p,c,n,p,e,s,s,p,w,w,o,p,k,v,g
b,s,y,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,m
x,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,s,m
b,s,y,t,a,c,b,w,e,s,s,e,w,w,o,p,n,s,g
x,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,n,v,u
x,f,n,f,n,w,b,n,t,s,f,e,w,w,o,e,k,a,g
f,f,w,f,n,w,b,k,t,s,s,e,w,w,o,e,n,a,g
x,s,n,t,p,c,n,n,e,s,s,p,w,w,o,p,k,s,g
x,y,w,t,p,c,n,n,e,s,s,p,w,w,o,p,n,s,u
x,s,n,t,p,c,n,k,e,s,s,p,w,w,o,p,n,s,u
b,s,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,m
x,y,n,t,p,c,n,n,e,s,s,p,w,w,o,p,n,v,g
b,y,y,t,l,c,b,k,e,s,s,e,w,w,o,p,n,s,m
b,y,w,t,a,c,b,w,e,s,s,e,w,w,o,p,n,n,m
b,s,w,t,l,c,b,g,e,s,s,e,w,w,o,p,k,s,m
f,s,w,t,p,c,n,n,e,s,s,p,w,w,o,p,n,v,g
x,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,m
x,y,w,t,l,c,b,w,e,s,s,e,w,w,o,p,n,n,m
f,f,n,f,n,c,n,k,e,s,s,e,w,w,o,p,k,y,u
x,s,y,t,a,w,n,n,t,s,s,e,w,w,o,p,n,v,d
b,s,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,m
x,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,n,s,u
x,y,y,t,l,c,b,n,e,s,s,e,w,w,o,p,n,n,m
x,y,n,t,l,c,b,p,e,s,y,e,w,w,o,p,n,y,p
b,y,y,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,m
x,f,y,t,l,w,n,w,t,s,s,e,w,w,o,p,n,v,d
x,y,n,t,p,c,n,w,e,s,s,p,w,w,o,p,n,s,u
x,f,y,t,a,w,n,p,t,s,s,e,w,w,o,p,n,v,d
b,s,y,t,l,c,b,k,e,s,s,e,w,w,o,p,k,s,m
b,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,n,s,g
x,y,y,t,l,c,b,n,e,s,y,e,w,w,o,p,k,y,p
x,f,n,f,n,c,n,g,e,s,s,e,w,w,o,p,k,y,u
x,y,w,t,p,c,n,p,e,s,s,p,w,w,o,p,n,v,g
x,s,y,t,a,c,b,w,e,s,s,e,w,w,o,p,k,n,m
x,y,w,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,g
x,y,y,t,l,c,b,k,e,s,s,e,w,w,o,p,k,s,m
x,s,w,t,l,c,b,w,e,s,s,e,w,w,o,p,n,n,m
x,y,y,t,l,c,b,n,e,s,y,e,w,w,o,p,n,s,p
f,y,y,t,l,c,b,w,e,s,y,e,w,w,o,p,k,s,p
x,y,n,t,a,c,b,w,e,s,y,e,w,w,o,p,k,s,g
x,s,w,t,l,c,b,k,e,s,s,e,w,w,o,p,k,s,g
b,s,w,t,l,c,b,k,e,s,s,e,w,w,o,p,n,n,m
x,y,n,t,p,c,n,k,e,s,s,p,w,w,o,p,n,v,u
x,s,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,u
b,y,y,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,m
f,f,g,f,n,w,b,n,t,s,s,e,w,w,o,e,n,a,g
b,s,w,t,a,c,b,w,e,s,s,e,w,w,o,p,n,n,g
x,s,y,t,l,c,b,k,e,s,s,e,w,w,o,p,k,n,g
x,y,n,t,a,c,b,p,e,s,y,e,w,w,o,p,k,y,p
b,y,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,m
b,s,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,s,m
b,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,m
b,y,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,g
f,s,n,f,n,w,b,k,t,s,s,e,w,w,o,e,k,a,g
x,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,s,g
f,y,y,t,a,c,b,w,e,s,y,e,w,w,o,p,n,s,g
x,y,y,t,a,c,b,w,e,s,s,e,w,w,o,p,k,n,g
x,f,g,f,n,c,n,p,e,s,s,e,w,w,o,p,n,v,u
f,f,y,t,l,w,n,p,t,s,s,e,w,w,o,p,n,v,d
b,y,w,t,l,c,b,g,e,s,s,e,w,w,o,p,n,s,m
f,f,y,t,l,w,n,w,t,s,s,e,w,w,o,p,n,v,d
x,y,n,t,a,c,b,p,e,s,y,e,w,w,o,p,k,s,p
b,s,y,t,a,c,b,k,e,s,s,e,w,w,o,p,k,s,g
f,s,y,t,l,w,n,p,t,s,s,e,w,w,o,p,n,v,d
f,y,n,t,l,c,b,p,e,s,y,e,w,w,o,p,n,y,p
x,y,n,t,p,c,n,w,e,s,s,p,w,w,o,p,n,v,u
f,y,n,t,a,c,b,n,e,s,y,e,w,w,o,p,n,y,g
x,s,n,f,n,w,b,k,t,f,s,e,w,w,o,e,n,s,g
x,y,w,t,p,c,n,w,e,s,s,p,w,w,o,p,k,s,g
f,f,g,f,n,c,n,n,e,s,s,e,w,w,o,p,n,y,u
x,f,g,f,n,w,b,n,t,s,s,e,w,w,o,e,n,s,g
x,y,y,t,l,c,b,w,e,s,y,e,w,w,o,p,k,s,g
x,s,n,f,n,w,b,k,t,s,s,e,w,w,o,e,k,s,g
b,s,w,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,g
x,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,g
f,y,n,t,l,c,b,w,e,s,y,e,w,w,o,p,k,y,g
x,f,n,f,n,c,n,n,e,s,s,e,w,w,o,p,n,y,u
b,s,w,t,l,c,b,k,e,s,s,e,w,w,o,p,k,s,g
x,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,g
x,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,k,n,m
x,s,n,f,n,w,b,n,t,s,s,e,w,w,o,e,n,a,g
x,s,w,t,a,c,b,g,e,s,s,e,w,w,o,p,n,s,g
f,y,n,t,l,c,b,p,e,s,y,e,w,w,o,p,n,s,g
x,s,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,n,g
b,s,w,t,a,c,b,g,e,s,s,e,w,w,o,p,n,s,g
x,y,w,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,g
x,f,n,f,n,w,b,p,t,f,s,e,w,w,o,e,k,s,g
b,s,y,t,l,c,b,n,e,s,s,e,w,w,o,p,k,n,g
f,y,y,t,l,c,b,w,e,s,y,e,w,w,o,p,n,s,g
x,y,y,t,a,c,b,n,e,s,y,e,w,w,o,p,k,y,p
b,y,w,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,n,m
x,y,y,t,a,c,b,w,e,s,y,e,w,w,o,p,n,y,g
b,y,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,s,m
b,y,w,t,a,c,b,g,e,s,s,e,w,w,o,p,n,s,m
x,s,y,t,a,c,b,k,e,s,s,e,w,w,o,p,k,n,m
x,s,y,t,l,c,b,w,e,s,s,e,w,w,o,p,k,n,g
x,s,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,n,m
x,y,w,t,p,c,n,n,e,s,s,p,w,w,o,p,n,v,u
x,y,y,t,l,c,b,p,e,s,y,e,w,w,o,p,n,s,g
x,y,y,t,l,c,b,w,e,s,y,e,w,w,o,p,k,y,g
x,s,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,g
x,y,w,t,a,c,b,g,e,s,s,e,w,w,o,p,n,n,m
f,y,n,t,p,c,n,p,e,s,s,p,w,w,o,p,k,v,g
f,s,g,f,n,w,b,k,t,s,s,e,w,w,o,e,n,a,g
x,s,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,s,m
x,s,w,f,n,w,b,n,t,s,f,e,w,w,o,e,k,s,g
b,s,y,t,a,c,b,w,e,s,s,e,w,w,o,p,n,n,g
f,f,g,f,n,w,b,h,t,s,s,e,w,w,o,e,n,a,g
x,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,n,g
b,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,m
b,s,w,t,l,c,b,w,e,s,s,e,w,w,o,p,n,s,g
b,y,w,t,l,c,b,w,e,s,s,e,w,w,o,p,n,s,m
x,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,k,s,m
f,s,w,t,a,w,n,p,t,s,s,e,w,w,o,p,n,v,d
x,y,w,t,p,c,n,w,e,s,s,p,w,w,o,p,n,v,u
f,f,w,t,l,w,n,w,t,s,s,e,w,w,o,p,n,v,d
x,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,n,s,g
x,s,n,t,p,c,n,p,e,s,s,p,w,w,o,p,n,v,g
b,s,y,t,l,c,b,w,e,s,s,e,w,w,o,p,n,n,g
x,y,n,t,a,c,b,w,e,s,y,e,w,w,o,p,k,y,p
b,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,k,n,m
f,y,n,t,a,c,b,w,e,s,y,e,w,w,o,p,k,y,p
x,y,y,t,a,c,b,k,e,s,s,e,w,w,o,p,k,n,g
