DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
Abilene-Sweetwater TX,TX,South,64.8,79.13,yes,NFL,45,Texas
Albany GA,GA,South,63.5,59.12,yes,NFL,32,Georgia
Albany-Schenectady-Troy NY,NY,Northeast,45.4,44.11,yes,NFL,40,New York
Albuquerque-Santa Fe NM,NM,West,53.4,39.58,no,NFL,53,New Mexico
Alexandria LA,LA,South,66.4,69.64,yes,NFL,42,Louisiana
Alpena MI,MI,North Central,44.4,63.61,yes,NFL,28,Michigan
Amarillo TX,TX,South,64.8,77.54,yes,NFL,47,Texas
Atlanta GA,GA,South,63.5,47.58,yes,NFL,36,Georgia
Augusta GA,GA,South,63.5,52.77,yes,NFL,39,Georgia
Austin TX,TX,South,64.8,40.01,yes,NFL,40,Texas
Bakersfield CA,CA,West,59.4,53.54,yes,NFL,48,California
Baltimore MD,MD,South,54.2,39.28,yes,NFL,45,Maryland
Bangor ME,ME,Northeast,41,50.99,no,NFL,39,Maine
Baton Rouge LA,LA,South,66.4,54.96,yes,NFL,40,Louisiana
Beaumont-Port Arthur TX,TX,South,64.8,64.65,yes,NFL,45,Texas
Bend OR,OR,West,48.4,46.36,no,NFL,39,Oregon
"Billings, MT",MT,West,42.7,63.77,no,NFL,50,Montana
Biloxi-Gulfport MS,MS,South,63.4,67.78,no,NFL,43,Mississippi
Binghamton NY,NY,Northeast,45.4,53.49,yes,NFL,41,New York
Birmingham AL,AL,South,62.8,62.35,no,NFL,26,Alabama
Bluefield-Beckley-Oak Hill WV,WV,South,51.8,74.16,no,NFL,34,West Virginia
Boise ID,ID,West,44.4,55.59,no,NFL,43,Idaho
Boston MA-Manchester NH,NH,Northeast,43.8,35.4,no,NFL,37,New Hampshire
Bowling Green KY,KY,South,55.6,66.41,no,NFL,36,Kentucky
Buffalo NY,NY,Northeast,45.4,51.79,yes,NFL,41,New York
Burlington VT-Plattsburgh NY,NY,Northeast,45.4,34.79,yes,NFL,36,New York
Butte-Bozeman MT,MT,West,42.7,48.18,no,NFL,48,Montana
Casper-Riverton WY,WY,West,42,71.09,no,NFL,53,Wyoming
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,North Central,47.8,45.3,no,NFL,39,Iowa
Champaign & Springfield-Decatur IL,IL,North Central,51.8,55.92,yes,NFL,30,Illinois
Charleston SC,SC,South,62.4,48.74,no,NFL,40,South Carolina
Charleston-Huntington WV,WV,South,51.8,69.61,no,NFL,33,West Virginia
Charlotte NC,NC,South,59,53.45,yes,NFL,41,North Carolina
Charlottesville VA,VA,South,55.1,39.58,no,NFL,37,Virginia
Chattanooga TN,TN,South,57.6,68.63,yes,NFL,31,Tennessee
Cheyenne WY-Scottsbluff NE,NE,North Central,48.8,64.88,no,NFL,51,Nebraska
Chicago IL,IL,North Central,51.8,31.09,yes,NFL,33,Illinois
Chico-Redding CA,CA,West,59.4,56.06,yes,NFL,44,California
Cincinnati OH,OH,North Central,50.7,57.57,yes,NFL,38,Ohio
Clarksburg-Weston WV,WV,South,51.8,69.75,no,NFL,35,West Virginia
Cleveland-Akron (Canton) OH,OH,North Central,50.7,46.14,yes,NFL,34,Ohio
Colorado Springs-Pueblo CO,CO,West,45.1,55.71,yes,NFL,52,Colorado
Columbia SC,SC,South,62.4,61.12,no,NFL,36,South Carolina
Columbia-Jefferson City MO,MO,North Central,54.5,45.53,yes,NFL,33,Missouri
Columbus GA,GA,South,63.5,50.82,yes,NFL,30,Georgia
Columbus OH,OH,North Central,50.7,47.9,yes,NFL,33,Ohio
Columbus-Tupelo-West Point MS,MS,South,63.4,63.82,no,NFL,39,Mississippi
Corpus Christi TX,TX,South,64.8,51.18,yes,NFL,47,Texas
Dallas-Ft. Worth TX,TX,South,64.8,53.5,yes,NFL,40,Texas
Davenport IA-Rock Island-Moline IL,IL,North Central,51.8,49.45,yes,NFL,38,Illinois
Dayton OH,OH,North Central,50.7,58.66,yes,NFL,40,Ohio
Denver CO,CO,West,45.1,40.73,yes,NFL,49,Colorado
Des Moines-Ames IA,IA,North Central,47.8,49.64,no,NFL,39,Iowa
Detroit MI,MI,North Central,44.4,41.93,yes,NFL,30,Michigan
Dothan AL,AL,South,62.8,73.61,no,NFL,29,Alabama
Duluth MN-Superior WI,WI,North Central,43.1,44.08,yes,NFL,43,Wisconsin
El Paso TX,TX,South,64.8,28.53,yes,NFL,54,Texas
Elmira NY,NY,Northeast,45.4,62.86,yes,NFL,44,New York
Erie PA,PA,Northeast,48.8,53.78,yes,NFL,44,Pennsylvania
Eugene OR,OR,West,48.4,40.87,no,NFL,34,Oregon
Eureka CA,CA,West,59.4,34.44,yes,NFL,37,California
Evansville IN,IN,North Central,51.7,65.84,yes,NFL,30,Indiana
Fargo-Valley City ND,ND,North Central,40.4,56.78,no,NFL,44,North Dakota
Flint-Saginaw-Bay City MI,MI,North Central,44.4,51,yes,NFL,31,Michigan
Florence-Myrtle Beach SC,SC,South,62.4,56.54,no,NFL,37,South Carolina
Fresno-Visalia CA,CA,West,59.4,46.28,yes,NFL,46,California
Ft. Myers-Naples FL,FL,South,70.7,59.62,yes,NFL,38,Florida
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,South,60.4,63.21,no,NFL,35,Arkansas
Ft. Wayne IN,IN,North Central,51.7,64.98,yes,NFL,39,Indiana
Gainesville FL,FL,South,70.7,44.27,yes,NFL,32,Florida
Glendive MT,MT,West,42.7,77.21,no,NFL,56,Montana
Grand Junction-Montrose CO,CO,West,45.1,64.91,yes,NFL,54,Colorado
Grand Rapids-Kalamazoo-Battle Creek MI,MI,North Central,44.4,52.87,yes,NFL,30,Michigan
Great Falls MT,MT,West,42.7,59.38,no,NFL,50,Montana
Green Bay-Appleton WI,WI,North Central,43.1,55.8,yes,NFL,51,Wisconsin
Greensboro-High Point-Winston Salem NC,NC,South,59,54.19,yes,NFL,38,North Carolina
Greenville-New Bern-Washington NC,NC,South,59,55.91,yes,NFL,40,North Carolina
Greenville-Spartanburg SC-Asheville NC-Anderson SC,SC,South,62.4,61.19,no,NFL,34,South Carolina
Greenwood-Greenville MS,MS,South,63.4,38.45,no,NFL,33,Mississippi
Harlingen-Weslaco-Brownsville-McAllen TX,TX,South,64.8,29,yes,NFL,50,Texas
Harrisburg-Lancaster-Lebanon-York PA,PA,Northeast,48.8,59.18,yes,NFL,43,Pennsylvania
Harrisonburg VA,VA,South,55.1,61.24,no,NFL,42,Virginia
Hartford & New Haven CT,CT,Northeast,59,41.93,no,NFL,38,Connecticut
Hattiesburg-Laurel MS,MS,South,63.4,65.41,no,NFL,40,Mississippi
Helena MT,MT,West,42.7,51.48,no,NFL,52,Montana
Honolulu HI,HI,West,70,30.04,no,NFL,43,Hawaii
