painter,composition,drawing,color,expression
Da Udine,10,8,16,3
Da Vinci,15,16,4,14
Del Piombo,8,13,16,7
Del Sarto,12,16,9,8
Fr. Penni,0,15,8,0
Guilio Romano,15,16,4,14
Michelangelo,8,17,4,8
Perino del Vaga,15,16,7,6
Perugino,4,12,10,4
Raphael,17,18,12,18
F. Zucarro,10,13,8,8
Fr. Salviata,13,15,8,8
Parmigiano,10,15,6,6
Primaticcio,15,14,7,10
T. Zucarro,13,14,10,9
Volterra,12,15,5,8
Barocci,14,15,6,10
Cortona,16,14,12,6
Josepin,10,10,6,2
L. Jordaens,13,12,9,6
Testa,11,15,0,6
Vanius,15,15,12,13
Bassano,6,8,17,0
Bellini,4,6,14,0
Giorgione,8,9,18,4
Murillo,6,8,15,4
Palma Giovane,12,9,14,6
Palma Vecchio,5,6,16,0
Pordenone,8,14,17,5
Tintoretto,15,14,16,4
Titian,12,15,18,6
Veronese,15,10,16,3
Albani,14,14,10,6
Caravaggio,6,6,16,0
Corregio,13,13,15,12
Domenichino,15,17,9,17
Guercino,18,10,10,4
Lanfranco,14,13,10,5
The Carraci,15,17,13,13
Durer,8,10,10,8
Holbein,9,10,16,13
Pourbus,4,15,6,6
Van Leyden,8,6,6,4
Diepenbeck,11,10,14,6
J. Jordaens,10,8,16,6
Otho Venius,13,14,10,10
Rembrandt,15,6,17,12
Rubens,18,13,17,17
Teniers,15,12,13,6
Van Dyck,15,10,17,13
Bourdon,10,8,8,4
Le Brun,16,16,8,16
Le Suer,15,15,4,15
Poussin,15,17,6,15
