Income,Gender,Age,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be wise and unhappy, or unwise and happy?"
8000,Female,64,Democrat,Strongly disapprove,College degree,Divorced,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Disagree,20,Yes,Too Low,FALSE,Wise and Unhappy
68000,Female,56,Democrat,Strongly disapprove,High school,Single,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Disagree,6,No,Too High,FALSE,Wise and Unhappy
46000,Male,63,Independent,Somewhat Approve,Some college,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,0,No,About Right,TRUE,Unwise and happy
51000,Male,48,Republican,Strongly Approve,High school,Divorced,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Disagree,1,No,About Right,FALSE,Unwise and happy
100000,Female,32,Democrat,Somewhat Approve,Some college,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,30,Yes,Too Low,FALSE,Wise and Unhappy
54000,Female,64,Democrat,Strongly disapprove,Some college,Married,DK/REF,Real and Caused by People,0,Strongly Agree,Strongly Agree,15,No,Too Low,TRUE,Wise and Unhappy
83000,Male,61,Independent,Somewhat Approve,College degree,Divorced,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,0,Yes,About Right,TRUE,Unwise and happy
114000,Female,64,Republican,Somewhat disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,40,No,DK/REF,TRUE,Wise and Unhappy
90000,Female,64,Republican,Somewhat Approve,High school,Married,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,No,About Right,TRUE,Unwise and happy
5000,Female,68,Democrat,Somewhat disapprove,Some college,Widowed,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,1,No,Too Low,TRUE,Wise and Unhappy
57000,Female,63,Democrat,Strongly disapprove,College degree,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,FALSE,Wise and Unhappy
47000,Female,44,Independent,Neither approve nor disapprove,High school,Married,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Agree,2,Yes,Too High,DK/REF,Unwise and happy
39000,Female,57,Democrat,Somewhat Approve,College degree,Married,DK/REF,Real and Caused by People,0,Strongly Disagree,Somewhat Agree,12,Yes,Too High,TRUE,Unwise and happy
5000,Female,62,Democrat,Strongly disapprove,College degree,Single,Likely,DK/REF,0,Strongly Agree,Strongly Agree,6,No,Too Low,DK/REF,Wise and Unhappy
