"income","gender","age","party","trump_approval","education","robots","climate_change","transformers","science_is_honest","vaccines_are_safe","books","ghosts","fed_sci_budget","earth_sun","wise_unwise"
8,"Female",64,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Somewhat Disagree",20,"Yes","Too Low","FALSE","Wise and Unhappy"
68,"Female",56,"Democrat","Strongly disapprove","High school","Unlikely","Real and Caused by People",0,"Somewhat Agree","Somewhat Disagree",6,"No","Too High","FALSE","Wise and Unhappy"
46,"Male",63,"Independent","Somewhat Approve","Some college","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Strongly Agree",0,"No","About Right","TRUE","Unwise and happy"
51,"Male",48,"Republican","Strongly Approve","High school","Unlikely","Not Real At All",0,"Somewhat Disagree","Somewhat Disagree",1,"No","About Right","FALSE","Unwise and happy"
100,"Female",32,"Democrat","Somewhat Approve","Some college","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",30,"Yes","Too Low","FALSE","Wise and Unhappy"
54,"Female",64,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",15,"No","Too Low","TRUE","Wise and Unhappy"
83,"Male",61,"Independent","Somewhat Approve","College degree","Unlikely","Real but not Caused by People",0,"Strongly Agree","Strongly Agree",0,"Yes","About Right","TRUE","Unwise and happy"
114,"Female",64,"Republican","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",40,"No","About Right","TRUE","Wise and Unhappy"
90,"Female",64,"Republican","Somewhat Approve","High school","Likely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",0,"No","About Right","TRUE","Unwise and happy"
5,"Female",68,"Democrat","Somewhat disapprove","Some college","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",1,"No","Too Low","TRUE","Wise and Unhappy"
57,"Female",63,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",0,"No","Too Low","FALSE","Wise and Unhappy"
47,"Female",44,"Independent","Neither approve nor disapprove","High school","Unlikely","Real and Caused by People",1,"Strongly Disagree","Somewhat Agree",2,"Yes","Too High","TRUE","Unwise and happy"
39,"Female",57,"Democrat","Somewhat Approve","College degree","Unlikely","Real and Caused by People",0,"Strongly Disagree","Somewhat Agree",12,"Yes","Too High","TRUE","Unwise and happy"
