Color,Sound,Buttons,Level
Color,Standard,low,9
Color,Standard,high,6
Color,random,low,13
Color,random,high,5
Color,none,low,20
Color,none,high,6
Gray,Standard,low,6
Gray,Standard,high,8
Gray,random,low,12
Gray,random,high,3
Gray,none,low,6
Gray,none,high,7
Color,Standard,low,5
Color,Standard,high,4
Color,random,low,6
Color,random,high,5
Color,none,low,9
Color,none,high,6
Gray,Standard,low,1
Gray,Standard,high,1
Gray,random,low,1
Gray,random,high,3
Gray,none,low,5
Gray,none,high,9
Color,Standard,low,2
Color,Standard,high,5
Color,random,low,7
Color,random,high,4
Color,none,low,8
Color,none,high,6
Gray,Standard,low,4
Gray,Standard,high,4
Gray,random,low,6
Gray,random,high,10
Gray,none,low,16
Gray,none,high,9
Color,Standard,low,9
Color,Standard,high,5
Color,random,low,19
Color,random,high,8
Color,none,low,6
Color,none,high,8
Gray,Standard,low,12
Gray,Standard,high,25
Gray,random,low,6
Gray,random,high,7
Gray,none,low,8
Gray,none,high,4
Color,Standard,low,6
Color,Standard,high,10
Color,random,low,12
Color,random,high,8
Color,none,low,11
Color,none,high,12
Gray,Standard,low,8
Gray,Standard,high,19
Gray,random,low,11
Gray,random,high,12
Gray,none,low,8
Gray,none,high,10
Color,Standard,low,5
Color,Standard,high,1
Color,random,low,9
Color,random,high,3
Color,none,low,9
Color,none,high,1
Gray,Standard,low,5
Gray,Standard,high,5
Gray,random,low,3
Gray,random,high,7
Gray,none,low,1
Gray,none,high,6
Color,Standard,low,7
Color,Standard,high,6
Color,random,low,7
Color,random,high,8
Color,none,low,6
Color,none,high,9
Gray,Standard,low,10
Gray,Standard,high,6
Gray,random,low,5
Gray,random,high,8
Gray,none,low,9
Gray,none,high,8
Color,Standard,low,16
Color,Standard,high,7
Color,random,low,6
Color,random,high,7
Color,none,low,11
Color,none,high,12
Gray,Standard,low,18
Gray,Standard,high,5
Gray,random,low,11
Gray,random,high,7
Gray,none,low,10
Gray,none,high,13
Color,Standard,low,7
Color,Standard,high,11
Color,random,low,8
Color,random,high,5
Color,none,low,11
Color,none,high,7
Gray,Standard,low,18
Gray,Standard,high,5
Gray,random,low,7
Gray,random,high,3
Gray,none,low,10
Gray,none,high,9
Color,Standard,low,6
Color,Standard,high,8
Color,random,low,9
Color,random,high,5
Color,none,low,9
Color,none,high,11
Gray,Standard,low,12
Gray,Standard,high,6
Gray,random,low,6
Gray,random,high,6
Gray,none,low,6
Gray,none,high,8
Color,Standard,low,7
Color,Standard,high,3
Color,random,low,7
Color,random,high,7
Color,none,low,9
Color,none,high,5
Gray,Standard,low,4
Gray,Standard,high,4
Gray,random,low,6
Gray,random,high,10
Gray,none,low,10
Gray,none,high,4
Color,Standard,low,12
Color,Standard,high,7
Color,random,low,5
Color,random,high,3
Color,none,low,6
Color,none,high,6
Gray,Standard,low,6
Gray,Standard,high,9
Gray,random,low,4
Gray,random,high,4
Gray,none,low,8
Gray,none,high,5
Color,Standard,low,7
Color,Standard,high,7
Color,random,low,8
Color,random,high,3
Color,none,low,6
Color,none,high,6
Gray,Standard,low,6
Gray,Standard,high,8
Gray,random,low,8
Gray,random,high,6
Gray,none,low,16
Gray,none,high,9
Color,Standard,low,9
Color,Standard,high,4
Color,random,low,6
Color,random,high,7
Color,none,low,5
Color,none,high,5
Gray,Standard,low,5
Gray,Standard,high,6
Gray,random,low,5
Gray,random,high,9
Gray,none,low,7
Gray,none,high,8
Color,Standard,low,4
Color,Standard,high,4
Color,random,low,5
Color,random,high,7
Color,none,low,7
Color,none,high,5
Gray,Standard,low,5
Gray,Standard,high,9
Gray,random,low,6
Gray,random,high,6
Gray,none,low,5
Gray,none,high,3
Color,Standard,low,11
Color,Standard,high,1
Color,random,low,3
Color,random,high,5
Color,none,low,3
Color,none,high,8
Gray,Standard,low,3
Gray,Standard,high,4
Gray,random,low,5
Gray,random,high,7
Gray,none,low,6
Gray,none,high,6
Color,Standard,low,5
Color,Standard,high,4
Color,random,low,7
Color,random,high,7
Color,none,low,4
Color,none,high,5
Gray,Standard,low,12
Gray,Standard,high,8
Gray,random,low,5
Gray,random,high,7
Gray,none,low,6
Gray,none,high,6
Color,Standard,low,6
Color,Standard,high,4
Color,random,low,9
Color,random,high,5
Color,none,low,5
Color,none,high,5
Gray,Standard,low,7
Gray,Standard,high,6
Gray,random,low,4
Gray,random,high,4
Gray,none,low,4
Gray,none,high,6
Color,Standard,low,8
Color,Standard,high,9
Color,random,low,7
Color,random,high,8
Color,none,low,8
Color,none,high,7
Gray,Standard,low,10
Gray,Standard,high,8
Gray,random,low,8
Gray,random,high,7
Gray,none,low,8
Gray,none,high,7
Color,Standard,low,7
Color,Standard,high,6
Color,random,low,7
Color,random,high,8
Color,none,low,6
Color,none,high,9
Gray,Standard,low,10
Gray,Standard,high,6
Gray,random,low,5
Gray,random,high,8
Gray,none,low,9
Gray,none,high,8
Color,Standard,low,9
Color,Standard,high,6
Color,random,low,13
Color,random,high,5
Color,none,low,20
Color,none,high,6
Gray,Standard,low,6
Gray,Standard,high,8
Gray,random,low,12
