"time","ticket","race","sex","speed","limit","state","modelyear","percentover"
50,1,"B","M",80,65,"MD",96,23.08
1013,1,"W","F",56,45,"MD",97,24.44
1143,1,"W","F",61,45,"MD",91,35.56
1150,1,"W","F",60,45,"MD",95,33.33
1609,1,"W","M",71,55,"MD",96,29.09
230,1,"W","M",77,65,"MD",84,18.46
1302,1,"W","M",84,65,"MD",97,29.23
1015,1,"B","M",80,65,"MD",97,23.08
1655,1,"W","M",70,65,"MD",97,7.69
1455,1,"W","M",78,65,"NY",97,20
1225,1,"B","M",79,65,"PA",84,21.54
1330,1,"W","M",79,65,"VA",97,21.54
1400,1,"W","F",81,65,"FL",88,24.62
1625,1,"B","M",80,65,"VA",94,23.08
1652,1,"W","M",79,65,"PA",95,21.54
1927,1,"W","F",80,65,"NY",94,23.08
1435,1,"W","M",100,50,"MD",89,100
202,1,"B","M",77,65,"NJ",95,18.46
217,1,"B","M",76,65,"VA",88,16.92
2335,1,"W","M",77,65,"MD",96,18.46
528,1,"W","M",78,65,"PA",96,20
1620,1,"W","M",77,55,"MD",91,40
2110,1,"W","M",74,55,"NY",97,34.55
2150,1,"W","M",81,65,"PA",97,24.62
2230,1,"W","M",74,55,"NJ",95,34.55
1650,1,"B","M",89,65,"DC",88,36.92
1710,1,"W","M",78,65,"NJ",93,20
1720,1,"W","F",78,65,"PA",96,20
33,1,"B","M",80,65,"MD",85,23.08
1020,1,"B","F",79,65,"MD",97,21.54
1035,1,"B","M",81,65,"MD",75,24.62
2345,1,"W","M",70,55,"MD",84,27.27
1435,1,"W","M",100,50,"MD",85,100
20,1,"W","M",83,65,"WI",96,27.69
54,1,"W","M",94,65,"NJ",88,44.62
120,1,"W","M",79,65,"NJ",97,21.54
130,1,"W","M",76,65,"MD",93,16.92
145,1,"B","M",81,65,"MD",87,24.62
205,1,"W","M",79,65,"NY",90,21.54
240,1,"W","M",77,65,"PA",84,18.46
255,1,"W","M",77,65,"TN",95,18.46
2325,1,"B","M",80,65,"SC",97,23.08
2340,1,"B","M",80,65,"DE",90,23.08
2350,1,"W","F",80,65,"MD",95,23.08
1630,1,"W","F",74,55,"PA",94,34.55
900,1,"W","F",83,65,"PA",96,27.69
845,1,"W","M",79,65,"PA",96,21.54
915,1,"W","F",79,65,"NY",96,21.54
1000,1,"W","M",81,65,"NJ",96,24.62
1030,1,"W","M",78,65,"NJ",92,20
940,1,"W","M",78,65,"MA",96,20
816,1,"W","F",78,65,"PA",94,20
307,1,"W","M",62,45,"MD",87,37.78
504,1,"W","M",65,45,"MD",89,44.44
515,1,"W","M",59,45,"MD",95,31.11
530,1,"W","M",61,45,"MD",87,35.56
540,1,"W","F",60,45,"MD",95,33.33
125,1,"W","M",79,65,"OR",97,21.54
2353,1,"W","M",80,65,"DE",88,23.08
1455,1,"W","M",78,65,"NY",97,20
1610,1,"B","F",80,65,"VA",87,23.08
1031,1,"W","M",80,65,"DE",96,23.08
745,1,"W","M",79,65,"MD",87,21.54
800,1,"W","F",79,65,"MD",93,21.54
825,1,"W","M",86,65,"MD",94,32.31
835,1,"B","M",84,65,"MD",94,29.23
845,1,"W","M",82,65,"NC",95,26.15
900,1,"B","M",81,65,"VA",97,24.62
1115,1,"W","M",78,65,"DE",94,20
1125,1,"W","F",78,65,"NJ",92,20
849,1,"W","M",77,65,"MD",88,18.46
853,1,"W","F",75,65,"MD",96,15.38
857,1,"W","M",77,65,"MD",97,18.46
906,1,"B","M",79,65,"VA",97,21.54
914,1,"W","M",77,65,"FL",95,18.46
923,1,"W","F",75,65,"NY",94,15.38
956,1,"W","M",79,65,"MD",97,21.54
2342,1,"W","M",76,65,"NY",97,16.92
1347,1,"W","F",77,65,"VA",96,18.46
1354,1,"B","F",78,65,"NJ",96,20
1400,1,"W","F",82,65,"MD",89,26.15
1403,1,"W","M",77,65,"FL",97,18.46
2328,1,"W","M",80,65,"NY",97,23.08
2335,1,"B","M",86,65,"PA",97,32.31
1520,1,"W","M",74,65,"MD",89,13.85
1205,1,"B","F",83,65,"MD",96,27.69
1910,1,"W","M",74,65,"PA",97,13.85
1920,1,"W","M",82,65,"NJ",82,26.15
1943,1,"W","M",74,65,"PA",97,13.85
1258,1,"W","M",80,65,"VA",97,23.08
1324,1,"B","M",84,65,"MD",96,29.23
1346,1,"W","F",89,65,"TN",97,36.92
1348,1,"W","M",89,65,"TN",96,36.92
1414,1,"B","M",85,65,"MD",87,30.77
1437,1,"W","M",77,65,"MD",95,18.46
1555,1,"W","F",77,55,"PA",96,40
1030,1,"W","M",79,65,"NY",91,21.54
1630,1,"W","M",80,65,"NY",93,23.08
1650,1,"W","M",79,65,"MD",96,21.54
1700,1,"W","M",82,65,"DC",96,26.15
1710,1,"W","M",79,65,"NJ",93,21.54
1725,1,"B","F",80,65,"MD",97,23.08
121,1,"B","M",79,65,"LA",85,21.54
2223,1,"B","F",80,65,"MD",97,23.08
2318,1,"W","M",48,30,"MD",87,60
257,1,"B","M",83,65,"NY",97,27.69
315,1,"B","M",78,65,"MD",93,20
2330,1,"W","M",77,65,"NY",94,18.46
205,1,"B","M",80,65,"NY",87,23.08
215,1,"B","M",98,65,"NY",93,50.77
225,1,"W","M",80,65,"FL",97,23.08
233,1,"W","M",85,65,"MD",92,30.77
245,1,"W","F",79,65,"MA",93,21.54
256,1,"B","M",86,65,"MD",92,32.31
305,1,"W","M",86,65,"NM",83,32.31
1210,1,"W","M",85,65,"NJ",91,30.77
202,1,"W","F",89,65,"MD",85,36.92
21,1,"B","M",74,65,"MD",95,13.85
1109,1,"W","F",77,55,"MD",92,40
902,1,"W","F",85,65,"NY",92,30.77
852,1,"W","M",80,55,"MD",97,45.45
840,1,"B","F",76,55,"PA",95,38.18
1100,1,"W","F",84,65,"MD",97,29.23
245,1,"B","M",74,55,"MD",97,34.55
40,1,"W","M",80,65,"MD",95,23.08
52,1,"B","M",82,65,"VA",94,26.15
105,1,"W","M",83,65,"MD",95,27.69
710,1,"W","M",79,65,"FL",92,21.54
718,1,"W","F",79,65,"NJ",93,21.54
730,1,"B","F",75,65,"MD",94,15.38
735,1,"B","M",77,65,"MD",89,18.46
740,1,"B","M",81,65,"VA",97,24.62
745,1,"B","M",85,65,"MD",94,30.77
750,1,"B","M",77,65,"PA",83,18.46
800,1,"B","F",97,65,"MD",94,49.23
811,1,"W","F",76,65,"MD",93,16.92
820,1,"W","M",81,65,"NJ",93,24.62
830,1,"W","M",86,65,"MA",95,32.31
840,1,"W","M",80,65,"NJ",97,23.08
845,1,"W","M",78,65,"DE",87,20
852,1,"W","F",78,65,"VA",93,20
900,1,"W","F",79,65,"NY",90,21.54
1137,1,"W","M",80,65,"NJ",97,23.08
1244,1,"W","F",77,65,"MD",89,18.46
1300,1,"B","M",85,65,"MD",97,30.77
1352,1,"W","M",77,65,"DE",94,18.46
1316,1,"B","M",83,65,"MD",90,27.69
1342,1,"W","M",80,65,"NJ",94,23.08
1811,1,"W","F",82,65,"PA",97,26.15
1822,1,"B","M",85,65,"NC",82,30.77
1839,1,"W","M",81,65,"DE",93,24.62
2102,1,"W","M",92,65,"NY",92,41.54
2114,1,"W","M",80,65,"DZ",96,23.08
2134,1,"W","F",80,65,"MD",89,23.08
2148,1,"W","F",82,65,"NJ",96,26.15
1130,1,"W","M",93,65,"NY",86,43.08
1245,1,"W","M",78,65,"NY",92,20
1300,1,"B","F",85,65,"NJ",88,30.77
1330,1,"B","F",83,65,"NY",96,27.69
1405,1,"B","M",79,65,"PA",91,21.54
1715,1,"W","M",84,65,"NJ",95,29.23
1720,1,"W","F",81,65,"MD",96,24.62
1735,1,"W","M",79,65,"VA",95,21.54
2010,1,"B","F",79,65,"NY",94,21.54
2310,1,"W","M",79,65,"MD",94,21.54
2345,1,"B","M",78,55,"NY",91,41.82
926,1,"B","M",85,65,"VA",97,30.77
930,1,"B","F",76,65,"NJ",94,16.92
934,1,"W","F",75,65,"RI",93,15.38
938,1,"W","F",77,65,"MD",95,18.46
945,1,"B","F",76,65,"MD",91,16.92
957,1,"W","M",83,65,"MD",96,27.69
1345,1,"W","F",79,65,"DE",96,21.54
1409,1,"W","M",78,65,"FL",95,20
250,1,"W","M",88,65,"NJ",87,35.38
1534,1,"W","M",75,55,"NJ",97,36.36
1642,1,"B","M",82,65,"DC",94,26.15
1655,1,"W","M",75,65,"MD",92,15.38
1710,1,"B","M",88,65,"VA",96,35.38
1840,1,"W","M",78,65,"MD",93,20
1446,1,"W","M",75,65,"NJ",93,15.38
1507,1,"W","M",82,65,"NY",87,26.15
1644,1,"W","M",80,65,"MD",82,23.08
1659,1,"W","M",84,65,"NJ",96,29.23
1917,1,"B","M",79,65,"MD",97,21.54
1935,1,"W","M",76,65,"PA",97,16.92
1955,1,"W","M",74,65,"PA",97,13.85
1203,1,"W","M",82,65,"NJ",92,26.15
1733,1,"W","M",75,65,"MD",87,15.38
1839,1,"W","M",83,65,"NY",92,27.69
1300,1,"B","F",84,65,"NJ",97,29.23
1105,1,"W","M",83,65,"NJ",95,27.69
