"artist_name","track_id","track_name","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","popularity","time_signature_4"
"!!!","1nsdYNiEXeFI1gV2k7GXaw","Pair Of Dice",0.000508,0.655,258564,0.769,0.853,0.111,-9.461,0,0.0542,123.814,0.217,26,TRUE
"¿Téo?","1H7idkNyn8cPtv33fX27ke","Palm Trees",0.23,0.716,226133,0.499,0.000478,0.105,-9.046,0,0.0317,108.011,0.0433,49,TRUE
".anxious.","6p25hflZ0fdrS85YAc3iNe","Humid Nights",0.65,0.663,143360,0.0383,0.853,0.176,-19.657,1,0.0551,82.073,0.58,25,TRUE
".anxious.","3gx9pQO5bMQdMhM8R9naw8","We Fell Into it Like a Daydream or a Fever",0.961,0.589,135000,0.0965,0.912,0.133,-15.74,1,0.0898,79.987,0.0371,28,TRUE
".anxious.","0DqAh9xAcKRmufrnXMkknI","Lost in a Sea of Pillows and Blankets",0.923,0.481,204706,0.193,0.904,0.0857,-16.983,0,0.0514,68.1,0.204,48,TRUE
"""Puppy Dog Pals"" Cast","672iV1NzNbC5d06UYnKuyR","Puppy Dog Pals Main Title Theme - From ""Puppy Dog Pals""",0.155,0.758,57790,0.933,0.000503,0.303,-5.663,1,0.174,182.192,0.921,29,TRUE
"(G)I-DLE","7iH3faubNoXfhxmQUzUGGq","달려! Relay",0.0897,0.821,223347,0.674,0,0.0704,-3.053,0,0.0483,122.04,0.527,59,TRUE
"$avage","1M5tYZcYT5uUiN5tBLfoRd","Skit (Fly Out)",0.594,0.623,49900,0.283,0,0.113,-13.052,1,0.46,71.91,0.53,10,TRUE
"$hirak","3KbEjgh1xjxhK4qSAAz5FZ","Beng (feat. SBMG)",0.245,0.944,193629,0.594,0.00467,0.0518,-7.147,0,0.141,129.966,0.854,53,TRUE
"$kinny Noodle","15qjCsLxgYKNd266m78YM7","Fortnite Fiji",0.0179,0.66,192392,0.45,0,0.172,-12.023,1,0.285,160.062,0.326,15,TRUE
"$toney","7AwhaI1yOiSyq3jSUH7xuy","Get It in (feat. $a)",0.429,0.688,171819,0.721,0,0.125,-6.209,1,0.0484,83.999,0.299,8,TRUE
"$tranger","2TdlSozNExQZgDkYPDLIEh","Headlines",0.614,0.718,135232,0.491,5.86e-06,0.0941,-9.431,0,0.0637,140.045,0.366,39,TRUE
"$uicideBoy$","6qqVvmMtIeEKR0ZWX5B6rW","I No Longer Fear The Razor Guarding My Heel (IV)",0.045,0.626,474157,0.603,0.000228,0.133,-9.047,0,0.207,113.078,0.138,61,TRUE
"$uicideBoy$","53AiGAa0Qi2VbX7eUpur1U","Nicotine Patches",0.0174,0.743,156034,0.569,0.000736,0.264,-9.703,0,0.131,145.905,0.384,68,TRUE
"03 Greedo","1JPB4S6f9xt9zrvzgp25gC","White Owl (feat. Ketchy The Great)",0.00336,0.65,171409,0.604,0,0.219,-8.6,1,0.147,110.184,0.597,22,FALSE
"03 Greedo","0UqShk7xMPzDWsJB9s0eFF","Never Bend (Remix) (feat. Lil Uzi Vert)",0.442,0.548,289358,0.585,0,0.136,-6.262,0,0.166,180.157,0.686,49,TRUE
