"","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","latin_genre"
"1","26T9IOS6Bi9iOUjKkcZsZo","Tiburon","Proyecto Uno",58,"4Wfbj8v9wtgnvTQs3nT49p","El Poder de la Música","1998-08-25","Paraiso Tropical","37i9dQZF1DWYey22ryYM8U","latin","tropical",0.868,0.852,0,-9.403,1,0.0474,0.198,5.3e-05,0.0502,0.907,130.155,302333,TRUE
"2","0nrWZWkJM62ftQJSI8fDc0","Diamond Heart","Alan Walker",69,"3nzuGtN3nXARvvecier4K0","Different World","2018-12-14","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","pop","dance pop",0.478,0.633,0,-6.19,1,0.0345,0.123,0,0.41,0.287,89.909,240333,FALSE
"3","5NHn7UwIgpLQls7LhwF955","House Of Cards (feat. Sidnie Tipton)","KSHMR",46,"4NcSr9WZLb3CTSt1iaX30g","House Of Cards (feat. Sidnie Tipton)","2018-02-16","Electropop - Pop","5TiiHps0hNCyQ6ijVkNZQs","pop","electropop",0.556,0.817,9,-4.442,0,0.0737,0.0195,2.45e-05,0.266,0.423,109.999,188652,FALSE
"4","6mnjcTmK8TewHfyOp3fC9C","Die Young","Kesha",15,"0gT5HL6RnvHBxJ2gY7lidR","Warrior (Deluxe Version)","2012-11-30","🤩🤪Post Teen Pop🤪🤩","6IT8LGpwLw3Pt2XnVUBN7j","pop","post-teen pop",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,FALSE
"5","0fDf7Fo4Lb6DA1mmKibSNc","Enough to Believe","Bob Moses",54,"42aWQU8pO4KLq2aNwidEZS","Battle Lines","2018-09-14","Indie/Jazz Poptimism","6OaTudLqBEuTyUMPxRNpZc","pop","indie poptimism",0.681,0.407,5,-12.366,0,0.0297,0.512,0.00753,0.111,0.294,109.979,279573,FALSE
"6","5CQ6McE86ztNSOhQwRwgSf","Can't Say No (feat. PJZ)","Alex Mattson",44,"1sddQ5bzBhPAISVWJoxa9t","Can't Say No (feat. PJZ)","2019-06-28","Pop / Dance","6mXh8CUBMBsBUu88a4eAQV","pop","dance pop",0.645,0.86,0,-5.694,1,0.055,0.0252,0,0.246,0.584,147.06,159039,FALSE
"7","60ujaCxju6Qndk01pIQ2Pk","Miraj - Original Mix","Sandro Silva",0,"2DI4n9885hCIl7DBkz6qRr","Miraj","2014-02-10","Fitness Workout Electro | House | Dance | Progressive House","6KnQDwp0syvhfHOR4lWP7x","edm","progressive electro house",0.545,0.928,4,-3.801,0,0.0475,0.00472,0.826,0.0891,0.408,130.01,310718,FALSE
"8","6X9QFpzlPKjMoniGkr8PoC","Bucka (feat. Mr. Vegas)","Lady Bee",0,"0IT9hsOQZ2bnWYmgOPx0pM","Bucka (feat. Mr. Vegas)","2015-12-04","Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)","3hR2R6szlkwZeGyclTgHcF","latin","latin hip hop",0.699,0.957,8,-2.535,1,0.129,0.00509,1.75e-06,0.137,0.517,140.074,173143,TRUE
"9","656peCkJJuXRcBDituSWck","Forever (feat. Courtney Jenaé) - Original Mix","Blasterjaxx",0,"2kFO2KytOYDBAe5lzS89jX","Forever (feat. Courtney Jenaé) [Original Mix]","2015-04-27","Epic Bass Drops","49EXQVXh5k1t8SOhmUeyU7","edm","big room",0.671,0.964,7,-2.63,0,0.12,0.00864,0.0795,0.48,0.352,128.042,262500,FALSE
"10","7dbnaGb9MGC9MGLZVmFgas","Monster Lead Me Home","Sara Hartman",1,"67QRV9CFvcWx10eDzPO6ya","Monster Lead Me Home","2015-11-13","random playlist that can't decide its genre so go ahead jam along with these catchy tunes","49qyKvg6UAQAvIMUIGMnP3","pop","indie poptimism",0.595,0.824,0,-6.692,1,0.04,0.208,0.00094,0.106,0.563,164.066,237395,FALSE
