"","location","mintemp","maxtemp","rainfall","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm","humidity9am","humidity3pm","pressure9am","pressure3pm","temp9am","temp3pm","raintoday","risk_mm","raintomorrow","year","month","day_of_year"
"1","Uluru",8.1,20.8,0,"ENE",31,"E","E",17,17,99,57,1024.6,1020.3,9.2,18.7,"No",0,"No",2013,7,191
"2","Wollongong",12.4,19.8,0,"NNW",30,"NW","NE",17,13,66,54,1028.6,1024.3,15.5,18.5,"No",0,"No",2015,6,181
"3","Wollongong",20.7,27.7,0,"WNW",59,"ESE","N",9,22,66,66,1011.3,1007.8,24.2,25.4,"No",5.2,"Yes",2009,1,21
"4","Wollongong",13.2,23.7,0,"N",35,"NW","N",13,13,49,73,1023.9,1020.4,18.7,19.7,"No",0,"No",2012,10,289
"5","Uluru",10.2,27.9,0,"WNW",44,"ESE","NNW",13,22,85,30,1020.5,1015.8,14.3,27.8,"No",0,"No",2013,7,193
"6","Uluru",13.9,36.3,0,"NNW",41,"ESE","NNW",22,13,25,10,1014.9,1010.3,25.2,34.9,"No",0,"No",2014,9,272
"7","Wollongong",17,21.2,0,"S",80,"NW","ENE",4,9,89,84,1012.5,1010.4,18.6,20.4,"No",0,"No",2011,10,303
"8","Wollongong",16.6,23.2,0,"N",39,"N","NNE",20,19,64,57,1015.4,1011.3,20.1,23,"No",0,"No",2015,3,76
"9","Uluru",13.1,38.7,NA,"N",26,"ESE","WSW",6,19,17,7,1012.4,1007.8,26.1,38.4,NA,0,"No",2018,3,75
"10","Uluru",24.3,39.7,0,"S",46,"E","SW",22,15,36,17,1007.9,1003.9,30.4,38.1,"No",0,"No",2013,3,65
"11","Wollongong",16.9,23,0,"SSE",54,"S","ESE",24,15,79,67,1011.6,1011.1,17.7,21.5,"No",0,"No",2009,12,343
"12","Uluru",10.3,34.9,0,"NE",35,"SE","NNE",11,20,11,7,1017.1,1012.3,22.3,34.3,"No",0,"No",2018,9,270
