"","location","mintemp","maxtemp","rainfall","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm","humidity9am","humidity3pm","pressure9am","pressure3pm","temp9am","temp3pm","raintoday","risk_mm","raintomorrow","year","month","day_of_year"
"1","Wollongong",13.3,20,0,"S",41,"S","SSE",26,22,54,51,1018.1,1016.7,16.7,19.4,"No",0,"No",2010,5,135
"2","Wollongong",14.3,21.7,0,"W",56,"W","ESE",20,17,34,51,1011.9,1011.5,18.7,20.2,"No",0,"No",2019,11,314
"3","Wollongong",10.1,17.9,0,"WNW",74,"W","WNW",28,13,43,26,1014.2,1014.5,12.1,17.7,"No",0,"No",2018,7,211
"4","Uluru",20,44.1,0,"NNW",57,"NE","N",24,24,9,10,1010.5,1005.3,36.1,41.5,"No",0,"No",2015,12,339
"5","Uluru",20.5,35.9,5,"SSE",52,"SE","SE",9,20,71,29,1012.9,1009.1,23.4,33.9,"Yes",0.2,"No",2015,2,54
"6","Uluru",5.2,25.4,0,"ENE",31,"E","N",9,11,40,15,1024.7,1020.1,15,24.4,"No",0,"No",2013,8,237
"7","Uluru",-1.5,24,0,"WNW",54,"SSW","NW",9,19,25,11,1016.7,1012.5,8.9,22.7,"No",0,"No",2018,7,196
"8","Uluru",16,36,0,"E",31,"E","ESE",17,19,14,9,1013.9,1010,28.4,34.9,"No",0,"No",2013,12,347
"9","Uluru",18.5,32.4,0,"SE",30,"SE","SSW",20,17,34,26,1013.1,1009.7,25.5,30.7,"No",0,"No",2013,4,105
"10","Uluru",20.1,34.4,0,"SW",39,"SW","NNW",11,11,46,27,1011.6,1009.5,26.3,30.5,"No",0,"No",2015,11,314
"11","Wollongong",9.9,16.9,0,"N",54,"N","W",7,13,61,35,1021.5,1019.7,12.7,16.4,"No",0,"No",2019,6,181
"12","Wollongong",9,15.1,0.2,"SSW",35,"SW","S",15,20,66,62,1021.6,1019.4,13.1,14.8,"No",0,"No",2013,6,172
"13","Uluru",9.8,30.5,0,"NE",46,"E","SSE",19,11,26,11,1022.3,1017.5,20.2,29.8,"No",0,"No",2014,9,256
"14","Uluru",13,29.2,0,"E",44,"E","E",19,19,36,23,1020.4,1016.3,21.5,29,"No",0,"No",2020,4,100
"15","Uluru",22.7,37.7,0,"SE",35,"ESE","W",20,6,36,23,1013.7,1010.5,29.2,36.4,"No",0,"No",2014,12,353
"16","Uluru",5.1,23.1,0,"NE",35,"SE","E",13,13,59,38,1019.3,1015.8,12.5,21.3,"No",0,"No",2013,5,137
"17","Uluru",16,30.2,0,"S",43,"SSE","SE",28,15,42,18,1017.3,1013.6,19.5,27.7,"No",0,"No",2013,10,295
"18","Wollongong",7.7,15.7,0,"S",33,"WSW","S",9,26,46,53,1019.4,1016.9,11.5,14.7,"No",0.4,"No",2018,7,195
